name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Horad Zhodzina,54.0985,28.3331,BY,65451,618800,Horad Zhodzina,-9.73,-9.81,-2.39,4.52,12.69,16.28,18.04,16.12,11.64,5.37,1.3,-4.0
Zhlobin,52.8926,30.024,BY,76078,618806,Zhlobin,-8.84,-8.99,-1.78,5.93,13.46,16.81,19.54,16.7,12.21,5.84,2.03,-3.27
Vitebsk,55.1904,30.2049,BY,342700,620127,Vitebsk,-10.31,-9.33,-1.71,4.18,13.03,16.24,18.4,16.22,11.63,5.13,0.56,-4.8
Vilyeyka,54.4914,26.9111,BY,30000,620181,Vilyeyka,-9.81,-9.96,-2.23,4.43,12.28,16.38,17.69,16.2,11.63,5.58,1.42,-3.77
Volkovysk,53.1561,24.4513,BY,47300,620391,Volkovysk,-8.18,-8.31,-0.94,5.61,12.53,16.41,17.4,16.78,12.07,6.73,3.1,-1.6
Svyetlahorsk,52.6329,29.7389,BY,67054,621074,Svyetlahorsk,-8.56,-8.78,-1.66,6.39,13.57,16.72,19.37,16.62,12.23,5.9,2.29,-3.1
Stowbtsy,53.4785,26.7434,BY,15400,621266,Stowbtsy,-9.13,-9.68,-1.95,5.13,12.79,16.33,17.91,16.54,11.87,5.99,2.0,-3.12
Smarhoń,54.4798,26.3957,BY,35908,621713,Smarhoń,-9.61,-9.69,-1.95,4.59,12.37,16.56,17.7,16.32,11.7,5.79,1.58,-3.56
Smaliavičy,54.0249,28.0894,BY,16594,621729,Smaliavičy,-9.8,-9.99,-2.42,4.4,12.7,16.28,18.05,16.18,11.71,5.48,1.4,-3.85
Slutsk,53.0274,27.5597,BY,61802,621741,Slutsk,-8.78,-9.41,-1.82,5.77,13.21,16.42,18.57,16.76,12.18,6.05,2.27,-2.96
Slonim,53.0869,25.3163,BY,51434,621754,Slonim,-8.53,-8.59,-1.27,5.82,12.73,16.35,17.57,16.7,12.05,6.51,2.76,-2.18
