name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zürich,47.36667,8.55,CH,341730,2657896,Zürich,-1.99,3.39,4.48,5.63,10.59,13.9,15.4,17.78,15.41,8.81,2.88,-1.24
Zug,47.17242,8.51745,CH,23435,2657908,Zug,-1.35,3.61,4.74,5.6,10.74,14.07,15.7,18.0,15.91,9.27,3.16,-0.8
Yverdon-les-Bains,46.77852,6.64115,CH,23702,2657941,Yverdon-les-Bains,0.38,3.91,4.93,6.48,11.32,14.23,15.98,18.44,16.56,9.66,4.2,0.11
Winterthur,47.50564,8.72413,CH,91908,2657970,Winterthur,-2.19,3.27,4.47,5.7,10.6,13.89,15.3,17.79,15.29,8.75,3.0,-1.1
Wil,47.46152,9.04552,CH,23955,2657996,Wil,-3.23,2.35,3.91,5.14,10.3,13.63,15.03,17.54,14.96,8.43,2.32,-2.12
Wetzikon,47.3264,8.79779,CH,24764,2658010,Wetzikon,-2.91,2.3,4.02,5.04,10.12,13.76,15.31,17.59,15.07,8.41,2.35,-2.08
Wettingen,47.46606,8.32663,CH,18191,2658011,Wettingen,-1.52,3.82,4.97,6.47,11.16,14.33,15.64,18.05,15.62,8.9,3.15,-0.86
Vevey,46.46299,6.84345,CH,15812,2658145,Vevey,0.76,4.34,5.29,6.48,11.07,14.26,16.15,18.78,17.12,9.95,4.87,0.25
Vernier,46.21702,6.08497,CH,30086,2658154,Vernier,-0.21,3.66,4.35,6.54,11.18,14.11,16.02,18.35,16.29,9.13,3.77,-1.41
Uster,47.34713,8.72091,CH,23279,2658216,Uster,-1.86,3.07,4.35,5.39,10.39,13.91,15.51,17.82,15.39,8.72,2.71,-0.92
Thun,46.75118,7.62166,CH,42136,2658377,Thun,-2.01,2.01,3.04,3.75,9.11,12.38,14.11,16.59,14.37,7.6,1.91,-2.48
Steffisburg,46.77807,7.63249,CH,15709,2658494,Steffisburg,-2.11,1.91,2.94,3.65,9.01,12.28,14.01,16.49,14.27,7.5,1.81,-2.58
Sitten,46.22739,7.35559,CH,28045,2658576,Sitten,-2.13,2.83,4.74,4.98,10.48,13.11,16.54,19.69,17.37,8.66,3.32,-2.94
Sierre,46.29192,7.53559,CH,15752,2658606,Sierre,-2.52,2.34,4.29,4.56,10.03,12.6,15.99,19.14,16.76,8.22,2.91,-3.21
Zürich (Kreis 11) / Seebach,47.42181,8.54779,CH,17851,2658656,Zürich (Kreis 11) / Seebach,-1.64,3.65,4.62,5.89,10.75,14.01,15.49,17.87,15.59,8.98,3.04,-0.97
Schaffhausen,47.69732,8.63493,CH,33863,2658761,Schaffhausen,-2.22,3.58,4.93,6.4,11.12,14.36,15.57,18.06,15.4,8.82,3.13,-0.91
Sankt Gallen,47.42391,9.37477,CH,70572,2658822,Sankt Gallen,-4.74,0.24,2.12,3.54,9.01,12.6,14.11,16.5,13.83,7.32,1.25,-4.88
Renens,46.53989,6.5881,CH,17811,2659070,Renens,0.26,3.72,4.71,6.35,11.02,13.96,15.79,18.36,16.73,9.66,4.39,-0.13
Rapperswil,47.22557,8.82228,CH,34776,2659099,Rapperswil,-1.46,3.47,4.75,5.79,10.79,14.31,15.91,18.22,15.79,9.12,3.11,-0.52
Pully,46.51027,6.66183,CH,16263,2659127,Pully,0.33,3.89,4.85,6.28,10.9,13.96,15.8,18.4,16.76,9.62,4.49,-0.1
Onex,46.18396,6.10237,CH,17302,2659296,Onex,0.33,3.63,4.42,6.47,11.15,14.08,15.91,18.29,16.24,8.99,3.78,-0.64
Olten,47.34999,7.90329,CH,16411,2659297,Olten,-0.92,4.24,5.3,6.67,11.46,14.64,16.07,18.36,16.1,9.24,3.1,-0.79
Zürich (Kreis 11) / Oerlikon,47.40823,8.54258,CH,17922,2659310,Zürich (Kreis 11) / Oerlikon,-1.79,3.5,4.47,5.74,10.6,13.86,15.34,17.72,15.45,8.82,2.89,-1.12
