name,latitude,longitude,country,population,id
Dvůr Králové nad Labem,50.43172,15.81402,CZ,16150,3061284
Znojmo,48.8555,16.0488,CZ,35280,3061344
Zlín,49.22645,17.67065,CZ,72973,3061370
Žďár nad Sázavou,49.56263,15.93924,CZ,20847,3061695
Žatec,50.32717,13.54577,CZ,19607,3061822
Vyškov,49.27747,16.99897,CZ,22265,3062283
Vsetín,49.33871,17.99619,CZ,28575,3062339
Varnsdorf,50.91154,14.61824,CZ,15895,3063375
Valašské Meziříčí,49.47181,17.97113,CZ,27481,3063447
Ústí nad Orlicí,49.97387,16.39361,CZ,15151,3063546
Ústí nad Labem,50.6607,14.03227,CZ,90378,3063548
Uherský Brod,49.02513,17.64715,CZ,17508,3063736
Uherské Hradiště,49.06975,17.45969,CZ,26421,3063739
Trutnov,50.56101,15.9127,CZ,31398,3063907
Třinec,49.67763,18.67078,CZ,38415,3064000
Třebíč,49.21492,15.88166,CZ,38785,3064104
Teplice,50.6404,13.82451,CZ,51223,3064288
Tábor,49.41441,14.6578,CZ,36264,3064379
Svitavy,49.75594,16.46829,CZ,17427,3064454
Šumperk,49.96528,16.97061,CZ,28768,3064673
Strakonice,49.26141,13.90237,CZ,23545,3065067
Starý Bohumín,49.9169,18.33619,CZ,23034,3065281
Sokolov,50.1813,12.6401,CZ,24901,3065617
Slaný,50.23046,14.08693,CZ,15070,3065903
Rožnov pod Radhoštěm,49.45853,18.14302,CZ,17238,3066651
Rakovník,50.1037,13.7334,CZ,16473,3067051
Prostějov,49.47188,17.11184,CZ,47374,3067421
Prosek,50.11525,14.50685,CZ,15581,3067433
Příbram,49.68988,14.01043,CZ,35251,3067542
Přerov,49.45511,17.4509,CZ,47311,3067580
Prague,50.08804,14.42076,CZ,1165581,3067696
Pilsen,49.74747,13.37759,CZ,168733,3068160
Písek,49.3088,14.1475,CZ,29774,3068293
Pelhřimov,49.43134,15.22336,CZ,16541,3068445
Pardubice,50.04075,15.77659,CZ,88520,3068582
Otrokovice,49.20934,17.53944,CZ,18857,3068690
Ostrov,50.30592,12.93907,CZ,17206,3068766
Ostrava,49.83465,18.28204,CZ,279791,3068799
Orlová,49.84527,18.43011,CZ,34282,3068873
Opava,49.93866,17.90257,CZ,60252,3068927
Olomouc,49.59552,17.25175,CZ,99496,3069011
Nový Jičín,49.59438,18.01028,CZ,26547,3069305
Neratovice,50.25926,14.51759,CZ,16427,3069844
Náchod,50.4167,16.16289,CZ,21263,3070122
Most,50.50301,13.63617,CZ,67905,3070291
Modřany,50.01116,14.4096,CZ,31901,3070420
Mladá Boleslav,50.41135,14.90318,CZ,43684,3070544
Mělník,50.3505,14.47411,CZ,19231,3070862
Louny,50.35699,13.79667,CZ,19147,3071507
Litvínov,50.6042,13.61812,CZ,27022,3071665
Litoměřice,50.53348,14.1318,CZ,24489,3071677
Liberec,50.76711,15.05619,CZ,102951,3071961
Libeň,50.10819,14.47457,CZ,31756,3071966
Letňany,50.13333,14.51667,CZ,15862,3072137
Kutná Hora,49.94839,15.26816,CZ,21280,3072463
Kroměříž,49.29785,17.39312,CZ,29126,3072649
Krnov,50.08967,17.70385,CZ,25547,3072656
Kralupy nad Vltavou,50.24107,14.31149,CZ,17373,3072929
Kopřivnice,49.59947,18.1448,CZ,23424,3073254
Kolín,50.02806,15.1998,CZ,29690,3073371
Klatovy,49.39552,13.29505,CZ,23102,3073660
Klášterec nad Ohří,50.3886,13.18342,CZ,15040,3073668
Kladno,50.14734,14.10285,CZ,66903,3073699
Karviná,49.854,18.54169,CZ,63677,3073789
Karlovy Vary,50.23271,12.87117,CZ,45500,3073803
Kadaň,50.38333,13.26667,CZ,18759,3074020
Jirkov,50.49979,13.44769,CZ,21056,3074110
Jindřichův Hradec,49.14404,15.00301,CZ,22812,3074149
Jihlava,49.3961,15.59124,CZ,50108,3074199
Jičín,50.43723,15.35162,CZ,16328,3074204
Jablonec nad Nisou,50.72431,15.17108,CZ,44878,3074603
Hranice,49.54796,17.73469,CZ,19582,3074893
Hradec Králové,50.20923,15.83277,CZ,90596,3074967
Hodonín,48.84893,17.13244,CZ,26345,3075654
Havlíčkův Brod,49.6069,15.57937,CZ,24356,3075919
Havířov,49.77984,18.43688,CZ,82768,3075921
Frýdek-Místek,49.68333,18.35,CZ,59416,3076127
Děčín,50.78215,14.21478,CZ,52058,3077244
Chrudim,49.95109,15.79558,CZ,23630,3077539
Chomutov,50.46048,13.41779,CZ,50251,3077685
Cheb,50.07963,12.37392,CZ,33242,3077835
Český Těšín,49.74613,18.62613,CZ,25750,3077882
České Budějovice,48.97447,14.47434,CZ,93426,3077916
Česká Třebová,49.90436,16.44413,CZ,16655,3077920
Česká Lípa,50.68551,14.53764,CZ,38841,3077929
Bruntál,49.98844,17.4647,CZ,17686,3078545
Brno,49.19522,16.60796,CZ,379466,3078610
Břeclav,48.75897,16.88203,CZ,25789,3078773
Braník,50.03498,14.41518,CZ,18740,3078833
Brandýs nad Labem-Stará Boleslav,50.18709,14.66326,CZ,15398,3078837
Bohumín,49.90411,18.35755,CZ,23075,3079129
Blansko,49.36304,16.64446,CZ,20384,3079273
Bílina,50.54854,13.77535,CZ,15738,3079348
Beroun,49.96382,14.072,CZ,17550,3079467
Benešov,49.78162,14.68697,CZ,16257,3079508
Černý Most,50.10475,14.57974,CZ,21500,6269470
