name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Dvůr Králové nad Labem,50.43172,15.81402,CZ,16150,3061284,Dvůr Králové nad Labem,-1.99,-1.42,-0.88,7.8,12.48,16.47,19.62,18.66,12.61,9.78,4.59,1.38
Znojmo,48.8555,16.0488,CZ,35280,3061344,Znojmo,-0.93,-0.19,1.15,9.47,13.44,17.03,20.97,19.94,13.99,10.25,5.46,1.98
Zlín,49.22645,17.67065,CZ,72973,3061370,Zlín,-2.27,-0.15,1.26,9.44,14.03,17.66,21.1,20.9,13.46,11.17,5.85,2.0
Žďár nad Sázavou,49.56263,15.93924,CZ,20847,3061695,Žďár nad Sázavou,-2.96,-2.28,-1.1,7.15,11.44,15.03,18.49,17.52,11.68,9.17,3.85,1.03
Žatec,50.32717,13.54577,CZ,19607,3061822,Žatec,-0.61,-0.95,-0.55,8.23,12.09,16.19,20.52,18.79,13.12,9.44,4.35,1.84
Vyškov,49.27747,16.99897,CZ,22265,3062283,Vyškov,-1.69,-0.02,0.95,9.14,13.71,17.43,20.97,20.59,13.66,10.88,5.72,2.32
Vsetín,49.33871,17.99619,CZ,28575,3062339,Vsetín,-3.19,-0.94,0.15,8.57,13.46,16.98,19.98,19.93,12.8,10.8,5.36,1.51
Varnsdorf,50.91154,14.61824,CZ,15895,3063375,Varnsdorf,-2.71,-1.87,-1.93,7.66,12.12,15.81,19.05,17.77,12.3,10.11,4.33,2.57
Valašské Meziříčí,49.47181,17.97113,CZ,27481,3063447,Valašské Meziříčí,-3.33,-0.93,-0.0,8.58,13.57,17.05,20.03,19.89,12.94,10.86,5.31,1.66
Ústí nad Orlicí,49.97387,16.39361,CZ,15151,3063546,Ústí nad Orlicí,-1.97,-1.07,-0.79,7.76,12.45,16.13,19.5,18.65,12.32,9.84,4.69,1.54
Ústí nad Labem,50.6607,14.03227,CZ,90378,3063548,Ústí nad Labem,-0.5,-0.37,-0.4,8.92,13.09,17.0,20.98,19.6,13.84,10.46,5.18,2.35
Uherský Brod,49.02513,17.64715,CZ,17508,3063736,Uherský Brod,-1.75,-0.05,1.71,9.67,14.0,17.68,21.21,20.95,13.49,11.15,5.86,2.08
Uherské Hradiště,49.06975,17.45969,CZ,26421,3063739,Uherské Hradiště,-1.76,0.3,1.68,9.76,14.21,17.86,21.66,21.31,13.79,11.27,6.02,2.17
Trutnov,50.56101,15.9127,CZ,31398,3063907,Trutnov,-3.19,-2.33,-2.27,7.03,11.9,15.93,19.06,18.15,11.87,9.26,3.9,0.6
Třinec,49.67763,18.67078,CZ,38415,3064000,Třinec,-3.79,-1.46,-1.16,7.96,13.46,16.87,19.22,19.09,12.36,10.65,5.22,2.08
Třebíč,49.21492,15.88166,CZ,38785,3064104,Třebíč,-1.67,-0.88,0.18,8.48,12.61,16.27,19.94,18.97,13.09,9.83,4.8,1.53
Teplice,50.6404,13.82451,CZ,51223,3064288,Teplice,-0.61,-0.77,-0.43,8.45,12.46,16.45,20.71,19.2,13.4,9.75,4.63,1.83
Tábor,49.41441,14.6578,CZ,36264,3064379,Tábor,-1.93,-1.38,0.1,8.39,12.16,15.94,19.64,18.79,12.98,9.69,4.44,1.46
Svitavy,49.75594,16.46829,CZ,17427,3064454,Svitavy,-2.28,-1.49,-0.99,7.31,11.94,15.62,19.03,18.32,11.91,9.48,4.31,1.24
Šumperk,49.96528,16.97061,CZ,28768,3064673,Šumperk,-3.26,-1.68,-1.55,7.5,12.52,16.24,19.63,19.33,12.29,9.63,4.28,0.5
Strakonice,49.26141,13.90237,CZ,23545,3065067,Strakonice,-0.96,-1.08,0.49,8.27,12.07,16.12,20.0,18.93,13.37,10.09,4.59,1.74
Starý Bohumín,49.9169,18.33619,CZ,23034,3065281,Starý Bohumín,-2.85,-0.39,0.35,8.58,13.86,17.24,20.16,20.17,13.22,11.29,5.84,2.71
Sokolov,50.1813,12.6401,CZ,24901,3065617,Sokolov,-1.12,-2.14,-0.99,7.49,11.46,15.48,19.61,18.21,12.43,9.25,3.68,1.87
Slaný,50.23046,14.08693,CZ,15070,3065903,Slaný,-0.55,-0.75,0.18,8.61,12.44,16.39,20.23,18.8,13.44,10.19,4.98,2.42
Rožnov pod Radhoštěm,49.45853,18.14302,CZ,17238,3066651,Rožnov pod Radhoštěm,-3.59,-1.26,-0.36,8.23,13.24,16.7,19.55,19.4,12.5,10.53,5.01,1.38
Rakovník,50.1037,13.7334,CZ,16473,3067051,Rakovník,-0.5,-1.02,-0.41,8.08,11.9,15.97,20.03,18.41,13.0,9.53,4.43,2.02
Prostějov,49.47188,17.11184,CZ,47374,3067421,Prostějov,-1.9,-0.2,0.62,8.84,13.61,17.16,20.72,20.42,13.46,10.77,5.53,2.1
Prosek,50.11525,14.50685,CZ,15581,3067433,Prosek,-1.04,-0.77,0.31,8.91,12.69,16.58,20.35,19.11,13.62,10.34,5.11,2.36
Příbram,49.68988,14.01043,CZ,35251,3067542,Příbram,-1.72,-1.75,-0.51,7.67,11.51,15.54,19.19,18.11,12.58,9.48,4.13,1.51
Přerov,49.45511,17.4509,CZ,47311,3067580,Přerov,-2.67,-0.32,0.51,8.78,13.69,17.28,20.88,20.66,13.35,10.86,5.52,1.8
Prague,50.08804,14.42076,CZ,1165581,3067696,Prague,-0.52,-0.35,0.74,9.3,13.08,16.99,20.77,19.49,14.02,10.75,5.51,2.82
Pilsen,49.74747,13.37759,CZ,168733,3068160,Pilsen,-0.51,-0.74,0.6,8.57,12.29,16.43,20.54,19.18,13.47,9.96,4.6,1.78
Písek,49.3088,14.1475,CZ,29774,3068293,Písek,-0.89,-0.76,0.73,8.52,12.32,16.28,20.01,19.06,13.52,10.08,4.83,1.76
Pelhřimov,49.43134,15.22336,CZ,16541,3068445,Pelhřimov,-2.25,-1.85,-0.44,7.93,11.88,15.53,19.18,18.24,12.45,9.59,4.25,1.53
Pardubice,50.04075,15.77659,CZ,88520,3068582,Pardubice,-0.68,-0.31,0.54,8.79,13.1,16.77,20.25,19.05,13.36,10.51,5.45,2.75
Otrokovice,49.20934,17.53944,CZ,18857,3068690,Otrokovice,-1.93,0.17,1.46,9.52,14.05,17.71,21.45,21.15,13.64,11.22,5.95,2.2
Ostrov,50.30592,12.93907,CZ,17206,3068766,Ostrov,-1.13,-2.19,-1.06,7.51,11.49,15.58,19.75,18.2,12.41,9.14,3.67,1.67
Ostrava,49.83465,18.28204,CZ,279791,3068799,Ostrava,-3.28,-0.79,0.07,8.43,13.67,17.1,19.98,19.94,12.99,11.05,5.52,2.36
Orlová,49.84527,18.43011,CZ,34282,3068873,Orlová,-3.39,-0.92,-0.09,8.29,13.62,17.04,19.79,19.71,12.82,10.93,5.44,2.3
Opava,49.93866,17.90257,CZ,60252,3068927,Opava,-2.74,-0.69,-0.2,8.33,13.5,16.88,20.11,20.14,13.11,11.12,5.53,2.22
Olomouc,49.59552,17.25175,CZ,99496,3069011,Olomouc,-2.51,-0.45,0.17,8.57,13.51,17.05,20.62,20.35,13.27,10.65,5.34,1.73
Nový Jičín,49.59438,18.01028,CZ,26547,3069305,Nový Jičín,-3.71,-1.13,-0.28,8.25,13.33,16.78,19.85,19.63,12.79,10.63,5.04,1.55
Neratovice,50.25926,14.51759,CZ,16427,3069844,Neratovice,-0.78,-0.3,0.62,9.21,13.12,17.0,20.84,19.5,14.03,10.66,5.43,2.6
Náchod,50.4167,16.16289,CZ,21263,3070122,Náchod,-2.92,-2.12,-1.76,7.26,12.08,16.02,19.1,18.26,12.05,9.57,4.3,1.09
Most,50.50301,13.63617,CZ,67905,3070291,Most,-1.0,-1.24,-1.0,7.96,12.01,16.05,20.35,18.75,12.94,9.35,4.16,1.61
Modřany,50.01116,14.4096,CZ,31901,3070420,Modřany,-0.72,-0.54,0.61,9.12,12.88,16.83,20.57,19.36,13.85,10.64,5.35,2.74
Mladá Boleslav,50.41135,14.90318,CZ,43684,3070544,Mladá Boleslav,-1.48,-0.58,0.3,8.79,12.9,16.65,20.3,19.31,13.53,10.4,5.07,2.3
Mělník,50.3505,14.47411,CZ,19231,3070862,Mělník,-1.16,-0.58,0.35,8.75,12.81,16.67,20.45,19.19,13.7,10.33,5.1,2.3
Louny,50.35699,13.79667,CZ,19147,3071507,Louny,-0.01,-0.34,0.2,8.7,12.7,16.68,20.92,19.39,13.72,10.09,5.06,2.37
Litvínov,50.6042,13.61812,CZ,27022,3071665,Litvínov,-1.29,-1.63,-1.5,7.49,11.61,15.64,19.88,18.24,12.55,9.06,3.83,1.46
Litoměřice,50.53348,14.1318,CZ,24489,3071677,Litoměřice,-0.42,-0.35,0.14,8.91,12.95,16.9,20.89,19.51,13.86,10.3,5.17,2.23
Liberec,50.76711,15.05619,CZ,102951,3071961,Liberec,-3.07,-1.81,-2.12,7.71,12.28,15.93,19.19,17.96,12.31,10.11,4.31,2.3
Libeň,50.10819,14.47457,CZ,31756,3071966,Libeň,-0.54,-0.27,0.81,9.41,13.19,17.08,20.85,19.61,14.12,10.84,5.61,2.86
Letňany,50.13333,14.51667,CZ,15862,3072137,Letňany,-1.09,-0.82,0.26,8.86,12.64,16.53,20.29,19.06,13.57,10.29,5.06,2.31
Kutná Hora,49.94839,15.26816,CZ,21280,3072463,Kutná Hora,-0.67,-0.38,0.77,9.11,13.1,16.79,20.38,19.11,13.6,10.74,5.5,2.96
Kroměříž,49.29785,17.39312,CZ,29126,3072649,Kroměříž,-2.2,-0.03,1.15,9.27,13.87,17.53,21.29,21.02,13.56,11.05,5.74,2.06
Krnov,50.08967,17.70385,CZ,25547,3072656,Krnov,-3.21,-1.15,-1.35,7.72,13.1,16.44,19.75,19.31,12.73,10.69,4.86,1.67
Kralupy nad Vltavou,50.24107,14.31149,CZ,17373,3072929,Kralupy nad Vltavou,-0.75,-0.41,0.45,9.08,12.98,16.89,20.79,19.4,13.93,10.49,5.29,2.42
Kopřivnice,49.59947,18.1448,CZ,23424,3073254,Kopřivnice,-3.81,-1.32,-0.51,8.08,13.19,16.61,19.54,19.29,12.52,10.51,4.92,1.48
Kolín,50.02806,15.1998,CZ,29690,3073371,Kolín,-0.61,-0.26,0.81,9.24,13.23,16.95,20.61,19.35,13.84,10.81,5.62,2.95
Klatovy,49.39552,13.29505,CZ,23102,3073660,Klatovy,-0.66,-1.42,0.43,7.69,11.54,15.52,19.58,18.35,12.89,9.71,4.07,1.6
Klášterec nad Ohří,50.3886,13.18342,CZ,15040,3073668,Klášterec nad Ohří,-0.75,-1.32,-0.94,7.76,11.73,15.83,20.07,18.35,12.75,9.21,4.05,1.75
Kladno,50.14734,14.10285,CZ,66903,3073699,Kladno,-1.13,-1.29,-0.36,8.17,11.92,15.89,19.67,18.3,12.94,9.77,4.5,2.01
Karviná,49.854,18.54169,CZ,63677,3073789,Karviná,-3.22,-0.69,0.02,8.34,13.74,17.14,19.77,19.74,12.92,11.06,5.68,2.59
Karlovy Vary,50.23271,12.87117,CZ,45500,3073803,Karlovy Vary,-0.88,-1.94,-0.81,7.76,11.74,15.83,20.0,18.45,12.65,9.39,3.92,1.92
Kadaň,50.38333,13.26667,CZ,18759,3074020,Kadaň,-0.96,-1.36,-0.95,7.83,11.7,15.82,20.15,18.41,12.73,9.07,3.94,1.51
Jirkov,50.49979,13.44769,CZ,21056,3074110,Jirkov,-1.01,-1.45,-1.22,7.71,11.73,15.83,20.17,18.42,12.73,9.09,3.94,1.55
Jindřichův Hradec,49.14404,15.00301,CZ,22812,3074149,Jindřichův Hradec,-1.54,-1.22,0.39,8.57,12.23,15.89,19.81,18.99,13.05,9.79,4.59,1.48
Jihlava,49.3961,15.59124,CZ,50108,3074199,Jihlava,-2.45,-1.93,-0.66,7.7,11.79,15.42,19.1,18.1,12.27,9.36,4.09,1.13
Jičín,50.43723,15.35162,CZ,16328,3074204,Jičín,-1.39,-0.88,-0.17,8.41,12.74,16.61,20.03,19.04,13.03,10.19,4.85,1.9
Jablonec nad Nisou,50.72431,15.17108,CZ,44878,3074603,Jablonec nad Nisou,-3.98,-2.61,-2.82,6.62,11.31,15.11,18.26,17.22,11.34,8.96,3.25,0.58
Hranice,49.54796,17.73469,CZ,19582,3074893,Hranice,-2.9,-0.53,0.41,8.68,13.64,17.18,20.55,20.4,13.18,10.89,5.52,1.85
Hradec Králové,50.20923,15.83277,CZ,90596,3074967,Hradec Králové,-0.8,-0.52,0.2,8.48,12.91,16.65,19.97,18.95,13.15,10.32,5.31,2.51
Hodonín,48.84893,17.13244,CZ,26345,3075654,Hodonín,-0.91,0.57,2.16,10.23,14.48,18.13,22.13,21.62,14.36,11.45,6.25,2.56
