name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zwickau,50.72724,12.48839,DE,98796,2803560,Zwickau,2.52,6.15,7.18,7.42,13.8,16.05,16.86,19.26,12.13,10.74,4.76,-0.17
Zweibrücken,49.24686,7.36977,DE,35221,2803620,Zweibrücken,2.75,6.83,7.76,7.98,15.12,15.92,18.44,20.46,13.15,11.88,5.32,1.07
Zülpich,50.69447,6.65414,DE,20208,2803723,Zülpich,4.54,7.11,7.71,7.78,13.88,15.46,17.14,19.65,12.57,12.17,5.66,2.13
Zossen,52.216,13.44909,DE,17138,2803870,Zossen,3.62,6.65,8.02,8.89,15.2,16.86,17.64,19.73,13.07,11.05,5.54,0.93
Zittau,50.89772,14.80764,DE,25785,2804008,Zittau,1.63,4.73,6.7,7.5,13.98,16.07,16.91,18.74,12.04,9.93,4.41,-0.58
Zirndorf,49.4424,10.95414,DE,25734,2804034,Zirndorf,1.67,5.37,7.27,7.55,14.93,15.97,17.64,19.74,12.6,10.86,4.71,0.07
Zerbst,51.9662,12.08517,DE,15680,2804748,Zerbst,3.66,6.72,7.99,8.59,14.83,16.73,17.71,19.99,13.07,11.22,5.69,1.36
Zeitz,51.04962,12.1369,DE,29469,2804922,Zeitz,3.04,6.65,7.59,7.84,14.0,16.34,17.37,19.73,12.63,10.99,5.2,0.91
Zehlendorf,52.43333,13.25,DE,54328,2805059,Zehlendorf,3.6,6.34,7.77,8.71,15.02,16.62,17.4,19.56,12.89,10.83,5.39,0.72
Xanten,51.65877,6.45297,DE,21587,2805385,Xanten,5.15,7.45,8.18,8.53,14.29,15.71,17.13,19.36,13.0,12.49,6.1,3.29
Wurzen,51.3707,12.73939,DE,15233,2805597,Wurzen,3.31,6.77,7.95,8.45,14.62,16.83,17.78,20.15,13.12,11.23,5.6,1.18
Würzburg,49.79391,9.95121,DE,133731,2805615,Würzburg,2.5,6.05,7.62,8.07,14.96,16.21,17.84,20.23,12.92,11.1,5.32,1.0
Würselen,50.81809,6.1347,DE,37074,2805644,Würselen,4.44,7.1,7.56,7.59,13.79,14.95,16.69,19.18,12.35,12.22,5.56,2.29
Wuppertal,51.25627,7.14816,DE,360797,2805753,Wuppertal,4.36,6.79,7.7,7.93,14.09,15.36,16.78,19.28,12.3,12.23,5.6,2.31
Wunstorf,52.42377,9.43585,DE,42080,2805761,Wunstorf,4.49,7.12,7.83,8.24,13.97,15.83,17.06,19.22,12.6,11.71,5.69,2.35
Wülfrath,51.28195,7.03821,DE,21003,2805910,Wülfrath,4.1,6.59,7.43,7.69,13.81,15.09,16.5,18.98,12.07,11.94,5.33,2.09
Wörth am Rhein,49.04888,8.25959,DE,17272,2806081,Wörth am Rhein,3.13,7.66,8.55,8.68,16.04,16.96,19.42,21.62,14.23,12.64,5.93,1.38
Worms,49.63278,8.35916,DE,81099,2806142,Worms,2.63,6.73,8.06,8.44,15.87,16.97,18.97,21.4,13.59,11.77,5.62,1.27
Wolfsburg,52.42452,10.7815,DE,123064,2806654,Wolfsburg,4.11,6.7,7.91,8.39,14.4,16.11,17.2,19.52,12.73,11.35,5.6,1.78
Wolfratshausen,47.91289,11.42166,DE,17191,2806768,Wolfratshausen,-1.42,4.44,6.71,6.49,13.57,14.82,16.79,18.11,12.31,10.68,3.44,-1.89
Wolfenbüttel,52.16442,10.54095,DE,54740,2806914,Wolfenbüttel,3.99,6.58,7.67,8.01,13.84,15.78,16.82,19.19,12.48,11.23,5.43,1.55
Wolfen,51.66122,12.26873,DE,25251,2806919,Wolfen,3.41,6.7,7.91,8.55,14.83,16.81,17.86,20.25,13.15,11.21,5.64,1.25
Witzenhausen,51.34103,9.8554,DE,16055,2807184,Witzenhausen,3.34,6.31,7.49,7.74,13.96,15.79,16.82,19.2,12.25,11.05,5.33,1.41
Wittstock,53.16118,12.48287,DE,17361,2807201,Wittstock,3.71,6.03,7.3,8.23,14.05,15.97,16.69,18.58,12.39,10.79,5.12,1.14
Wittmund,53.57674,7.77839,DE,21355,2807218,Wittmund,4.94,6.9,7.61,8.11,12.89,14.82,15.76,17.56,12.96,11.66,6.19,3.75
Wittlich,49.98596,6.89308,DE,17887,2807240,Wittlich,2.84,6.26,7.32,7.58,14.52,15.57,17.69,19.91,12.46,11.28,5.28,1.33
Wittenberge,53.00543,11.75032,DE,20171,2807344,Wittenberge,3.99,6.47,7.77,8.58,14.54,16.37,17.23,19.21,12.86,11.21,5.47,1.62
Wittenau,52.59319,13.32127,DE,24726,2807360,Wittenau,3.64,6.31,7.73,8.64,14.77,16.52,17.25,19.33,12.78,10.82,5.33,0.72
Witten,51.44362,7.35258,DE,101247,2807363,Witten,4.42,7.02,7.86,8.14,14.24,15.62,16.95,19.46,12.49,12.37,5.74,2.29
Wismar,53.89314,11.45286,DE,45255,2807465,Wismar,4.2,6.3,7.33,8.16,13.56,15.77,16.67,18.33,12.66,11.05,5.46,2.15
Wipperfürth,51.1161,7.39865,DE,23723,2807594,Wipperfürth,3.32,5.78,6.88,7.21,13.54,14.76,16.19,18.64,11.49,11.35,4.88,1.24
Winterhude,53.6,10.0,DE,56382,2807748,Winterhude,4.21,6.44,7.3,8.03,13.59,15.27,16.29,18.22,12.49,11.08,5.17,2.18
Winsen,53.35753,10.21282,DE,32662,2807845,Winsen,4.33,6.69,7.64,8.3,13.92,15.57,16.56,18.64,12.72,11.29,5.43,2.26
Winnenden,48.87563,9.39819,DE,28334,2807872,Winnenden,1.94,6.06,7.33,7.69,14.75,15.57,17.69,19.72,12.84,11.41,4.87,0.14
Wilnsdorf,50.81667,8.1,DE,21505,2808461,Wilnsdorf,2.06,4.6,6.13,6.62,13.14,14.33,15.74,17.99,10.97,10.16,4.16,0.11
Wilmersdorf,52.48333,13.31667,DE,101877,2808473,Wilmersdorf,3.6,6.29,7.73,8.67,14.9,16.57,17.33,19.46,12.84,10.8,5.34,0.66
Willich,51.26371,6.54734,DE,51843,2808559,Willich,5.12,7.54,8.27,8.54,14.55,15.89,17.42,19.73,13.01,12.68,6.18,3.11
Wilhelmstadt,52.52462,13.17707,DE,40463,2808662,Wilhelmstadt,3.72,6.47,7.88,8.78,14.96,16.65,17.41,19.51,12.92,10.95,5.45,0.85
Wilhelmshaven,53.52998,8.11253,DE,84393,2808720,Wilhelmshaven,4.79,6.86,7.64,8.17,13.26,15.05,15.94,17.76,12.71,11.55,5.82,3.34
Wilhelmsburg,53.50669,9.98715,DE,53064,2808747,Wilhelmsburg,4.35,6.65,7.54,8.24,13.8,15.45,16.46,18.46,12.64,11.26,5.35,2.29
Wildeshausen,52.89446,8.43375,DE,18114,2808893,Wildeshausen,4.71,7.1,7.92,8.36,13.84,15.49,16.55,18.61,12.64,11.86,5.71,2.98
Wiesloch,49.29504,8.69846,DE,26605,2809138,Wiesloch,2.89,7.06,8.33,8.64,15.94,16.82,19.07,21.39,13.8,12.23,5.73,1.41
Wiesbaden,50.08258,8.24932,DE,278609,2809346,Wiesbaden,2.78,6.55,8.0,8.45,15.72,16.9,18.64,21.04,13.3,11.74,5.69,1.39
Wiehl,50.9495,7.55062,DE,26291,2809517,Wiehl,3.28,5.94,7.12,7.64,14.09,15.23,16.63,19.06,11.84,11.45,5.16,1.3
Wetzlar,50.56109,8.50495,DE,52656,2809889,Wetzlar,2.93,5.81,7.55,7.88,14.58,15.91,17.32,19.67,12.47,11.23,5.4,1.24
Wetter,51.38747,7.39277,DE,29146,2809984,Wetter,4.42,7.02,7.86,8.14,14.24,15.62,16.95,19.46,12.49,12.37,5.74,2.29
Westerstede,53.25682,7.92737,DE,21902,2810188,Westerstede,4.79,6.92,7.73,8.18,13.36,15.09,15.98,17.75,12.54,11.61,5.66,3.19
Westend,52.51708,13.27636,DE,41328,2810538,Westend,3.45,6.14,7.58,8.53,14.74,16.42,17.18,19.31,12.69,10.65,5.19,0.51
Wesseling,50.82709,6.9747,DE,35665,2810612,Wesseling,4.78,7.46,8.17,8.33,14.59,16.06,17.68,20.07,12.98,12.51,6.14,2.7
Wesel,51.6669,6.62037,DE,61685,2810678,Wesel,5.11,7.42,8.18,8.52,14.32,15.73,17.15,19.42,12.96,12.49,6.07,3.24
Wertheim,49.759,9.50852,DE,24869,2810716,Wertheim,2.74,6.35,7.88,8.35,15.26,16.41,18.15,20.51,13.15,11.37,5.5,1.17
Wersten,51.18459,6.81249,DE,27151,2810730,Wersten,4.94,7.44,8.25,8.57,14.69,16.06,17.56,19.99,13.02,12.67,6.15,2.93
Wernigerode,51.83652,10.78216,DE,34463,2810808,Wernigerode,2.68,5.3,6.6,7.13,13.32,15.19,16.19,18.58,11.72,10.12,4.41,0.25
Werne,51.66446,7.63421,DE,30810,2810833,Werne,4.66,7.2,7.91,8.14,14.07,15.73,17.07,19.51,12.57,12.25,5.7,2.61
Wermelskirchen,51.1397,7.21583,DE,36816,2810855,Wermelskirchen,3.22,5.74,6.74,7.06,13.36,14.58,16.03,18.51,11.39,11.18,4.7,1.22
Werl,51.55493,7.91403,DE,32149,2810878,Werl,4.52,7.13,7.8,7.95,13.92,15.61,16.89,19.34,12.42,12.26,5.64,2.28
Werdohl,51.26011,7.76608,DE,20366,2810919,Werdohl,3.89,6.44,7.3,7.51,13.58,15.05,16.37,18.8,11.89,11.83,5.21,1.62
Werder,52.37874,12.934,DE,22384,2810945,Werder,3.83,6.67,8.02,8.83,15.01,16.71,17.51,19.57,13.02,11.08,5.58,1.05
Werdau,50.73604,12.37534,DE,24424,2810969,Werdau,2.48,6.1,7.17,7.37,13.79,15.97,16.85,19.24,12.07,10.75,4.74,-0.14
Wendlingen am Neckar,48.67124,9.37632,DE,15728,2811204,Wendlingen am Neckar,2.0,6.45,7.67,7.93,15.07,15.89,17.95,20.0,13.28,11.71,4.95,-0.13
Wenden,50.96667,7.86667,DE,19924,2811278,Wenden,2.0,4.56,5.88,6.44,12.84,13.94,15.31,17.71,10.61,10.3,3.86,-0.03
Wendelstein,49.3523,11.15069,DE,16220,2811292,Wendelstein,1.39,5.14,7.07,7.44,14.88,15.85,17.53,19.57,12.4,10.68,4.53,-0.15
Weiterstadt,49.9039,8.58874,DE,24253,2811644,Weiterstadt,3.07,6.78,8.06,8.53,15.82,16.99,18.82,21.22,13.37,11.86,5.77,1.54
Weißwasser,51.50403,14.64017,DE,22099,2811698,Weißwasser,2.98,6.15,7.75,8.4,14.65,16.8,17.72,19.69,12.91,10.88,5.16,0.62
Weißenfels,51.20148,11.96843,DE,29792,2811899,Weißenfels,3.44,7.04,8.08,8.47,14.67,16.91,18.01,20.39,13.25,11.42,5.77,1.45
Weißenburg in Bayern,49.03095,10.97221,DE,18578,2811909,Weißenburg in Bayern,1.25,5.16,7.34,7.27,14.58,15.55,17.48,19.38,12.48,10.89,4.51,-0.01
Weinstadt-Endersbach,48.81311,9.36387,DE,26166,2812145,Weinstadt-Endersbach,2.2,6.58,7.73,8.08,15.15,15.96,18.07,20.08,13.29,11.83,5.2,0.28
Weinheim,49.54887,8.66697,DE,43325,2812174,Weinheim,2.89,7.09,8.32,8.66,15.97,16.96,19.04,21.38,13.79,12.19,5.8,1.44
Weingarten,47.81009,9.63863,DE,23802,2812204,Weingarten,0.07,4.77,7.12,7.06,14.77,15.45,17.64,19.05,13.39,11.66,4.44,-0.85
Weimar,50.9803,11.32903,DE,64727,2812482,Weimar,2.77,6.19,7.23,7.49,13.67,15.93,17.09,19.48,12.33,10.62,5.03,0.76
Weilheim,47.84147,11.15484,DE,21401,2812515,Weilheim,-2.37,4.1,6.32,6.25,13.42,14.7,16.8,17.96,12.34,10.59,2.99,-2.88
Weilerswist,50.75292,6.84585,DE,16321,2812522,Weilerswist,4.55,7.12,7.75,7.83,13.99,15.54,17.2,19.66,12.58,12.17,5.69,2.31
Weil der Stadt,48.74953,8.87176,DE,19338,2812625,Weil der Stadt,2.08,6.11,7.1,7.08,14.04,15.13,17.31,19.16,12.57,11.41,4.29,-0.42
