name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Vordingborg,55.00801,11.91057,DK,17868,2610020,Vordingborg,0.62,-0.27,-0.85,5.72,12.21,15.31,18.45,17.96,13.82,11.61,6.5,5.13
Viborg,56.45319,9.40201,DK,41239,2610319,Viborg,-0.32,-0.88,-1.3,5.14,11.99,13.95,17.25,16.61,12.85,10.53,5.23,5.32
Vejle,55.70927,9.5357,DK,60231,2610613,Vejle,0.61,-0.21,-0.92,5.65,12.32,14.48,17.79,17.24,13.46,11.33,5.67,5.58
Vanløse,55.68361,12.48713,DK,37115,2610734,Vanløse,-0.24,-0.74,-1.09,5.7,12.72,15.32,18.4,17.48,13.45,11.17,6.06,4.94
Vallensbæk,55.62199,12.38511,DK,16515,2610789,Vallensbæk,-0.57,-0.72,-1.1,5.94,12.92,15.2,18.05,17.25,12.96,11.08,5.93,4.94
Valby,55.66613,12.51388,DK,46161,2610802,Valby,-0.24,-0.74,-1.09,5.7,12.72,15.32,18.4,17.48,13.45,11.17,6.06,4.94
Tønder,54.93306,8.86674,DK,16401,2611497,Tønder,1.06,0.11,-0.43,5.71,11.93,14.16,17.43,17.48,13.8,11.51,6.38,5.84
Taastrup,55.65006,12.3016,DK,35238,2611828,Taastrup,-0.29,-0.85,-1.19,5.68,12.7,15.2,18.29,17.4,13.36,11.11,5.98,4.91
Svendborg,55.05982,10.60677,DK,27300,2612045,Svendborg,0.89,0.09,-0.48,5.69,12.2,14.93,18.33,17.87,13.92,11.76,6.56,5.53
Stenløse,55.76828,12.19723,DK,19998,2612629,Stenløse,-0.37,-0.97,-1.25,5.8,12.87,15.2,18.27,17.38,13.24,11.03,5.9,4.91
Sønderborg,54.90896,9.78917,DK,27766,2613102,Sønderborg,1.05,-0.03,-0.63,5.9,12.19,14.71,18.07,17.47,13.63,11.44,5.96,5.29
Solrød Strand,55.53285,12.22227,DK,17337,2613233,Solrød Strand,-0.29,-0.74,-1.22,5.73,12.54,15.28,18.4,17.59,13.53,11.35,6.07,4.99
Slagelse,55.40276,11.35459,DK,31896,2613460,Slagelse,0.07,-0.69,-1.03,5.5,12.23,14.82,18.02,17.5,13.44,11.28,6.31,5.07
Skive,56.56699,9.02707,DK,20190,2613731,Skive,0.08,-0.8,-0.95,5.19,11.97,13.87,17.3,16.8,12.98,10.57,5.49,5.61
Silkeborg,56.1697,9.54508,DK,49747,2614030,Silkeborg,0.04,-0.61,-1.09,5.48,12.34,14.31,17.53,16.92,13.13,10.96,5.46,5.55
Roskilde,55.64152,12.08035,DK,51916,2614481,Roskilde,-0.42,-1.07,-1.56,5.61,12.48,14.98,18.1,17.26,13.14,10.98,5.68,4.71
Rødovre,55.68062,12.45373,DK,40652,2614600,Rødovre,-0.29,-0.79,-1.14,5.65,12.67,15.27,18.35,17.43,13.4,11.12,6.01,4.89
Ringsted,55.4426,11.79011,DK,23086,2614764,Ringsted,-0.35,-1.04,-1.56,5.67,12.44,14.93,18.08,17.34,13.11,11.04,5.67,4.71
Randers,56.4607,10.03639,DK,62802,2615006,Randers,-0.12,-0.66,-1.01,5.44,12.22,14.52,17.75,17.0,13.22,10.89,5.49,5.36
Odense,55.39594,10.38831,DK,180863,2615876,Odense,0.53,-0.33,-0.75,5.89,12.52,14.91,18.29,17.53,13.48,11.43,5.86,5.28
Nykøbing Falster,54.76906,11.87425,DK,19976,2615961,Nykøbing Falster,1.38,0.23,-0.3,5.88,11.96,15.37,18.66,18.34,14.22,11.92,7.08,5.44
Nyborg,55.31274,10.78964,DK,17525,2616015,Nyborg,0.52,-0.27,-0.73,5.92,12.55,15.1,18.49,17.77,13.63,11.54,6.13,5.34
