name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zubia,37.11906,-3.584,ES,18995,2509305,Zubia,6.23,10.46,12.27,11.69,17.15,22.63,26.01,25.33,23.24,14.97,9.64,5.95
Zafra,38.42539,-6.41734,ES,16424,2509377,Zafra,7.36,10.72,12.37,11.64,17.61,21.64,26.89,26.67,22.81,15.67,10.56,7.36
Yecla,38.61365,-1.11468,ES,35025,2509402,Yecla,6.45,11.13,10.75,11.03,16.36,22.61,24.85,24.64,22.72,15.15,9.88,5.93
Villena,38.6373,-0.86568,ES,35222,2509463,Villena,6.85,11.49,11.09,11.44,16.49,22.43,24.79,24.69,22.93,15.64,10.38,6.35
Villarrobledo,39.26992,-2.60119,ES,26642,2509491,Villarrobledo,5.07,9.18,9.38,9.61,15.98,22.47,25.6,25.17,21.91,13.95,8.08,4.2
Vila-real,39.9383,-0.10087,ES,50577,2509509,Vila-real,9.33,12.7,12.3,13.27,17.73,21.23,24.52,24.89,22.66,18.24,12.8,8.88
Villanueva de la Serena,38.97655,-5.7974,ES,25838,2509553,Villanueva de la Serena,7.67,10.89,12.93,12.82,19.24,23.73,28.52,28.11,24.21,16.74,10.81,7.26
Villajoyosa,38.50754,-0.23346,ES,33797,2509588,Villajoyosa,10.84,14.01,13.69,14.18,18.19,22.7,25.34,25.88,24.65,19.11,14.16,10.4
Vícar,36.83155,-2.64273,ES,22853,2509650,Vícar,10.16,13.0,13.14,13.49,17.32,21.54,24.82,24.92,24.1,18.09,13.97,10.04
Vélez-Málaga,36.78107,-4.10266,ES,74190,2509769,Vélez-Málaga,11.74,14.3,15.31,15.52,19.0,23.17,25.43,25.72,25.04,19.24,14.45,11.7
Valencia,39.46975,-0.37739,ES,789744,2509954,Valencia,9.76,13.42,12.91,14.09,18.54,22.5,25.71,25.68,23.61,18.57,13.44,9.28
