name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Ylöjärvi,61.55632,23.59606,FI,22140,630752,Ylöjärvi,-10.09,-12.38,-2.32,0.69,7.91,17.11,16.02,15.11,9.33,3.68,-1.95,-3.63
Vuosaari,60.20963,25.14195,FI,35826,631077,Vuosaari,-8.55,-9.33,-1.58,1.46,8.22,16.1,16.85,16.26,10.8,4.4,-0.59,-2.54
Vihti,60.41699,24.31965,FI,26280,631707,Vihti,-9.13,-10.33,-1.85,1.49,8.77,17.18,16.62,15.87,10.39,4.27,-1.16,-2.75
Varkaus,62.31533,27.873,FI,22365,632370,Varkaus,-10.92,-13.19,-2.6,0.48,7.17,17.4,17.12,15.27,9.11,2.74,-3.79,-5.67
Vantaa,60.29414,25.04099,FI,190058,632453,Vantaa,-9.42,-10.26,-1.72,1.45,9.1,17.54,16.98,16.18,10.53,4.27,-1.15,-2.97
Valkeakoski,61.26421,24.03122,FI,20376,632672,Valkeakoski,-9.78,-11.79,-1.98,0.91,8.29,17.22,16.36,15.46,9.71,3.94,-1.43,-3.22
Vaasa,63.096,21.61577,FI,67631,632978,Vaasa,-7.63,-10.96,-2.32,0.31,7.83,14.95,16.16,15.28,9.71,3.98,-1.73,-1.57
Uusikaupunki,60.80043,21.40841,FI,16226,633221,Uusikaupunki,-6.36,-8.29,-1.68,1.52,8.22,14.24,16.33,16.11,11.3,5.2,0.6,0.0
Tuusula,60.40368,25.02638,FI,34725,633591,Tuusula,-9.62,-10.58,-1.83,1.42,9.01,17.42,16.79,15.98,10.3,4.12,-1.31,-3.12
Turku,60.45148,22.26869,FI,195301,633679,Turku,-7.83,-9.75,-1.7,1.7,9.43,17.35,16.56,15.83,10.77,4.77,-0.62,-1.17
Tornio,65.84811,24.14662,FI,21236,634093,Tornio,-9.77,-14.06,-3.7,-1.66,4.79,13.58,16.28,14.89,8.34,2.65,-5.62,-5.33
Tampere,61.49911,23.78712,FI,244315,634963,Tampere,-9.94,-12.19,-2.18,0.63,7.69,17.19,16.29,15.41,9.58,3.86,-1.66,-3.51
Siilinjärvi,63.08333,27.66667,FI,20209,636947,Siilinjärvi,-10.87,-13.7,-2.81,-0.02,6.37,17.05,17.08,15.15,8.8,2.56,-4.15,-6.09
Sibbo,60.37752,25.26906,FI,19430,637067,Sibbo,-9.29,-10.23,-1.65,1.53,9.16,17.39,16.9,16.2,10.47,4.27,-1.03,-2.94
Seinäjoki,62.79446,22.82822,FI,64743,637219,Seinäjoki,-9.3,-12.38,-2.19,0.85,8.96,16.53,16.26,15.11,9.0,3.38,-2.79,-3.02
Savonlinna,61.8699,28.87999,FI,27353,637292,Savonlinna,-10.62,-12.42,-2.57,0.6,7.45,17.35,17.32,15.45,9.34,2.91,-3.22,-5.37
Salo,60.38333,23.13333,FI,24900,637948,Salo,-8.03,-9.86,-1.63,1.73,9.36,17.59,16.67,15.83,10.69,4.61,-0.72,-1.8
Rovaniemi,66.5,25.71667,FI,64194,638936,Rovaniemi,-11.56,-15.71,-3.95,-2.27,4.55,15.46,16.5,14.22,7.19,1.45,-7.48,-7.59
Riihimäki,60.73769,24.77726,FI,26451,639406,Riihimäki,-10.12,-11.34,-2.03,1.3,8.86,17.16,16.45,15.53,9.84,3.85,-1.74,-3.41
Rauma,61.12724,21.51127,FI,36550,639734,Rauma,-6.0,-7.96,-1.6,1.36,7.56,12.81,16.26,16.14,11.33,5.16,0.78,0.21
Raisio,60.48592,22.16895,FI,23597,640124,Raisio,-7.64,-9.56,-1.71,1.68,9.32,17.15,16.52,15.88,10.82,4.84,-0.46,-1.02
Raahe,64.68333,24.48333,FI,22217,640276,Raahe,-9.44,-13.82,-3.69,-1.53,5.97,13.15,16.35,14.78,8.97,3.26,-3.39,-4.0
