name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Yerres,48.71785,2.49338,FR,28897,2967245,Yerres,5.16,8.74,8.53,9.17,15.94,15.74,19.47,21.36,15.23,13.63,7.27,3.41
Wittenheim,47.8109,7.32756,FR,15747,2967318,Wittenheim,1.66,6.81,7.81,7.73,15.53,16.11,18.82,20.78,14.14,12.35,4.96,0.76
Wattrelos,50.70118,3.21812,FR,42826,2967421,Wattrelos,5.73,8.06,8.51,8.7,14.35,14.93,17.47,19.52,13.86,13.03,6.72,3.9
Wasquehal,50.67043,3.13382,FR,19320,2967438,Wasquehal,5.83,8.13,8.57,8.73,14.32,14.92,17.5,19.57,13.93,13.06,6.78,3.96
Voiron,45.36471,5.5856,FR,22114,2967758,Voiron,2.2,7.25,8.36,8.63,16.33,17.23,20.67,20.87,16.03,13.37,5.61,-0.13
Vitry-sur-Seine,48.78716,2.40332,FR,81001,2967849,Vitry-sur-Seine,5.55,9.0,8.83,9.49,16.22,16.01,19.72,21.54,15.49,13.88,7.55,3.7
Vitry-le-François,48.72472,4.58439,FR,17250,2967856,Vitry-le-François,4.27,8.24,8.25,8.69,15.74,15.87,19.11,21.13,14.39,13.08,6.76,2.9
Vitrolles,43.46,5.24861,FR,38591,2967870,Vitrolles,4.86,10.05,10.54,11.52,17.76,20.36,23.87,23.55,19.39,16.23,8.68,3.15
Vitré,48.12279,-1.20983,FR,17266,2967879,Vitré,6.59,9.52,8.7,9.4,15.87,14.89,19.36,20.38,15.97,13.32,7.83,4.05
Viry-Châtillon,48.67211,2.39318,FR,31131,2967917,Viry-Châtillon,5.52,9.05,8.86,9.47,16.27,16.0,19.74,21.59,15.54,13.91,7.55,3.72
Viroflay,48.80078,2.16181,FR,16137,2967934,Viroflay,5.34,8.62,8.47,8.99,15.72,15.44,19.2,20.89,15.03,13.42,7.13,3.36
Vincennes,48.8486,2.43769,FR,45923,2968054,Vincennes,5.4,8.85,8.69,9.34,16.07,15.86,19.57,21.39,15.34,13.73,7.4,3.56
Villiers-sur-Marne,48.831,2.54844,FR,30252,2968142,Villiers-sur-Marne,5.08,8.59,8.43,9.05,15.77,15.58,19.28,21.15,15.04,13.46,7.14,3.3
Villiers-le-Bel,49.00875,2.39819,FR,27028,2968176,Villiers-le-Bel,5.33,8.57,8.47,9.01,15.59,15.46,19.15,20.9,14.92,13.37,7.16,3.43
Villeurbanne,45.76601,4.8795,FR,131445,2968254,Villeurbanne,3.01,8.65,8.7,9.13,16.73,17.38,20.9,21.94,16.15,13.92,6.75,1.23
Villers-lès-Nancy,48.67333,6.15283,FR,15899,2968368,Villers-lès-Nancy,3.13,7.49,7.86,8.0,15.15,15.84,18.61,20.46,13.54,12.26,5.79,1.56
Villepinte,48.96203,2.53253,FR,37114,2968482,Villepinte,5.43,8.71,8.6,9.17,15.75,15.67,19.37,21.16,15.08,13.55,7.32,3.57
Villeparisis,48.94208,2.61463,FR,23931,2968496,Villeparisis,5.27,8.72,8.6,9.19,15.85,15.72,19.41,21.29,15.13,13.59,7.3,3.5
Villeneuve-sur-Lot,44.40854,0.70415,FR,25869,2968515,Villeneuve-sur-Lot,6.46,11.18,10.7,11.31,18.29,18.38,23.1,23.83,19.72,15.86,9.42,3.6
Villeneuve-Saint-Georges,48.73219,2.44925,FR,30881,2968529,Villeneuve-Saint-Georges,5.57,9.1,8.91,9.52,16.31,16.05,19.79,21.65,15.6,13.97,7.61,3.77
Villeneuve-le-Roi,48.73684,2.40081,FR,17575,2968546,Villeneuve-le-Roi,5.22,8.75,8.56,9.17,15.97,15.7,19.44,21.29,15.24,13.61,7.25,3.42
Villeneuve-la-Garenne,48.93935,2.31478,FR,22036,2968555,Villeneuve-la-Garenne,5.59,8.91,8.77,9.42,16.08,15.9,19.61,21.34,15.35,13.76,7.47,3.67
Villenave-d'Ornon,44.77935,-0.56707,FR,30347,2968620,Villenave-d'Ornon,6.86,11.45,10.65,11.38,18.12,18.33,22.34,23.42,19.56,15.75,9.8,4.17
Villemomble,48.88333,2.5,FR,28001,2968653,Villemomble,5.26,8.68,8.55,9.18,15.85,15.71,19.41,21.25,15.13,13.55,7.26,3.45
Villejuif,48.7939,2.35992,FR,48048,2968705,Villejuif,5.05,8.5,8.33,8.99,15.72,15.51,19.22,21.04,14.99,13.38,7.05,3.2
