name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
York,53.95763,-1.08271,GB,156135,2633352,York,5.97,6.68,7.98,7.48,11.75,13.29,15.67,17.3,12.54,11.25,6.37,4.13
Yeovil,50.94159,-2.63211,GB,45784,2633373,Yeovil,7.67,8.3,8.42,8.4,13.81,13.76,17.49,18.24,13.98,12.55,7.53,4.4
Yeadon,53.86437,-1.68743,GB,37379,2633397,Yeadon,5.4,5.84,7.06,6.68,11.04,12.41,14.78,15.96,11.62,10.28,5.58,3.29
Yate,51.54074,-2.41839,GB,34406,2633406,Yate,7.02,7.66,8.04,8.03,13.6,13.7,17.44,18.08,13.57,12.08,6.86,3.8
Yarm,54.50364,-1.35793,GB,19184,2633415,Yarm,6.17,6.76,8.21,7.65,11.81,13.41,15.58,17.29,12.51,11.13,6.51,4.43
Wrexham,53.04664,-2.99132,GB,65692,2633485,Wrexham,6.43,6.93,7.88,7.59,12.55,13.29,16.42,17.22,12.54,11.43,6.36,3.79
Worthing,50.81795,-0.37538,GB,99110,2633521,Worthing,8.19,8.69,8.72,8.85,13.44,14.07,17.1,18.73,14.67,13.42,8.46,5.53
Worksop,53.30182,-1.12404,GB,43252,2633551,Worksop,6.32,6.93,8.08,7.76,12.24,13.62,16.37,17.88,13.03,11.67,6.56,4.03
Workington,54.6425,-3.54413,GB,27120,2633553,Workington,7.18,6.83,7.71,7.64,11.83,12.97,15.19,15.77,12.52,11.59,6.71,5.01
Worcester Park,51.37992,-0.24445,GB,16031,2633561,Worcester Park,7.17,7.97,8.45,8.63,13.71,14.45,17.65,19.39,13.87,12.68,7.27,4.42
Worcester,52.18935,-2.22001,GB,101659,2633563,Worcester,6.87,7.53,8.18,8.18,13.46,14.0,17.73,18.65,13.75,12.15,6.98,3.98
Wood Green,51.6,-0.11667,GB,28453,2633653,Wood Green,6.99,7.84,8.42,8.63,13.56,14.51,17.54,19.33,13.79,12.6,7.25,4.47
Woodford Green,51.60938,0.02329,GB,22803,2633655,Woodford Green,6.78,7.65,8.23,8.48,13.38,14.38,17.35,19.2,13.61,12.42,7.04,4.29
Wombwell,53.52189,-1.39698,GB,15518,2633681,Wombwell,6.44,6.97,8.19,7.83,12.28,13.69,16.29,17.67,12.97,11.5,6.5,4.09
Wolverhampton,52.58547,-2.12296,GB,263700,2633691,Wolverhampton,6.07,6.66,7.55,7.43,12.54,13.25,16.64,17.65,12.76,11.39,6.18,3.29
Wokingham,51.4112,-0.83565,GB,41143,2633708,Wokingham,6.87,7.62,8.12,8.21,13.48,14.01,17.42,18.89,13.58,12.24,6.95,3.98
Woking,51.31903,-0.55893,GB,103932,2633709,Woking,7.2,7.94,8.41,8.48,13.77,14.26,17.71,19.22,13.8,12.56,7.19,4.23
Witney,51.7836,-1.4854,GB,29103,2633729,Witney,6.75,7.41,7.99,7.96,13.26,13.81,17.33,18.51,13.51,12.0,6.77,3.86
Witham,51.80007,0.64038,GB,25353,2633749,Witham,7.01,7.86,8.51,8.66,13.2,14.49,17.15,19.23,13.92,12.73,7.54,4.8
Wishaw,55.76667,-3.91667,GB,30510,2633765,Wishaw,4.98,4.9,6.53,6.38,10.84,12.01,14.13,14.22,10.5,9.41,4.22,2.71
Wisbech,52.66622,0.15938,GB,32489,2633771,Wisbech,6.72,7.64,8.48,8.38,12.93,14.37,17.0,19.13,13.67,12.49,7.26,4.71
Winsford,53.19146,-2.52398,GB,30259,2633810,Winsford,6.4,6.92,7.97,7.65,12.5,13.37,16.26,17.1,12.53,11.55,6.27,3.7
Windsor,51.48333,-0.6,GB,33348,2633842,Windsor,6.95,7.73,8.22,8.39,13.52,14.21,17.49,19.04,13.7,12.4,7.12,4.21
Winchester,51.06513,-1.3187,GB,46074,2633858,Winchester,7.34,8.01,8.39,8.41,13.87,13.93,17.56,18.88,13.98,12.53,7.34,4.32
Wimbledon,51.42212,-0.20805,GB,68187,2633866,Wimbledon,7.12,7.92,8.4,8.58,13.66,14.4,17.6,19.34,13.82,12.63,7.22,4.37
Wilmslow,53.32803,-2.23148,GB,36617,2633883,Wilmslow,6.15,6.61,7.72,7.51,12.35,13.17,15.94,16.76,12.25,11.32,6.06,3.44
Willesden,51.53333,-0.23333,GB,44295,2633907,Willesden,6.83,7.68,8.15,8.45,13.47,14.33,17.44,19.16,13.64,12.4,6.97,4.16
Willenhall,52.58514,-2.05934,GB,27500,2633912,Willenhall,6.22,6.81,7.7,7.58,12.69,13.4,16.8,17.8,12.91,11.54,6.33,3.44
Wigston Magna,52.58128,-1.09248,GB,33720,2633936,Wigston Magna,6.33,7.05,7.87,7.81,12.73,13.72,16.91,18.37,13.24,11.81,6.57,3.7
Wigan,53.54296,-2.63706,GB,175405,2633948,Wigan,6.59,6.97,8.08,7.74,12.33,13.26,15.89,16.68,12.55,11.66,6.55,4.18
Widnes,53.3618,-2.73406,GB,61464,2633954,Widnes,6.73,7.16,8.24,7.89,12.54,13.47,16.17,16.97,12.74,11.78,6.63,4.28
Wickford,51.61101,0.52331,GB,32975,2633976,Wickford,7.36,8.17,8.73,8.89,13.39,14.66,17.23,19.32,14.25,13.02,7.93,5.14
Whitstable,51.3607,1.0257,GB,30195,2634021,Whitstable,7.48,8.31,8.77,9.03,13.51,14.77,17.28,19.56,14.59,13.19,8.22,5.41
Whitley Bay,55.03973,-1.44713,GB,38055,2634032,Whitley Bay,6.22,6.52,8.15,7.67,11.29,13.31,15.23,16.92,12.31,10.98,6.97,4.91
Whitehaven,54.54897,-3.58412,GB,24900,2634096,Whitehaven,7.19,6.81,7.61,7.61,11.67,12.85,15.05,15.66,12.59,11.6,6.91,5.22
Whitefield,53.55,-2.3,GB,23545,2634103,Whitefield,5.76,6.12,7.34,7.02,11.68,12.61,15.2,15.94,11.7,10.87,5.76,3.27
Whickham,54.94561,-1.67635,GB,16625,2634155,Whickham,5.53,5.82,7.51,6.96,10.99,12.6,14.68,16.16,11.52,10.31,5.88,3.83
Weymouth,50.61448,-2.45991,GB,57691,2634202,Weymouth,8.25,8.76,8.79,8.89,14.17,14.05,17.61,18.65,14.59,13.06,8.23,5.13
Weybridge,51.37178,-0.45975,GB,19463,2634204,Weybridge,7.15,7.93,8.37,8.57,13.72,14.34,17.64,19.24,13.86,12.58,7.26,4.33
Weston-super-Mare,51.34603,-2.97665,GB,82903,2634308,Weston-super-Mare,8.3,8.79,8.89,8.71,13.86,14.01,17.66,17.99,14.3,12.99,8.05,5.39
West Molesey,51.39985,-0.37997,GB,18565,2634340,West Molesey,7.25,8.03,8.47,8.68,13.81,14.46,17.73,19.38,13.96,12.7,7.36,4.45
City of Westminster,51.4975,-0.1357,GB,247614,2634341,City of Westminster,7.06,7.94,8.41,8.73,13.73,14.64,17.7,19.47,13.89,12.66,7.2,4.41
Westhoughton,53.54899,-2.52464,GB,26260,2634387,Westhoughton,5.92,6.31,7.45,7.13,11.76,12.7,15.31,16.08,11.9,11.01,5.86,3.44
West Ham,51.53333,0.01667,GB,15551,2634403,West Ham,7.09,7.99,8.47,8.79,13.75,14.7,17.71,19.56,13.93,12.72,7.26,4.49
Westbury,51.26,-2.1875,GB,16989,2634483,Westbury,7.21,7.87,8.17,8.15,13.66,13.76,17.42,18.14,13.67,12.28,7.1,4.03
West Bromwich,52.51868,-1.9945,GB,135618,2634491,West Bromwich,6.06,6.65,7.56,7.43,12.59,13.25,16.76,17.76,12.81,11.41,6.22,3.29
West Bridgford,52.92979,-1.12537,GB,48314,2634493,West Bridgford,6.52,7.25,8.18,8.05,12.77,13.94,16.89,18.45,13.47,12.01,6.78,3.98
Wembley,51.55242,-0.29686,GB,90045,2634549,Wembley,7.05,7.83,8.41,8.56,13.54,14.38,17.53,19.2,13.78,12.59,7.31,4.48
Welwyn Garden City,51.80174,-0.20691,GB,59910,2634552,Welwyn Garden City,6.57,7.38,8.01,8.09,13.06,14.02,17.19,18.85,13.34,12.15,6.86,4.08
Wellington,52.7,-2.51667,GB,22816,2634573,Wellington,6.29,6.88,7.71,7.53,12.66,13.39,16.79,17.69,12.81,11.5,6.24,3.4
Wellingborough,52.30273,-0.69446,GB,50577,2634578,Wellingborough,6.53,7.3,8.04,8.0,12.93,13.93,17.19,18.7,13.43,12.07,6.82,4.0
Welling,51.46246,0.10759,GB,42500,2634579,Welling,6.91,7.78,8.3,8.57,13.44,14.43,17.35,19.28,13.74,12.53,7.15,4.38
Wednesfield,52.5963,-2.08508,GB,33555,2634616,Wednesfield,6.22,6.81,7.7,7.58,12.69,13.4,16.8,17.8,12.91,11.54,6.33,3.44
Wednesbury,52.5514,-2.02355,GB,24337,2634617,Wednesbury,6.26,6.86,7.77,7.63,12.71,13.45,16.84,17.87,12.97,11.6,6.4,3.5
Wath upon Dearne,53.50291,-1.3458,GB,17161,2634672,Wath upon Dearne,6.44,7.01,8.22,7.83,12.26,13.72,16.33,17.77,13.02,11.56,6.52,4.11
Watford,51.65531,-0.39602,GB,125707,2634677,Watford,6.88,7.63,8.26,8.3,13.31,14.15,17.4,18.97,13.57,12.4,7.14,4.3
