name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zugdidi,42.5088,41.87088,GE,41494,610824,Zugdidi,1.17,4.2,6.32,11.73,14.96,19.15,22.28,20.57,18.51,13.98,11.2,6.1
Zest’aponi,42.10916,43.03602,GE,25891,610864,Zest’aponi,0.49,1.97,4.35,10.55,15.02,19.16,22.58,20.64,18.24,13.0,9.13,4.13
Ts’khinvali,42.22764,43.96861,GE,32180,611403,Ts’khinvali,-4.99,-2.75,0.37,5.88,10.8,15.06,19.0,16.59,14.11,8.37,3.75,-1.1
Tqvarch'eli,42.84035,41.68007,GE,17847,611583,Tqvarch'eli,0.52,2.95,5.01,10.45,13.93,18.04,21.24,19.69,17.61,13.13,10.19,4.83
Telavi,41.91978,45.47315,GE,19599,611694,Telavi,-3.31,-1.66,3.54,8.62,12.49,17.93,21.28,18.73,16.41,10.13,5.93,0.34
Tbilisi,41.69411,44.83368,GE,1049498,611717,Tbilisi,-1.06,1.01,6.19,10.89,14.63,20.46,24.75,21.82,19.37,12.65,7.54,2.4
Sokhumi,43.00697,40.9893,GE,65439,611847,Sokhumi,2.52,4.55,6.28,11.21,14.87,19.16,22.44,21.11,19.42,14.73,11.5,6.69
Senak’i,42.27042,42.0675,GE,27752,612053,Senak’i,2.21,4.74,7.06,12.64,15.65,19.95,23.01,21.22,19.09,14.33,11.5,6.87
Samtredia,42.1537,42.33517,GE,28748,612126,Samtredia,1.54,3.98,6.54,12.14,15.55,19.78,22.8,21.04,18.92,13.91,10.75,6.18
Rustavi,41.56271,44.9787,GE,130100,612287,Rustavi,0.77,2.86,8.02,12.64,16.42,22.99,27.1,24.11,21.69,14.46,9.32,3.88
P’ot’i,42.14272,41.67384,GE,41498,612366,P’ot’i,3.85,5.64,7.5,12.74,15.4,20.1,22.97,21.75,19.85,15.45,12.0,7.82
Och’amch’ire,42.71232,41.46863,GE,15517,612652,Och’amch’ire,2.97,5.25,6.41,11.66,14.89,19.2,22.39,21.13,19.24,14.87,11.86,7.01
Marneuli,41.48713,44.80195,GE,18755,613074,Marneuli,-1.63,1.63,6.83,11.39,15.16,21.2,25.51,22.65,20.39,13.44,8.2,2.74
Kutaisi,42.26791,42.69459,GE,135201,613607,Kutaisi,1.41,2.47,5.78,12.04,15.7,19.68,23.02,21.29,19.09,13.83,10.68,5.66
Kobuleti,41.82143,41.77921,GE,18600,613762,Kobuleti,3.24,5.14,7.07,12.06,14.8,19.55,22.1,21.02,19.38,15.29,11.72,7.37
Khashuri,41.99414,43.59994,GE,27811,613988,Khashuri,-3.06,-1.25,1.71,7.26,12.35,16.46,20.47,17.89,15.5,10.05,5.8,0.61
Gori,41.98422,44.11578,GE,45557,614455,Gori,-2.81,-1.32,3.12,9.04,13.14,17.23,21.3,18.68,16.09,10.38,6.01,1.27
Batumi,41.64228,41.63392,GE,172100,615532,Batumi,5.36,7.16,8.99,14.02,16.31,20.96,23.84,22.85,20.7,16.06,13.02,8.92
Akhaltsikhe,41.63901,42.98262,GE,16943,615860,Akhaltsikhe,-4.04,-2.07,1.67,5.99,11.83,16.23,19.5,17.33,15.52,10.6,4.87,-0.24
Stantsiya Novyy Afon,43.08056,40.83833,GE,26636,615912,Stantsiya Novyy Afon,5.26,7.2,8.71,13.2,16.85,21.07,24.25,23.22,21.5,16.69,13.86,9.31
Ts’q’alt’ubo,42.32858,42.59808,GE,16736,824288,Ts’q’alt’ubo,1.64,3.25,6.23,12.36,15.8,19.82,22.98,21.32,19.26,14.17,11.24,6.28
