name,latitude,longitude,country,population,id
Voúla,37.84221,23.77651,GR,28364,251780
Volos,39.36923,22.94769,GR,86048,251833
Výronas,37.96105,23.753,GR,61308,251948
Vári,37.8332,23.80311,GR,15855,252270
Trípoli,37.50889,22.37944,GR,26561,252601
Tríkala,39.55493,21.76837,GR,61653,252664
Thívai,38.325,23.31889,GR,36477,252910
Sparta,37.07446,22.43009,GR,16239,253394
Salamína,37.96427,23.49649,GR,25370,254144
Rethymno,35.36555,24.48232,GR,32468,254352
Préveza,38.95617,20.7505,GR,17283,254698
Pýrgos,37.67513,21.44102,GR,22399,255229
Piraeus,37.94203,23.64619,GR,163688,255274
Petroúpolis,38.04187,23.68494,GR,58979,255377
Peristéri,38.01539,23.69187,GR,139981,255524
Pérama,37.96775,23.5721,GR,25389,255588
Pátra,38.24444,21.73444,GR,168034,255683
Palaió Fáliro,37.92812,23.70105,GR,64021,256075
Níkaia,37.96667,23.65,GR,89380,256429
Néa Smýrni,37.94504,23.71416,GR,73076,256575
Néa Mákri,38.08733,23.97642,GR,15554,256598
Ílion,38.03333,23.7,GR,84793,256601
Néa Ionía,38.0357,23.75733,GR,67134,256614
Néa Filadélfeia,38.03491,23.73811,GR,25734,256621
Néa Erythraía,38.0927,23.82223,GR,17379,256622
Moskháton,37.94789,23.6788,GR,25441,256750
Mytilene,39.10772,26.55529,GR,28322,256866
Melíssia,38.05,23.83333,GR,22741,257302
Mégara,37.99471,23.34324,GR,23456,257365
Artémida,37.96727,23.99684,GR,21488,258038
Livadeiá,38.43616,22.87665,GR,21492,258463
Lárisa,39.63689,22.41761,GR,146926,258576
Lamía,38.9,22.43333,GR,52006,258620
Metamórfosi,38.06576,23.76356,GR,29891,259128
Kos,36.89295,27.28768,GR,19244,259245
Koropí,37.89886,23.87181,GR,19164,259251
Kórinthos,37.94007,22.9513,GR,30176,259289
Kifisiá,38.07438,23.81106,GR,47332,259824
Cholargós,38.0,23.8,GR,30840,259949
Chios,38.36875,26.13718,GR,23953,259973
Chaniá,35.51124,24.02921,GR,53910,260114
Chalkída,38.46354,23.60284,GR,59125,260133
Khalándrion,38.02369,23.80068,GR,74192,260172
Chaïdári,38.01135,23.66597,GR,45642,260183
Keratsíni,37.9625,23.61972,GR,77077,260204
Kardítsa,39.36485,21.92191,GR,32789,260989
Kamaterón,38.05586,23.70515,GR,28361,261249
Kallithéa,37.95,23.7,GR,100641,261414
Kalamata,37.03913,22.11265,GR,54100,261604
Álimos,37.91033,23.72361,GR,41720,261614
Kaisarianí,37.9634,23.76523,GR,26370,261678
Irákleio,38.05282,23.76523,GR,49642,261743
Irákleion,35.32787,25.14341,GR,137154,261745
Ioánnina,39.66486,20.85189,GR,65574,261779
Glyfáda,37.86289,23.75802,GR,87305,262036
Galátsi,38.01667,23.75,GR,59345,262135
Ellinikó,37.89013,23.74406,GR,17259,262719
Elefsína,38.04135,23.54295,GR,24910,262752
Dhafní,37.95002,23.73437,GR,22913,263312
Agios Dimitrios,37.93333,23.73333,GR,71294,263986
