name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Voúla,37.84221,23.77651,GR,28364,251780,Voúla,12.08,6.25,9.86,13.46,22.16,27.31,28.94,28.74,23.4,21.02,14.87,10.64
Volos,39.36923,22.94769,GR,86048,251833,Volos,9.44,4.56,8.86,12.33,20.9,26.06,27.55,27.95,21.52,18.38,14.17,8.55
Výronas,37.96105,23.753,GR,61308,251948,Výronas,10.59,4.96,8.49,12.39,20.89,25.94,27.78,27.85,22.3,19.8,14.24,9.64
Vári,37.8332,23.80311,GR,15855,252270,Vári,12.18,6.35,9.96,13.56,22.26,27.41,29.04,28.84,23.5,21.12,14.97,10.74
Trípoli,37.50889,22.37944,GR,26561,252601,Trípoli,6.48,0.84,4.75,9.44,17.9,22.39,24.67,24.9,19.07,16.16,10.43,5.21
Tríkala,39.55493,21.76837,GR,61653,252664,Tríkala,6.74,1.25,6.06,10.74,20.18,24.7,26.41,25.58,19.37,15.85,11.07,5.12
Thívai,38.325,23.31889,GR,36477,252910,Thívai,8.64,3.35,7.4,11.77,20.11,25.57,27.69,26.82,20.85,18.42,12.84,7.49
Sparta,37.07446,22.43009,GR,16239,253394,Sparta,10.39,4.95,9.02,12.81,21.0,25.76,28.21,28.6,23.05,19.96,14.17,9.31
Salamína,37.96427,23.49649,GR,25370,254144,Salamína,11.09,5.74,9.47,13.27,21.52,26.75,28.56,28.74,23.19,20.33,14.72,10.15
Rethymno,35.36555,24.48232,GR,32468,254352,Rethymno,14.5,10.37,12.37,15.37,21.54,25.71,28.18,27.89,24.74,23.32,18.37,14.18
Préveza,38.95617,20.7505,GR,17283,254698,Préveza,9.63,4.85,8.57,12.28,19.64,24.35,25.51,26.22,20.63,17.37,13.84,8.78
Pýrgos,37.67513,21.44102,GR,22399,255229,Pýrgos,11.62,7.0,9.76,13.28,19.97,25.09,26.47,27.47,22.66,19.51,15.45,10.9
Piraeus,37.94203,23.64619,GR,163688,255274,Piraeus,10.94,5.59,9.31,13.11,21.37,26.6,28.4,28.59,23.04,20.18,14.57,10.0
Petroúpolis,38.04187,23.68494,GR,58979,255377,Petroúpolis,10.31,4.75,8.41,12.31,20.71,25.75,27.59,27.72,22.19,19.56,13.98,9.35
Peristéri,38.01539,23.69187,GR,139981,255524,Peristéri,10.81,5.25,8.91,12.81,21.21,26.25,28.09,28.22,22.69,20.06,14.48,9.85
Pérama,37.96775,23.5721,GR,25389,255588,Pérama,10.52,5.12,8.84,12.64,20.81,26.1,28.01,28.18,22.59,19.77,14.14,9.54
Pátra,38.24444,21.73444,GR,168034,255683,Pátra,10.6,5.9,9.12,13.16,20.82,26.06,27.11,28.22,22.25,18.83,14.42,9.55
Palaió Fáliro,37.92812,23.70105,GR,64021,256075,Palaió Fáliro,10.92,5.52,9.24,13.04,21.21,26.5,28.41,28.58,22.99,20.17,14.54,9.94
Níkaia,37.96667,23.65,GR,89380,256429,Níkaia,10.87,5.47,9.19,13.0,21.16,26.45,28.35,28.53,22.94,20.12,14.49,9.89
Néa Smýrni,37.94504,23.71416,GR,73076,256575,Néa Smýrni,10.72,5.32,9.04,12.84,21.01,26.3,28.21,28.38,22.79,19.97,14.34,9.74
Néa Mákri,38.08733,23.97642,GR,15554,256598,Néa Mákri,10.46,4.95,8.49,12.46,21.13,26.08,28.17,27.95,22.36,19.88,14.1,9.49
Ílion,38.03333,23.7,GR,84793,256601,Ílion,10.65,5.1,8.75,12.66,21.06,26.1,27.94,28.07,22.54,19.91,14.33,9.7
Néa Ionía,38.0357,23.75733,GR,67134,256614,Néa Ionía,10.49,4.86,8.39,12.29,20.79,25.84,27.68,27.75,22.2,19.7,14.14,9.54
Néa Filadélfeia,38.03491,23.73811,GR,25734,256621,Néa Filadélfeia,10.61,5.05,8.71,12.61,21.01,26.05,27.89,28.02,22.49,19.86,14.28,9.65
Néa Erythraía,38.0927,23.82223,GR,17379,256622,Néa Erythraía,8.95,3.27,6.87,10.92,19.28,24.24,26.4,26.22,20.5,18.29,12.75,8.01
Moskháton,37.94789,23.6788,GR,25441,256750,Moskháton,11.02,5.62,9.34,13.14,21.31,26.6,28.51,28.68,23.09,20.27,14.64,10.04
Mytilene,39.10772,26.55529,GR,28322,256866,Mytilene,11.18,5.13,8.26,12.17,20.29,24.81,26.11,26.71,21.51,18.53,13.87,10.03
Melíssia,38.05,23.83333,GR,22741,257302,Melíssia,9.22,3.5,7.1,11.21,19.82,24.75,26.84,26.7,20.98,18.59,12.99,8.24
Mégara,37.99471,23.34324,GR,23456,257365,Mégara,11.12,5.72,9.51,13.3,21.41,26.53,28.29,28.46,23.03,20.22,14.83,10.25
Artémida,37.96727,23.99684,GR,21488,258038,Artémida,10.55,5.01,8.45,12.28,21.04,26.26,28.1,28.07,22.4,19.87,14.1,9.56
Livadeiá,38.43616,22.87665,GR,21492,258463,Livadeiá,8.65,3.56,7.73,12.03,20.37,25.75,27.69,27.16,20.93,18.28,13.09,7.62
Lárisa,39.63689,22.41761,GR,146926,258576,Lárisa,7.64,2.54,7.03,11.43,20.64,25.82,27.37,27.18,20.61,16.99,12.25,6.32
Lamía,38.9,22.43333,GR,52006,258620,Lamía,8.82,3.13,7.79,12.46,21.18,26.12,27.9,27.38,20.96,18.2,13.35,7.3
Metamórfosi,38.06576,23.76356,GR,29891,259128,Metamórfosi,10.24,4.66,8.12,11.97,20.64,25.81,27.64,27.66,22.02,19.51,13.84,9.27
Kos,36.89295,27.28768,GR,19244,259245,Kos,14.82,9.9,12.4,14.82,19.98,23.39,25.42,26.04,23.26,21.01,17.34,14.21
Koropí,37.89886,23.87181,GR,19164,259251,Koropí,11.04,5.41,8.75,12.36,20.72,25.66,27.34,27.73,22.38,19.98,14.5,10.18
Kórinthos,37.94007,22.9513,GR,30176,259289,Kórinthos,11.5,6.3,9.83,13.47,21.32,26.65,28.45,28.64,23.21,20.47,15.15,10.6
Kifisiá,38.07438,23.81106,GR,47332,259824,Kifisiá,9.12,3.4,7.0,11.11,19.72,24.65,26.74,26.6,20.88,18.49,12.89,8.14
Cholargós,38.0,23.8,GR,30840,259949,Cholargós,10.03,4.41,7.94,11.84,20.34,25.38,27.23,27.31,21.75,19.25,13.69,9.09
Chios,38.36875,26.13718,GR,23953,259973,Chios,12.77,7.04,10.05,13.39,20.98,25.65,26.82,27.33,22.71,19.96,15.26,11.84
Chaniá,35.51124,24.02921,GR,53910,260114,Chaniá,14.14,9.88,11.61,14.36,20.22,23.95,26.14,26.28,23.1,22.15,17.47,13.71
Chalkída,38.46354,23.60284,GR,59125,260133,Chalkída,10.18,5.19,8.75,12.59,20.41,25.66,28.12,27.59,21.87,19.66,14.17,9.18
Khalándrion,38.02369,23.80068,GR,74192,260172,Khalándrion,10.29,4.66,8.19,12.09,20.59,25.64,27.48,27.55,22.0,19.5,13.94,9.34
Chaïdári,38.01135,23.66597,GR,45642,260183,Chaïdári,10.65,5.1,8.75,12.66,21.06,26.1,27.94,28.07,22.54,19.91,14.33,9.7
Keratsíni,37.9625,23.61972,GR,77077,260204,Keratsíni,10.87,5.47,9.19,13.0,21.16,26.45,28.35,28.53,22.94,20.12,14.49,9.89
Kardítsa,39.36485,21.92191,GR,32789,260989,Kardítsa,7.05,1.42,6.14,11.11,20.49,25.08,26.73,25.91,19.59,16.0,11.39,5.28
Kamaterón,38.05586,23.70515,GR,28361,261249,Kamaterón,10.31,4.75,8.41,12.31,20.71,25.75,27.59,27.72,22.19,19.56,13.98,9.35
Kallithéa,37.95,23.7,GR,100641,261414,Kallithéa,10.92,5.52,9.24,13.04,21.21,26.5,28.41,28.58,22.99,20.17,14.54,9.94
Kalamata,37.03913,22.11265,GR,54100,261604,Kalamata,11.57,6.97,9.94,13.36,20.85,25.77,27.46,28.29,23.27,19.96,15.35,10.91
Álimos,37.91033,23.72361,GR,41720,261614,Álimos,10.77,5.37,9.09,12.9,21.06,26.35,28.25,28.43,22.84,20.02,14.39,9.79
Kaisarianí,37.9634,23.76523,GR,26370,261678,Kaisarianí,10.23,4.61,8.14,12.04,20.54,25.58,27.43,27.51,21.95,19.45,13.89,9.29
Irákleio,38.05282,23.76523,GR,49642,261743,Irákleio,10.24,4.66,8.12,11.97,20.64,25.81,27.64,27.66,22.02,19.51,13.84,9.27
Irákleion,35.32787,25.14341,GR,137154,261745,Irákleion,13.0,9.29,11.17,13.8,19.64,23.48,25.94,25.8,22.71,21.64,16.73,12.81
Ioánnina,39.66486,20.85189,GR,65574,261779,Ioánnina,5.41,-0.42,5.67,10.0,19.34,23.6,25.04,25.28,18.02,14.2,10.27,4.57
Glyfáda,37.86289,23.75802,GR,87305,262036,Glyfáda,12.28,6.45,10.06,13.66,22.36,27.51,29.14,28.94,23.6,21.22,15.07,10.84
Galátsi,38.01667,23.75,GR,59345,262135,Galátsi,10.23,4.61,8.14,12.04,20.54,25.58,27.43,27.51,21.95,19.45,13.89,9.29
Ellinikó,37.89013,23.74406,GR,17259,262719,Ellinikó,10.72,5.32,9.04,12.84,21.01,26.3,28.21,28.38,22.79,19.97,14.34,9.74
Elefsína,38.04135,23.54295,GR,24910,262752,Elefsína,11.09,5.74,9.47,13.27,21.52,26.75,28.56,28.74,23.19,20.33,14.72,10.15
Dhafní,37.95002,23.73437,GR,22913,263312,Dhafní,10.61,5.05,8.71,12.61,21.01,26.05,27.89,28.02,22.49,19.86,14.28,9.65
Agios Dimitrios,37.93333,23.73333,GR,71294,263986,Agios Dimitrios,11.49,5.89,9.26,12.82,21.09,26.05,27.77,28.18,22.84,20.35,14.87,10.58
Agía Varvára,37.98938,23.66011,GR,26550,264111,Agía Varvára,10.85,5.3,8.95,12.86,21.26,26.3,28.14,28.27,22.74,20.11,14.53,9.9
Agía Paraskeví,38.01667,23.83333,GR,59704,264194,Agía Paraskeví,10.03,4.41,7.94,11.84,20.34,25.38,27.23,27.31,21.75,19.25,13.69,9.09
Athens,37.98376,23.72784,GR,664046,264371,Athens,10.65,5.1,8.75,12.66,21.06,26.1,27.94,28.07,22.54,19.91,14.33,9.7
Asprópyrgos,38.06134,23.58971,GR,30251,264445,Asprópyrgos,10.94,5.59,9.31,13.11,21.37,26.6,28.4,28.59,23.04,20.18,14.57,10.0
Argyroúpoli,37.90594,23.75035,GR,34097,264516,Argyroúpoli,11.54,5.94,9.31,12.86,21.14,26.1,27.82,28.23,22.89,20.4,14.92,10.63
Árta,39.16014,20.98561,GR,21895,264559,Árta,8.41,3.71,8.01,12.12,20.17,24.86,25.78,26.58,20.32,16.56,12.93,7.49
Árgos,37.63333,22.73333,GR,22209,264670,Árgos,10.55,5.56,9.0,13.09,20.98,26.61,28.91,28.84,23.17,20.37,14.35,9.5
Áno Liósia,38.08333,23.7,GR,33565,264888,Áno Liósia,10.15,4.6,8.25,12.16,20.56,25.6,27.44,27.57,22.04,19.41,13.83,9.2
Maroúsi,38.05,23.8,GR,72333,265243,Maroúsi,10.03,4.41,7.94,11.84,20.34,25.38,27.23,27.31,21.75,19.25,13.69,9.09
Amaliáda,37.79842,21.35068,GR,16763,265252,Amaliáda,11.17,6.61,9.47,13.2,20.18,25.33,26.68,27.66,22.49,19.23,15.06,10.39
Acharnés,38.08333,23.73333,GR,99346,265488,Acharnés,10.15,4.6,8.25,12.16,20.56,25.6,27.44,27.57,22.04,19.41,13.83,9.2
Aígio,38.24861,22.08194,GR,20422,265500,Aígio,9.31,4.19,8.39,12.29,21.07,26.32,27.34,28.22,21.36,17.99,13.47,8.29
Aigáleo,37.98333,23.68333,GR,69946,265533,Aigáleo,10.92,5.52,9.24,13.04,21.21,26.5,28.41,28.58,22.99,20.17,14.54,9.94
Agrínio,38.62139,21.40778,GR,46899,265560,Agrínio,10.05,5.21,9.05,13.22,21.09,26.03,27.19,28.1,21.83,18.2,14.3,9.26
Ródos,36.43556,28.22199,GR,56128,400666,Ródos,14.65,10.5,12.99,15.15,20.43,23.79,26.43,27.37,24.55,21.73,17.88,14.45
Giannitsá,40.79194,22.4075,GR,27817,733776,Giannitsá,5.16,1.31,6.0,10.48,20.06,24.34,25.6,26.39,19.29,14.96,10.36,4.26
Xánthi,41.13488,24.888,GR,48221,733840,Xánthi,5.94,1.58,5.91,9.83,19.37,23.25,24.42,25.85,19.2,15.09,10.65,5.73
Véroia,40.52437,22.20242,GR,44464,733905,Véroia,5.02,1.09,6.09,10.42,19.85,23.9,25.41,25.76,19.1,14.87,10.17,3.72
Thessaloníki,40.64361,22.93086,GR,317778,734077,Thessaloníki,6.56,2.9,7.24,11.76,20.77,25.26,26.4,27.25,20.62,16.29,11.84,5.83
Stavroúpoli,40.66944,22.93806,GR,46008,734150,Stavroúpoli,6.46,2.75,7.28,11.84,21.05,25.4,26.64,27.28,20.71,16.26,11.82,5.83
Sykiés,40.64944,22.95083,GR,44955,734301,Sykiés,6.37,2.34,6.73,11.06,20.04,24.3,25.32,25.87,19.91,15.95,11.65,5.69
Sérres,41.08499,23.54757,GR,58287,734330,Sérres,5.81,2.81,7.48,12.28,22.0,25.64,27.02,27.97,20.89,15.77,11.16,5.39
Ptolemaḯda,40.51472,21.67861,GR,30045,734426,Ptolemaḯda,2.39,-1.1,4.82,8.58,18.83,22.68,24.0,24.47,17.51,12.91,8.08,1.54
Políchni,40.66671,22.94881,GR,56685,734538,Políchni,6.02,2.29,6.82,11.39,20.59,24.95,26.19,26.83,20.26,15.81,11.37,5.38
Pylaía,40.59918,22.98613,GR,34625,734643,Pylaía,6.22,2.49,7.02,11.59,20.79,25.15,26.39,27.03,20.46,16.01,11.57,5.58
