name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zaprešić,45.85639,15.80778,HR,18768,3186781,Zaprešić,-1.36,-0.37,3.38,9.43,13.44,19.93,20.75,21.19,17.04,10.69,8.85,0.64
Zagreb,45.81444,15.97798,HR,663592,3186886,Zagreb,-1.52,-0.38,3.46,9.37,13.26,19.89,20.74,21.31,16.83,10.41,8.56,0.5
Zadar,44.11578,15.22514,HR,67309,3186952,Zadar,5.89,5.23,7.62,12.08,15.11,21.6,22.95,23.54,20.1,13.58,11.2,5.56
Vukovar,45.35161,19.00225,HR,22255,3187047,Vukovar,-1.89,0.23,5.66,11.36,14.35,20.47,21.14,21.86,17.33,10.95,8.55,1.6
Vinkovci,45.28833,18.80472,HR,28111,3187719,Vinkovci,-1.75,0.1,5.54,11.2,14.16,20.37,21.05,21.83,17.2,10.83,8.44,1.4
Velika Gorica,45.7125,16.07556,HR,30036,3188244,Velika Gorica,-1.56,-0.02,4.09,9.79,13.6,20.26,21.21,21.74,17.16,10.61,8.72,0.48
Varaždin,46.30444,16.33778,HR,36187,3188383,Varaždin,-1.87,-0.06,3.46,9.14,13.3,19.62,20.22,20.33,16.34,10.27,8.63,0.3
Split,43.50891,16.43915,HR,149830,3190261,Split,8.04,6.12,8.76,12.66,15.63,21.51,23.3,23.37,20.67,14.7,12.05,7.69
Solin,43.5432,16.49314,HR,20996,3190359,Solin,7.87,6.04,8.67,12.62,15.56,21.41,23.14,23.33,20.71,14.74,12.08,7.92
Slavonski Brod,45.16028,18.01556,HR,45005,3190586,Slavonski Brod,-1.48,-0.15,4.91,10.96,14.07,20.39,20.93,21.76,17.26,10.72,8.15,1.14
Požega,45.34028,17.68528,HR,16867,3190589,Požega,-1.67,-0.43,4.42,10.76,13.85,20.19,20.8,21.51,17.28,10.52,7.83,0.81
Sisak,45.46611,16.37833,HR,27859,3190813,Sisak,-1.47,0.1,4.3,9.83,13.26,20.02,20.75,21.27,16.83,10.36,8.68,0.44
Šibenik,43.73429,15.8942,HR,31115,3190941,Šibenik,9.78,8.25,10.14,13.23,16.11,21.45,23.28,23.74,21.47,16.03,13.77,9.82
Sesvete,45.83111,16.11639,HR,55313,3190966,Sesvete,-1.75,-0.33,3.66,9.43,13.29,19.89,20.8,21.27,16.77,10.36,8.53,0.37
Samobor,45.80306,15.71806,HR,16911,3191316,Samobor,-1.61,-0.66,3.09,9.19,13.04,19.69,20.54,21.24,16.85,10.19,8.3,0.24
Rijeka,45.32673,14.44241,HR,107964,3191648,Rijeka,4.2,3.65,5.98,10.95,14.57,21.33,21.99,22.6,19.16,13.17,10.88,4.52
Pula,44.86833,13.84806,HR,52220,3192224,Pula,7.92,7.49,8.84,12.34,15.83,21.32,23.0,23.39,20.67,15.38,13.28,8.12
Osijek,45.55111,18.69389,HR,75535,3193935,Osijek,-1.93,0.58,5.42,10.98,14.23,20.5,21.08,21.59,17.11,10.81,8.56,1.49
Koprivnica,46.16278,16.8275,HR,22262,3197728,Koprivnica,-1.72,1.01,4.3,9.73,13.72,20.18,20.71,20.79,16.64,10.67,8.93,0.69
Dubrovnik,42.64125,18.10909,HR,26922,3201047,Dubrovnik,8.69,7.21,9.38,12.75,15.39,20.94,23.08,23.48,20.91,15.21,12.24,8.6
Đakovo,45.30833,18.41056,HR,16875,3202220,Đakovo,-1.83,-0.28,5.29,10.88,13.98,20.29,20.83,21.56,16.98,10.63,8.4,1.13
Čakovec,46.38444,16.43389,HR,15078,3202888,Čakovec,-1.98,-0.01,3.54,9.27,13.38,19.64,20.27,20.33,16.36,10.29,8.51,0.23
Bjelovar,45.89861,16.84889,HR,24392,3203982,Bjelovar,-1.68,1.0,4.82,10.12,13.87,20.41,21.05,21.18,16.9,10.71,8.95,0.69
Karlovac,45.49167,15.55,HR,41869,3345300,Karlovac,-1.17,-0.09,2.95,9.16,12.67,19.35,20.17,20.74,16.7,10.2,8.5,0.47
Centar,45.81313,15.97753,HR,37000,6618983,Centar,-1.47,-0.33,3.51,9.42,13.31,19.93,20.79,21.36,16.88,10.46,8.61,0.54
