name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Törökszentmiklós,47.18333,20.41667,HU,22770,714581,Törökszentmiklós,-2.91,-5.28,4.11,10.61,20.53,23.48,23.39,24.58,17.74,9.62,7.58,0.98
Tiszaújváros,47.93333,21.08333,HU,17295,714697,Tiszaújváros,-3.63,-5.61,3.31,10.19,20.25,23.26,23.17,24.29,16.97,8.7,6.51,0.37
Szolnok,47.18333,20.2,HU,71285,715126,Szolnok,-2.73,-5.24,4.28,10.58,20.45,23.45,23.36,24.53,17.71,9.57,7.56,1.0
Szeged,46.253,20.14824,HU,160766,715429,Szeged,-3.01,-5.06,4.56,10.58,20.62,24.02,23.38,25.19,17.36,9.69,7.69,1.46
Szarvas,46.86667,20.55,HU,18170,715466,Szarvas,-3.31,-5.61,3.75,10.39,20.36,23.41,23.15,24.57,17.46,9.56,7.67,1.18
Sátoraljaújhely,48.39492,21.65871,HU,18052,715839,Sátoraljaújhely,-3.6,-4.54,3.35,9.55,19.7,22.21,22.51,23.64,16.14,7.91,5.99,0.15
Püspökladány,47.31667,21.11667,HU,15990,716301,Püspökladány,-3.36,-5.5,3.77,10.36,20.48,23.36,22.96,24.16,17.2,9.24,7.44,0.85
Ózd,48.21667,20.3,HU,38476,716671,Ózd,-4.31,-6.03,3.03,8.89,18.56,21.14,21.16,22.0,15.1,6.98,5.09,-0.21
Orosháza,46.56667,20.66667,HU,31373,716736,Orosháza,-3.33,-5.31,3.97,10.4,20.32,23.46,23.05,24.73,17.33,9.61,7.78,1.38
Nyíregyháza,47.95539,21.71671,HU,117689,716935,Nyíregyháza,-3.52,-5.39,3.34,9.93,20.33,22.84,22.88,24.09,16.75,8.45,6.59,0.43
Miskolc,48.10306,20.77806,HU,154521,717582,Miskolc,-4.02,-5.73,3.21,9.82,19.63,22.55,22.52,23.33,16.21,8.18,6.15,0.36
Mezőtúr,47.0,20.63333,HU,19168,717635,Mezőtúr,-3.25,-5.66,3.77,10.43,20.45,23.49,23.25,24.6,17.56,9.58,7.69,1.15
Mezőkövesd,47.81667,20.58333,HU,17701,717652,Mezőkövesd,-3.52,-5.22,3.72,10.07,19.84,22.77,22.7,23.56,16.8,8.58,6.3,0.17
Mátészalka,47.95528,22.32348,HU,18718,717771,Mátészalka,-3.98,-6.37,3.18,9.6,20.29,22.46,22.62,23.81,16.7,8.43,6.48,0.19
Makó,46.21667,20.48333,HU,25135,717902,Makó,-3.28,-5.37,4.49,10.55,20.61,24.07,23.48,25.27,17.49,9.86,7.84,1.57
Kisvárda,48.21667,22.08333,HU,18190,718739,Kisvárda,-3.74,-5.95,3.07,9.61,20.03,22.35,22.72,23.84,16.39,8.27,6.37,0.22
Kazincbarcika,48.25,20.63333,HU,32396,719311,Kazincbarcika,-4.51,-6.0,2.99,9.12,18.93,21.7,21.63,22.4,15.38,7.28,5.43,0.02
Karcag,47.31667,20.93333,HU,22370,719404,Karcag,-3.37,-5.53,3.79,10.48,20.53,23.44,23.1,24.32,17.37,9.36,7.44,0.81
Hódmezővásárhely,46.41667,20.33333,HU,44009,719965,Hódmezővásárhely,-3.34,-5.52,4.23,10.43,20.45,23.85,23.36,25.09,17.37,9.67,7.68,1.36
Hajdúszoboszló,47.45,21.4,HU,23781,720276,Hajdúszoboszló,-3.21,-5.24,3.86,10.32,20.47,23.13,22.96,24.07,17.09,9.05,7.31,0.78
