name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Wexford,52.33417,-6.4575,IE,19913,2960964,Wexford,6.73,5.19,5.85,7.55,11.54,14.87,14.61,15.17,14.13,12.06,9.44,6.92
Waterford,52.25833,-7.11194,IE,53504,2960992,Waterford,6.1,4.56,5.58,7.48,12.05,15.68,15.0,15.28,13.92,11.61,8.7,5.83
Tralee,52.27042,-9.70264,IE,22941,2961123,Tralee,5.75,4.96,5.93,7.82,12.13,15.7,14.46,15.24,14.01,11.83,8.6,5.47
Tallaght,53.2859,-6.37344,IE,80339,2961284,Tallaght,4.66,3.31,4.53,6.65,12.04,15.52,14.52,15.12,13.53,10.76,7.37,4.83
Swords,53.45972,-6.21806,IE,42738,2961297,Swords,5.45,4.12,5.19,7.14,12.14,15.28,14.8,15.33,13.85,11.33,8.11,5.81
Sligo,54.26969,-8.46943,IE,19199,2961423,Sligo,4.44,3.55,5.03,6.93,12.01,15.83,13.4,15.12,13.1,10.91,7.11,5.1
Rathfarnham,53.30056,-6.28278,IE,17333,2961911,Rathfarnham,4.97,3.58,4.76,6.88,12.25,15.67,14.79,15.32,13.81,11.04,7.65,5.19
Droichead Nua,53.18194,-6.79667,IE,22742,2962290,Droichead Nua,4.21,2.95,4.27,6.45,12.06,15.82,14.24,15.15,13.27,10.47,6.97,4.1
Navan,53.65278,-6.68139,IE,24545,2962308,Navan,4.5,3.24,4.69,6.72,12.41,15.99,14.45,15.38,13.5,10.79,7.22,4.75
Naas,53.21583,-6.66694,IE,20713,2962334,Naas,4.37,3.07,4.39,6.57,12.14,15.86,14.4,15.21,13.41,10.6,7.13,4.31
An Muileann gCearr,53.52466,-7.3385,IE,17262,2962361,An Muileann gCearr,4.4,3.19,4.57,6.56,12.16,15.78,14.02,15.22,13.29,10.7,7.1,4.55
Malahide,53.45083,-6.15444,IE,16550,2962725,Malahide,5.5,4.16,5.24,7.19,12.2,15.33,14.85,15.39,13.9,11.38,8.16,5.86
Lucan,53.35736,-6.44859,IE,15269,2962785,Lucan,4.96,3.68,4.93,7.01,12.33,15.8,14.83,15.44,13.78,11.05,7.69,5.17
Limerick,52.66472,-8.62306,IE,94192,2962943,Limerick,5.02,3.95,5.31,7.35,12.28,16.08,14.45,15.39,13.71,11.37,7.91,4.8
Letterkenny,54.95,-7.73333,IE,19274,2962961,Letterkenny,4.62,3.51,4.92,6.78,11.51,15.37,12.84,14.84,13.01,10.62,7.11,5.64
Leixlip,53.36583,-6.49556,IE,15504,2962974,Leixlip,4.73,3.47,4.75,6.84,12.28,15.8,14.63,15.36,13.64,10.89,7.48,4.91
Kilkenny,52.65417,-7.25222,IE,21589,2963398,Kilkenny,4.8,3.47,4.8,6.96,12.27,16.11,14.75,15.31,13.59,11.04,7.57,4.54
Greystones,53.14083,-6.06306,IE,18140,2963848,Greystones,5.86,4.49,5.39,7.28,11.76,15.14,14.78,15.25,13.85,11.51,8.49,6.14
Galway,53.27245,-9.05095,IE,83456,2964180,Galway,4.95,4.11,5.34,7.31,12.03,15.94,13.92,15.22,13.5,11.38,7.82,4.92
Finglas,53.38917,-6.29694,IE,19768,2964303,Finglas,4.89,3.6,4.79,6.83,11.98,15.37,14.61,15.15,13.55,10.89,7.6,5.14
Ennis,52.84361,-8.98639,IE,25276,2964405,Ennis,5.3,4.45,5.63,7.61,12.18,15.89,14.24,15.38,13.79,11.58,8.2,5.12
Dún Laoghaire,53.29395,-6.13586,IE,26525,2964506,Dún Laoghaire,5.39,4.1,5.17,7.14,12.04,15.33,14.82,15.32,13.79,11.25,8.08,5.7
Dundalk,54.0,-6.41667,IE,39004,2964540,Dundalk,4.86,3.36,4.84,6.84,12.2,15.67,14.34,15.29,13.4,10.82,7.44,5.21
Dublin,53.33306,-6.24889,IE,1024027,2964574,Dublin,5.44,4.14,5.22,7.19,12.1,15.38,14.87,15.36,13.84,11.31,8.13,5.75
Drogheda,53.71889,-6.34778,IE,40956,2964661,Drogheda,4.76,3.36,4.65,6.69,12.17,15.47,14.47,15.16,13.48,10.83,7.36,5.06
Douglas,51.87444,-8.435,IE,26883,2964690,Douglas,6.27,4.83,5.89,7.77,12.23,15.85,15.24,15.41,14.12,11.79,8.86,5.93
Cork,51.89797,-8.47061,IE,190384,2965140,Cork,6.12,4.72,5.81,7.73,12.24,15.85,15.19,15.38,14.06,11.71,8.73,5.77
Cluain Meala,52.355,-7.70389,IE,17140,2965353,Cluain Meala,5.17,3.74,5.14,7.26,12.39,16.33,15.09,15.35,13.8,11.29,7.85,4.65
Celbridge,53.34165,-6.54419,IE,20288,2965529,Celbridge,4.85,3.53,4.81,6.94,12.4,15.96,14.77,15.48,13.8,11.02,7.6,5.0
Carrigaline,51.81167,-8.39861,IE,15770,2965715,Carrigaline,6.76,5.27,6.11,7.91,12.05,15.63,15.13,15.39,14.14,11.93,9.19,6.37
Carlow,52.84083,-6.92611,IE,24272,2965768,Carlow,4.58,3.25,4.53,6.78,12.19,16.06,14.69,15.27,13.45,10.76,7.29,4.38
Bray,53.20278,-6.09833,IE,32600,2966022,Bray,5.8,4.35,5.27,7.2,12.01,15.21,14.83,15.32,14.02,11.59,8.43,6.12
