name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zhanaozen,43.34116,52.86192,KZ,103598,607610,Zhanaozen,-4.63,0.61,5.08,13.89,20.5,23.72,28.45,25.74,18.9,10.57,5.66,-3.73
Shalqar,47.83172,59.62111,KZ,27399,608359,Shalqar,-15.11,-9.21,-3.65,9.87,17.1,21.51,25.28,21.09,16.25,6.61,-0.97,-12.56
Shalkar,48.03333,48.9,KZ,27072,608362,Shalkar,-8.88,-2.83,1.95,12.24,18.64,21.4,27.21,22.17,16.41,8.76,2.34,-7.64
Oral,51.23333,51.36667,KZ,330000,608668,Oral,-14.22,-9.05,-3.87,8.95,15.84,18.72,24.24,20.04,14.46,5.64,-0.68,-14.19
Kandyagash,49.46912,57.41914,KZ,28196,608679,Kandyagash,-16.12,-10.56,-4.83,8.82,14.63,18.32,23.44,19.45,14.64,4.6,-2.14,-14.16
Qulsary,46.95307,54.01978,KZ,51216,609123,Qulsary,-11.42,-3.62,1.95,13.74,19.69,22.87,28.0,23.89,17.83,8.51,2.2,-7.92
Khromtau,50.25161,58.43574,KZ,23715,609404,Khromtau,-16.73,-12.21,-6.52,7.09,12.72,16.58,21.41,18.09,13.42,3.11,-3.84,-15.58
Karagandy,49.80187,73.10211,KZ,497777,609655,Karagandy,-15.74,-13.17,-9.16,6.26,12.57,18.38,20.15,17.71,12.8,3.97,-6.96,-15.83
Embi,48.82981,58.15042,KZ,18760,609924,Embi,-15.49,-9.99,-3.94,9.29,15.74,19.85,24.41,20.15,15.48,5.4,-1.72,-13.62
Balykshi,47.06667,51.86667,KZ,19260,610445,Balykshi,-9.55,-3.23,1.69,13.0,19.48,22.67,28.33,23.67,17.38,9.39,3.41,-6.73
Atyrau,47.11667,51.88333,KZ,290700,610529,Atyrau,-9.55,-3.23,1.69,13.0,19.48,22.67,28.33,23.67,17.38,9.39,3.41,-6.73
Aktobe,50.27969,57.20718,KZ,500757,610611,Aktobe,-16.56,-10.86,-5.14,8.62,14.19,17.86,23.19,19.39,14.65,4.21,-2.44,-15.01
Shevchenko,43.64806,51.17222,KZ,147443,610612,Shevchenko,-1.61,2.39,5.87,13.88,20.58,22.99,28.18,25.94,19.64,12.0,8.08,-1.55
Aqsay,51.1681,52.99782,KZ,34799,610613,Aqsay,-15.2,-9.73,-4.25,8.83,15.5,18.45,23.94,19.82,14.5,5.38,-1.01,-14.61
Altay,49.73626,84.25416,KZ,44929,1516438,Altay,-15.56,-11.07,-9.0,2.53,9.09,15.53,17.25,16.04,11.18,0.69,-10.01,-14.57
Zhosaly,45.48778,64.07806,KZ,20065,1516519,Zhosaly,-9.85,-3.64,0.94,13.42,20.71,25.09,28.27,24.62,18.74,9.14,0.26,-8.46
Zhezqazghan,47.78746,67.71118,KZ,104357,1516589,Zhezqazghan,-15.87,-10.82,-6.11,9.01,16.46,21.17,24.4,20.62,14.94,6.12,-3.61,-14.02
Zhitikara,52.19019,61.19894,KZ,43104,1516601,Zhitikara,-15.22,-12.38,-5.54,5.5,11.71,16.63,20.25,17.5,13.71,2.98,-5.8,-16.46
Zhangatas,43.56222,69.73428,KZ,33492,1516788,Zhangatas,-7.79,-0.58,1.03,12.21,18.56,23.26,25.7,24.37,18.07,10.42,1.47,-5.4
Novokazalinsk,45.84806,62.15254,KZ,35883,1516789,Novokazalinsk,-9.63,-3.72,0.94,12.39,20.16,24.48,27.58,24.25,18.59,8.92,0.35,-8.29
Taraz,42.9,71.36667,KZ,358153,1516905,Taraz,-5.63,-0.75,1.01,12.02,16.65,20.75,23.31,23.2,17.44,10.02,1.04,-4.84
Zaysan,47.46657,84.87144,KZ,17600,1517060,Zaysan,-13.72,-11.15,-9.35,6.08,12.17,17.91,20.45,19.11,13.64,3.21,-7.85,-13.69
Yanykurgan,43.90652,67.24637,KZ,21339,1517323,Yanykurgan,-8.2,-0.07,4.17,16.07,21.86,25.51,28.75,26.23,20.45,12.28,3.14,-4.21
Turar Ryskulov,42.5334,70.3496,KZ,18421,1517501,Turar Ryskulov,-5.17,-0.17,1.61,12.22,16.42,19.78,22.7,22.88,17.16,10.53,4.4,-2.39
Ushtobe,45.25258,77.98284,KZ,20492,1517637,Ushtobe,-11.49,-6.11,-1.62,10.87,17.22,22.63,25.62,22.8,17.47,8.98,-1.1,-10.44
Turkestan,43.29733,68.25175,KZ,227098,1517945,Turkestan,-5.67,0.89,4.93,15.12,21.02,25.01,27.85,26.55,20.81,12.85,4.31,-2.1
Temirtau,50.05494,72.96464,KZ,170600,1518262,Temirtau,-16.21,-13.78,-9.66,5.9,12.31,18.18,19.6,17.39,12.62,3.58,-7.19,-16.33
Tekeli,44.8678,78.72807,KZ,26678,1518296,Tekeli,-10.23,-6.59,-4.05,8.04,12.88,17.14,20.21,18.75,13.76,6.43,-2.47,-8.23
Tasbuget,44.77018,65.55461,KZ,16455,1518431,Tasbuget,-9.69,-2.57,1.9,14.16,20.64,24.6,27.53,24.5,18.96,10.33,1.17,-7.67
Talghar,43.30235,77.23811,KZ,42194,1518518,Talghar,-6.81,-2.86,-1.64,7.99,12.68,15.93,18.64,18.94,13.6,6.97,-0.54,-5.03
Taldykorgan,45.01556,78.37389,KZ,116558,1518542,Taldykorgan,-9.08,-5.3,-1.78,10.02,15.38,20.21,23.53,21.42,16.19,8.63,-1.05,-7.29
Shymkent,42.3,69.6,KZ,1200000,1518980,Shymkent,-3.23,2.82,5.15,14.49,18.76,22.36,25.1,25.12,19.07,12.62,5.68,-0.76
Chu,43.60334,73.75919,KZ,39785,1519030,Chu,-4.33,0.33,3.06,13.19,17.98,22.98,25.95,25.25,19.17,11.81,2.78,-4.72
Shemonaikha,50.62899,81.91092,KZ,20087,1519226,Shemonaikha,-15.39,-12.24,-10.8,4.74,11.7,18.08,19.81,17.67,13.41,3.64,-7.43,-15.37
Shchuchinsk,52.93592,70.18895,KZ,47290,1519244,Shchuchinsk,-15.27,-12.97,-7.45,4.72,9.59,15.6,16.6,15.22,12.15,1.52,-7.46,-16.6
Shakhtinsk,49.70885,72.59212,KZ,41602,1519327,Shakhtinsk,-15.8,-12.85,-8.78,6.54,13.13,18.82,20.73,18.09,13.24,4.42,-6.53,-15.67
Semey,50.42675,80.26669,KZ,292780,1519422,Semey,-15.02,-12.37,-9.66,6.63,12.71,20.43,21.93,19.13,14.33,4.08,-6.76,-16.46
