name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Visaginas,55.59678,26.43984,LT,18024,593063,Visaginas,-8.51,-6.66,-5.69,4.82,7.76,16.62,16.59,15.08,11.66,6.7,-1.26,-2.2
Vilnius,54.68916,25.2798,LT,542366,593116,Vilnius,-7.52,-5.65,-5.11,5.06,8.09,16.43,16.77,15.46,12.33,7.56,-0.44,-1.58
Utena,55.49764,25.59918,LT,25397,593672,Utena,-7.76,-6.07,-4.95,5.26,8.01,16.74,16.82,15.38,12.13,7.17,-0.73,-1.59
Ukmerge,55.25,24.75,LT,20154,593733,Ukmerge,-7.51,-5.84,-4.6,5.51,8.21,16.74,16.89,15.54,12.37,7.4,-0.42,-1.24
Telsiai,55.98139,22.24722,LT,21294,593926,Telsiai,-6.62,-6.38,-4.56,4.82,7.59,15.88,16.08,14.91,12.07,6.99,-0.31,-0.37
Taurage,55.25222,22.28972,LT,21203,593959,Taurage,-6.63,-5.52,-4.19,5.5,8.4,16.48,16.82,15.69,12.59,7.74,0.01,-0.16
Šiauliai,55.93333,23.31667,LT,99462,594739,Šiauliai,-7.39,-6.7,-4.98,5.01,7.66,15.93,16.17,15.0,12.03,6.86,-0.63,-1.06
Radviliskis,55.81667,23.53333,LT,16344,595449,Radviliskis,-7.4,-6.56,-4.86,5.11,7.73,16.0,16.24,15.02,12.04,6.85,-0.64,-1.12
Plunge,55.91139,21.84417,LT,18904,595689,Plunge,-6.34,-6.09,-4.37,4.87,7.73,16.1,16.3,15.13,12.19,7.23,-0.09,-0.05
Panevėžys,55.73186,24.35983,LT,85885,596128,Panevėžys,-7.42,-6.08,-4.36,5.7,8.35,16.89,16.95,15.63,12.5,7.38,-0.34,-0.99
Palanga,55.9175,21.06861,LT,18207,596238,Palanga,-4.71,-4.91,-3.36,5.19,8.09,16.66,16.84,15.98,13.15,8.38,1.35,1.51
Fabijoniškės,54.73333,25.24167,LT,37000,596479,Fabijoniškės,-8.05,-6.19,-5.61,4.53,7.54,15.87,16.2,14.9,11.79,7.0,-0.96,-2.11
Naujoji Vilnia,54.69515,25.41969,LT,36800,596713,Naujoji Vilnia,-7.93,-6.06,-5.6,4.66,7.72,16.07,16.43,15.1,11.95,7.2,-0.87,-1.98
Mazeikiai,56.31667,22.33333,LT,32470,597188,Mazeikiai,-6.5,-6.52,-4.47,5.19,7.91,16.28,16.4,15.2,12.39,7.24,-0.01,-0.15
Marijampolė,54.55991,23.35412,LT,34975,597231,Marijampolė,-6.94,-4.93,-4.16,5.59,8.32,16.27,16.76,15.69,12.65,7.9,0.46,-0.54
Kretinga,55.8888,21.24448,LT,17249,597989,Kretinga,-4.95,-5.1,-3.52,5.11,8.0,16.57,16.74,15.84,12.99,8.19,1.13,1.29
Klaipėda,55.7068,21.13912,LT,172292,598098,Klaipėda,-4.45,-4.61,-3.17,5.09,8.02,16.33,16.71,15.98,13.38,8.66,1.67,1.73
Kėdainiai,55.28782,23.97275,LT,22677,598272,Kėdainiai,-7.08,-5.64,-4.19,5.78,8.51,16.75,17.0,15.74,12.7,7.64,-0.07,-0.8
Kaunas,54.90272,23.90961,LT,289380,598316,Kaunas,-7.34,-5.56,-4.76,5.45,8.27,16.4,16.78,15.59,12.54,7.69,0.06,-0.84
Jonava,55.08014,24.27544,LT,26423,598818,Jonava,-7.28,-5.56,-4.42,5.52,8.23,16.54,16.8,15.53,12.48,7.57,-0.1,-0.96
Gargždai,55.70951,21.39441,LT,16433,599506,Gargždai,-5.04,-4.99,-3.43,5.09,8.08,16.43,16.68,15.78,13.01,8.19,1.11,1.21
Antakalnis,54.70781,25.31706,LT,40000,601041,Antakalnis,-7.56,-5.7,-5.16,5.0,8.03,16.38,16.72,15.41,12.28,7.51,-0.49,-1.63
Alytus,54.39635,24.04142,LT,49195,601084,Alytus,-7.14,-4.97,-4.21,5.41,8.28,16.27,16.76,15.69,12.63,7.86,0.37,-0.98
Aleksotas,54.88037,23.90842,LT,24270,601138,Aleksotas,-7.39,-5.61,-4.81,5.4,8.22,16.35,16.72,15.54,12.49,7.63,0.01,-0.89
Dainava (Kaunas),54.91525,23.96831,LT,70000,6618486,Dainava (Kaunas),-7.22,-5.52,-4.68,5.41,8.27,16.44,16.8,15.59,12.54,7.67,0.09,-0.78
Naujininkai,54.66425,25.28418,LT,33500,6955408,Naujininkai,-7.91,-6.04,-5.5,4.7,7.73,16.08,16.42,15.11,11.98,7.21,-0.82,-1.95
Karoliniškės,54.69034,25.21903,LT,31200,8714608,Karoliniškės,-7.9,-6.04,-5.46,4.68,7.69,16.01,16.35,15.05,11.93,7.15,-0.81,-1.96
