name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Valmiera,57.54108,25.42751,LV,26963,453754,Valmiera,-0.73,3.12,2.98,7.46,10.9,14.93,15.53,16.11,9.91,6.64,2.41,-1.65
Ventspils,57.39485,21.56121,LV,42644,454310,Ventspils,2.64,4.32,4.26,7.32,10.08,14.83,15.85,17.27,11.57,8.47,4.81,1.33
Tukums,56.96764,23.15554,LV,18348,454768,Tukums,1.16,4.17,3.96,7.37,11.11,15.02,16.04,16.73,10.77,7.61,3.49,-0.42
Salaspils,56.86014,24.36544,LV,17606,455898,Salaspils,0.54,4.11,4.11,8.03,11.37,15.42,16.34,16.8,10.64,7.37,3.16,-1.14
Riga,56.946,24.10589,LV,742572,456172,Riga,0.92,4.3,4.28,8.07,11.45,15.53,16.53,17.07,10.95,7.7,3.48,-0.74
Rēzekne,56.51028,27.34,LV,38340,456202,Rēzekne,-1.81,2.53,3.1,7.71,11.2,14.73,15.64,15.62,9.43,6.21,1.69,-2.67
Ogre,56.8162,24.61401,LV,26760,457065,Ogre,0.38,3.99,4.02,7.9,11.37,15.31,16.19,16.6,10.5,7.22,3.03,-1.32
Liepāja,56.50474,21.01085,LV,85132,457954,Liepāja,2.71,4.5,4.52,7.89,11.53,15.75,16.29,17.48,11.92,8.83,4.91,0.99
Jūrmala,56.968,23.77038,LV,54088,459201,Jūrmala,1.22,4.46,4.38,8.07,11.55,15.48,16.53,17.15,11.11,7.88,3.71,-0.4
Jelgava,56.65,23.71278,LV,61791,459279,Jelgava,1.3,4.53,4.59,8.26,11.95,15.5,16.45,16.95,10.84,7.67,3.5,-0.76
Jēkabpils,56.49903,25.85735,LV,27078,459283,Jēkabpils,-0.7,3.23,3.62,7.83,11.34,15.01,15.64,16.01,9.89,6.72,2.41,-1.96
Daugavpils,55.88333,26.53333,LV,111564,460413,Daugavpils,-0.52,3.24,4.03,8.14,11.89,15.27,15.93,16.14,10.08,6.95,2.53,-2.1
Dārzciems,57.48253,26.44238,LV,18956,460433,Dārzciems,-1.67,2.69,2.57,7.49,10.98,14.88,15.34,15.71,9.42,6.21,1.78,-2.07
Cēsis,57.31188,25.27456,LV,18198,460570,Cēsis,-1.05,2.89,2.76,7.45,10.71,14.77,15.37,15.96,9.7,6.45,2.21,-2.03
