name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Edineţ,48.17215,27.30337,MD,22872,617076,Edineţ,-7.87,-3.05,-2.02,7.14,12.05,16.81,18.65,17.64,13.79,9.73,1.67,-0.64
Ungheni,47.21079,27.80047,MD,34422,617180,Ungheni,-6.76,-1.66,-0.28,8.62,13.53,18.18,20.14,19.01,15.07,11.14,2.63,0.05
Tiraspol,46.84274,29.62909,MD,157000,617239,Tiraspol,-4.8,-1.48,-0.19,8.46,13.42,18.15,20.4,19.34,15.49,11.23,4.11,1.57
Strășeni,47.14216,28.60774,MD,19225,617302,Strășeni,-5.8,-1.55,-0.54,8.5,13.27,17.93,20.06,18.9,15.07,11.09,3.3,0.55
Bilicenii Vechi,47.6558,28.04734,MD,15479,617345,Bilicenii Vechi,-6.59,-1.66,-0.91,8.25,13.12,17.76,19.72,18.57,14.74,10.7,2.63,0.19
Soroca,48.15659,28.28489,MD,27423,617367,Soroca,-7.78,-3.1,-2.33,7.2,12.11,16.73,18.64,17.54,13.77,9.4,1.72,-0.91
Slobozia,46.72927,29.70446,MD,15356,617381,Slobozia,-4.52,-1.41,-0.1,8.43,13.41,18.17,20.47,19.4,15.53,11.34,4.33,1.74
Rîbniţa,47.76817,29.01,MD,55455,617486,Rîbniţa,-6.63,-2.38,-1.41,8.01,12.87,17.49,19.58,18.33,14.68,10.13,2.58,-0.12
Orhei,47.38494,28.82446,MD,24918,617638,Orhei,-6.18,-1.81,-0.8,8.21,13.1,17.75,19.87,18.65,14.9,10.59,3.04,0.28
Hînceşti,46.83047,28.59064,MD,16900,617993,Hînceşti,-5.43,-1.42,-0.2,8.53,13.25,18.0,20.12,19.02,15.12,11.39,3.58,0.79
Codru,46.97648,28.819,MD,15934,618054,Codru,-6.07,-1.95,-0.9,8.2,12.97,17.67,19.78,18.64,14.86,10.76,3.16,0.28
Căuşeni,46.63674,29.41114,MD,21690,618120,Căuşeni,-4.39,-1.02,0.33,8.61,13.6,18.32,20.55,19.43,15.53,11.75,4.61,1.9
Floreşti,47.89137,28.29312,MD,16759,618329,Floreşti,-6.82,-1.98,-1.32,7.97,12.84,17.44,19.4,18.24,14.43,10.27,2.47,-0.18
Dubăsari,47.26562,29.16667,MD,23254,618365,Dubăsari,-5.53,-1.65,-0.54,8.4,13.38,18.05,20.22,18.98,15.25,10.9,3.49,0.81
Drochia,48.03555,27.81293,MD,16080,618370,Drochia,-7.7,-2.84,-2.01,7.34,12.19,16.88,18.75,17.68,13.89,9.69,1.7,-0.7
Comrat,46.29456,28.6565,MD,22911,618405,Comrat,-4.81,-0.98,0.88,8.8,13.74,18.42,20.51,19.53,15.54,11.85,4.22,1.18
Chisinau,47.00556,28.8575,MD,635994,618426,Chisinau,-5.58,-1.47,-0.36,8.58,13.39,18.08,20.21,19.05,15.29,11.18,3.64,0.77
Ceadîr-Lunga,46.06169,28.83078,MD,22700,618450,Ceadîr-Lunga,-4.25,-0.74,1.28,9.0,13.96,18.62,20.78,19.8,15.8,12.17,4.72,1.62
Cahul,45.90425,28.19929,MD,34492,618456,Cahul,-4.3,-0.5,1.71,9.16,14.18,18.89,21.01,19.89,15.86,12.23,4.35,1.03
Bender,46.83156,29.47769,MD,110175,618577,Bender,-4.7,-1.36,-0.11,8.59,13.53,18.28,20.5,19.46,15.54,11.4,4.19,1.63
Bălţi,47.76314,27.92932,MD,125000,618605,Bălţi,-6.99,-1.8,-1.12,8.16,13.06,17.7,19.62,18.48,14.67,10.55,2.48,-0.01
