name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zelino,41.98028,21.06417,MK,25422,783926,Zelino,2.44,3.99,7.0,13.87,18.08,20.31,23.67,25.59,18.93,14.29,8.99,2.32
Vinica,41.88278,22.50917,MK,18218,784424,Vinica,3.32,5.3,7.66,14.27,19.43,21.78,23.4,25.87,20.07,14.85,10.13,3.34
Veles,41.71556,21.77556,MK,57873,785058,Veles,3.21,5.72,8.13,15.07,20.26,22.73,25.31,27.58,20.7,15.49,10.52,2.65
Tetovo,42.00973,20.97155,MK,63176,785082,Tetovo,2.19,3.67,6.75,13.7,17.78,20.1,23.28,25.2,18.64,14.25,8.83,2.44
Tearce,42.07666,21.0531,MK,23096,785113,Tearce,1.94,3.49,6.5,13.37,17.58,19.81,23.17,25.09,18.43,13.79,8.49,1.82
Studeničani,41.92208,21.53483,MK,18219,785345,Studeničani,3.3,5.49,7.9,14.9,20.34,22.32,25.37,27.39,20.25,15.39,10.29,2.8
Strumica,41.4375,22.64333,MK,33825,785380,Strumica,3.76,5.75,8.14,14.89,20.17,22.81,25.44,27.38,20.99,15.42,10.54,3.66
Struga,41.17799,20.67784,MK,37387,785387,Struga,2.78,3.66,6.34,12.38,15.76,19.07,22.29,24.25,18.01,14.38,9.22,3.54
Shtip,41.74583,22.19583,MK,48279,785482,Shtip,2.87,5.19,7.45,13.79,19.63,22.32,24.5,26.48,19.98,14.31,9.92,2.32
Skopje,41.99646,21.43141,MK,474889,785842,Skopje,3.34,5.38,7.9,14.83,19.96,22.0,25.14,27.15,20.12,15.35,10.24,2.93
Saraj,42.0,21.32778,MK,25379,786093,Saraj,3.38,5.19,7.87,14.73,19.52,21.62,24.86,26.82,19.96,15.29,10.12,3.09
Resen,41.08934,21.01092,MK,16539,786341,Resen,1.63,2.48,5.3,10.7,14.63,17.96,21.0,22.81,16.78,13.05,7.94,2.58
Radovis,41.63833,22.46472,MK,24984,786565,Radovis,3.2,5.07,7.36,14.09,19.54,22.23,24.59,26.53,20.19,14.71,9.85,3.33
Prilep,41.34514,21.55504,MK,73814,786735,Prilep,1.96,3.66,6.29,12.39,16.82,19.93,22.84,24.5,18.35,13.6,8.7,2.03
Ohrid,41.11722,20.80194,MK,42033,787487,Ohrid,3.11,3.96,6.7,12.44,15.94,19.39,22.7,24.69,18.48,14.82,9.6,4.15
Negotino,41.87792,20.88389,MK,17518,787715,Negotino,1.73,2.88,6.18,13.17,17.1,19.57,22.46,24.44,18.22,14.23,8.57,2.83
Negotino,41.48456,22.09056,MK,19515,787716,Negotino,3.74,6.06,8.52,15.34,20.71,23.61,26.35,28.06,21.41,15.76,10.92,3.55
Lipkovo,42.15639,21.58528,MK,28102,788654,Lipkovo,2.08,4.06,6.29,13.05,18.54,20.55,23.17,25.27,18.41,13.94,8.96,1.99
Kumanovo,42.13222,21.71444,MK,75051,788886,Kumanovo,2.73,4.71,6.94,13.71,19.19,21.19,23.82,25.92,19.06,14.59,9.61,2.64
