name,latitude,longitude,country,population,id
Zwolle,52.5125,6.09444,NL,111805,2743477
Zwijndrecht,51.8175,4.63333,NL,45696,2743493
Zutphen,52.13833,6.20139,NL,36188,2743608
Zoetermeer,52.0575,4.49306,NL,115845,2743856
Zevenaar,51.93,6.07083,NL,26063,2743949
Zeist,52.09,5.23333,NL,60949,2743977
Zeewolde,52.33,5.54167,NL,19022,2743997
Zandvoort,52.37125,4.53306,NL,16868,2744042
Zaltbommel,51.81,5.24444,NL,26383,2744102
Zaanstad,52.45313,4.81356,NL,140085,2744114
Zaandam,52.43854,4.82643,NL,71708,2744118
Woerden,52.085,4.88333,NL,48431,2744248
Wisch,51.92648,6.41705,NL,19496,2744324
Winterswijk,51.9725,6.71944,NL,29623,2744332
Winschoten,53.14417,7.03472,NL,18506,2744344
Wijk bij Duurstede,51.97417,5.34167,NL,17465,2744483
Wijchen,51.80917,5.725,NL,32693,2744514
Wierden,52.35917,6.59306,NL,23244,2744549
Weesp,52.3075,5.04167,NL,17802,2744904
Weert,51.25167,5.70694,NL,48662,2744911
Wassenaar,52.14583,4.40278,NL,25353,2744991
Wageningen,51.97,5.66667,NL,35433,2745088
Waddinxveen,52.045,4.65139,NL,25338,2745096
Waalwijk,51.6825,5.07083,NL,45610,2745123
Vught,51.65333,5.2875,NL,25043,2745154
Voorschoten,52.1275,4.44861,NL,22468,2745301
Voorburg,52.07417,4.35972,NL,38000,2745321
Volendam,52.495,5.07083,NL,22000,2745340
Vlissingen,51.4425,3.57361,NL,45273,2745392
Vlaardingen,51.9125,4.34167,NL,73798,2745467
Vianen,51.9925,5.09167,NL,19931,2745580
Venray,51.525,5.975,NL,39047,2745634
Venlo,51.37,6.16806,NL,101603,2745641
Velsen-Zuid,52.46,4.65,NL,67758,2745673
Velp,51.995,5.97361,NL,17669,2745677
Veghel,51.61667,5.54861,NL,25352,2745726
Veenendaal,52.02863,5.55891,NL,61271,2745774
Veendam,53.10667,6.87917,NL,28155,2745783
Valkenswaard,51.35083,5.45972,NL,31071,2745860
Utrecht,52.09083,5.12222,NL,361742,2745912
Urk,52.6625,5.60139,NL,17345,2745932
Uithoorn,52.2375,4.82639,NL,26846,2745973
Uden,51.66083,5.61944,NL,34601,2746005
Tubbergen,52.4075,6.78472,NL,20334,2746133
Tongelre,51.44889,5.51978,NL,19680,2746215
Tilburg,51.55551,5.0913,NL,199613,2746301
Tiel,51.88667,5.42917,NL,40702,2746331
Terneuzen,51.33583,3.82778,NL,27930,2746420
Tegelen,51.34417,6.13611,NL,20190,2746504
Steenwijk,52.7875,6.12083,NL,17138,2746766
Steenbergen,51.58417,4.31944,NL,23582,2746804
Staphorst,52.645,6.21111,NL,15765,2746839
Stadskanaal,52.98947,6.9504,NL,20000,2746860
Spijkenisse,51.845,4.32917,NL,74988,2746932
Soest,52.17333,5.29167,NL,45021,2747034
Sneek,53.03297,5.6589,NL,32811,2747063
Sliedrecht,51.82083,4.77639,NL,23854,2747169
Sittard,50.99833,5.86944,NL,48400,2747203
Sint-Oedenrode,51.5675,5.45972,NL,16931,2747227
's-Hertogenbosch,51.69917,5.30417,NL,134520,2747351
's-Gravenzande,52.00167,4.16528,NL,19190,2747364
The Hague,52.07667,4.29861,NL,474292,2747373
Schijndel,51.6225,5.43194,NL,23239,2747584
Schiedam,51.91917,4.38889,NL,75438,2747596
Schiebroek,51.95838,4.47124,NL,16305,2747597
Scheveningen,52.10461,4.27557,NL,23000,2747599
Sassenheim,52.225,4.52222,NL,15510,2747751
Rotterdam,51.9225,4.47917,NL,598199,2747891
Roosendaal,51.53083,4.46528,NL,77725,2747930
Roermond,51.19417,5.9875,NL,44975,2748000
Rijswijk,52.03634,4.32501,NL,47299,2748076
Rijen,51.59083,4.91944,NL,16230,2748130
Ridderkerk,51.8725,4.60278,NL,45189,2748172
Rhoon,51.8575,4.42222,NL,18250,2748178
Rhenen,51.95917,5.56806,NL,18061,2748185
Raalte,52.38583,6.275,NL,20015,2748371
Putten,52.25917,5.60694,NL,23168,2748392
Purmerend,52.505,4.95972,NL,80117,2748413
Pijnacker,52.01954,4.42946,NL,18695,2748591
Papendrecht,51.83167,4.6875,NL,31621,2748729
Oud-Beijerland,51.82417,4.4125,NL,23569,2749182
Oss,51.765,5.51806,NL,76430,2749234
Oosterhout,51.645,4.85972,NL,53107,2749450
Ommoord,51.95951,4.54533,NL,25150,2749604
Oldenzaal,52.31333,6.92917,NL,31410,2749644
Oisterwijk,51.57917,5.18889,NL,25980,2749680
Oegstgeest,52.18,4.46944,NL,21149,2749723
Nunspeet,52.37917,5.78611,NL,19496,2749756
Nuenen,51.47,5.55278,NL,23223,2749780
Noordwijk-Binnen,52.234,4.44474,NL,24363,2749812
Nijmegen,51.8425,5.85278,NL,158732,2750053
Nijkerk,52.22,5.48611,NL,38335,2750065
Nieuwegein,52.02917,5.08056,NL,61489,2750325
Naarden,52.29583,5.1625,NL,17115,2750521
Naaldwijk,51.99417,4.20972,NL,17753,2750523
Mijdrecht,52.20667,4.8625,NL,15230,2750815
Middelharnis,51.7575,4.16528,NL,17554,2750884
