name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zwolle,52.5125,6.09444,NL,111805,2743477,Zwolle,-0.2,4.36,4.77,7.49,11.78,14.75,15.45,16.78,15.25,9.57,4.44,3.27
Zwijndrecht,51.8175,4.63333,NL,45696,2743493,Zwijndrecht,0.59,5.49,5.15,7.93,12.14,15.05,15.68,17.02,15.74,9.89,5.01,3.88
Zutphen,52.13833,6.20139,NL,36188,2743608,Zutphen,-0.0,4.56,5.02,7.56,12.17,15.0,15.63,17.01,15.43,9.64,4.37,3.01
Zoetermeer,52.0575,4.49306,NL,115845,2743856,Zoetermeer,1.0,5.37,5.13,7.82,11.78,14.76,15.53,16.96,15.85,10.3,5.53,4.59
Zevenaar,51.93,6.07083,NL,26063,2743949,Zevenaar,0.18,4.76,5.19,7.72,12.3,15.16,15.79,17.2,15.62,9.81,4.52,3.02
Zeist,52.09,5.23333,NL,60949,2743977,Zeist,0.35,5.05,5.04,7.77,12.07,14.95,15.59,16.93,15.58,9.83,4.75,3.6
Zeewolde,52.33,5.54167,NL,19022,2743997,Zeewolde,0.27,4.86,5.01,7.78,12.14,14.95,15.59,16.95,15.59,9.9,4.78,3.65
Zandvoort,52.37125,4.53306,NL,16868,2744042,Zandvoort,1.59,5.15,4.94,7.59,11.27,14.21,15.35,16.92,15.87,10.62,6.07,5.07
Zaltbommel,51.81,5.24444,NL,26383,2744102,Zaltbommel,0.45,5.2,5.15,7.83,12.11,15.04,15.71,17.03,15.67,9.88,4.78,3.41
Zaanstad,52.45313,4.81356,NL,140085,2744114,Zaanstad,1.28,5.06,5.01,7.66,11.39,14.42,15.4,16.79,15.77,10.56,5.87,4.87
Zaandam,52.43854,4.82643,NL,71708,2744118,Zaandam,1.06,5.1,5.04,7.74,11.58,14.57,15.46,16.85,15.76,10.45,5.66,4.7
Woerden,52.085,4.88333,NL,48431,2744248,Woerden,0.4,5.1,4.99,7.73,11.86,14.85,15.52,16.86,15.56,9.87,4.92,3.85
Wisch,51.92648,6.41705,NL,19496,2744324,Wisch,0.07,4.62,5.16,7.67,12.31,15.18,15.75,17.2,15.57,9.7,4.41,2.85
Winterswijk,51.9725,6.71944,NL,29623,2744332,Winterswijk,-0.12,4.42,5.02,7.53,12.21,15.16,15.64,17.12,15.46,9.52,4.24,2.68
Winschoten,53.14417,7.03472,NL,18506,2744344,Winschoten,-0.75,3.47,4.32,7.44,11.1,14.85,15.41,16.65,15.04,9.4,4.52,2.92
Wijk bij Duurstede,51.97417,5.34167,NL,17465,2744483,Wijk bij Duurstede,0.35,5.06,5.09,7.77,12.11,15.0,15.66,16.98,15.6,9.85,4.74,3.46
Wijchen,51.80917,5.725,NL,32693,2744514,Wijchen,0.36,5.01,5.25,7.83,12.31,15.22,15.83,17.21,15.72,9.92,4.7,3.24
Wierden,52.35917,6.59306,NL,23244,2744549,Wierden,-0.36,4.15,4.73,7.37,11.86,14.91,15.46,16.84,15.14,9.36,4.19,2.71
Weesp,52.3075,5.04167,NL,17802,2744904,Weesp,0.53,5.01,4.99,7.74,11.82,14.8,15.52,16.86,15.6,10.04,5.11,4.1
Weert,51.25167,5.70694,NL,48662,2744911,Weert,0.41,5.19,5.28,7.81,12.33,15.3,15.83,17.31,15.79,9.81,4.7,2.92
Wassenaar,52.14583,4.40278,NL,25353,2744991,Wassenaar,1.25,5.42,5.14,7.8,11.7,14.66,15.51,16.95,15.92,10.46,5.73,4.79
Wageningen,51.97,5.66667,NL,35433,2745088,Wageningen,0.21,4.88,5.09,7.75,12.22,15.06,15.69,17.06,15.6,9.8,4.56,3.23
Waddinxveen,52.045,4.65139,NL,25338,2745096,Waddinxveen,0.64,5.33,5.11,7.87,11.94,14.92,15.61,16.97,15.73,10.01,5.12,4.07
Waalwijk,51.6825,5.07083,NL,45610,2745123,Waalwijk,0.56,5.35,5.21,7.9,12.24,15.15,15.79,17.1,15.74,9.9,4.86,3.45
Vught,51.65333,5.2875,NL,25043,2745154,Vught,0.47,5.23,5.21,7.87,12.28,15.18,15.79,17.14,15.73,9.87,4.78,3.32
Voorschoten,52.1275,4.44861,NL,22468,2745301,Voorschoten,1.25,5.42,5.14,7.8,11.7,14.66,15.51,16.95,15.92,10.46,5.73,4.79
Voorburg,52.07417,4.35972,NL,38000,2745321,Voorburg,1.25,5.42,5.14,7.8,11.7,14.66,15.51,16.95,15.92,10.46,5.73,4.79
Volendam,52.495,5.07083,NL,22000,2745340,Volendam,0.59,4.95,4.97,7.73,11.8,14.76,15.51,16.85,15.62,10.11,5.21,4.23
Vlissingen,51.4425,3.57361,NL,45273,2745392,Vlissingen,1.55,6.16,5.51,8.14,12.2,14.96,15.7,17.24,16.09,10.49,5.74,4.75
Vlaardingen,51.9125,4.34167,NL,73798,2745467,Vlaardingen,1.12,5.59,5.21,7.92,11.93,14.84,15.6,17.06,15.94,10.31,5.55,4.57
