name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Alta,69.96887,23.27165,NO,15094,847633,Alta,-13.4,-13.44,-9.02,-0.41,2.34,11.4,13.14,11.82,6.42,-3.02,-11.43,-15.1
Trondheim,63.43049,10.39506,NO,147139,3133880,Trondheim,-9.22,-7.77,-2.48,3.3,8.71,15.0,16.15,14.58,10.6,2.33,-4.04,-6.8
Tromsø,69.6489,18.95508,NO,64448,3133895,Tromsø,-8.51,-10.32,-5.8,1.07,3.58,11.68,13.93,13.46,7.93,-0.17,-8.49,-10.83
Tønsberg,59.26754,10.40762,NO,38914,3134331,Tønsberg,-7.17,-7.43,-2.01,5.24,11.53,15.59,17.22,15.54,12.86,5.81,-0.08,-0.84
Steinkjer,64.01487,11.49537,NO,20000,3136947,Steinkjer,-9.45,-6.68,-2.21,2.76,7.55,15.05,16.6,14.49,10.28,2.59,-4.29,-6.69
Stavanger,58.97005,5.73332,NO,144877,3137115,Stavanger,-0.08,0.31,1.6,5.8,9.53,13.57,15.45,14.86,13.13,7.72,4.48,4.46
Skien,59.20962,9.60897,NO,50595,3139075,Skien,-6.08,-5.89,-1.56,5.39,11.48,15.33,16.83,15.34,12.96,6.02,0.81,-0.2
Sarpsborg,59.28391,11.10962,NO,56559,3140084,Sarpsborg,-6.84,-7.29,-2.09,5.23,11.46,15.86,17.21,15.36,12.59,5.45,-0.52,-0.72
Sandnes,58.85244,5.73521,NO,85386,3140321,Sandnes,-1.37,-0.58,0.78,5.18,9.08,13.14,14.98,14.2,12.58,6.64,3.2,3.18
Sandefjord,59.13118,10.21665,NO,64345,3140390,Sandefjord,-5.32,-5.74,-1.35,5.33,11.09,15.2,16.9,15.59,13.13,6.45,1.3,0.5
Porsgrunn,59.14054,9.6561,NO,34377,3142657,Porsgrunn,-6.04,-5.84,-1.51,5.44,11.53,15.38,16.88,15.39,13.01,6.07,0.86,-0.16
Oslo,59.91273,10.74609,NO,580000,3143244,Oslo,-10.15,-9.82,-2.77,4.39,11.7,16.02,17.44,15.45,12.64,4.66,-2.8,-4.54
Nesttun,60.31821,5.35317,NO,35638,3144631,Nesttun,-3.92,-2.28,-0.36,4.82,9.62,13.77,15.69,13.8,11.79,4.41,1.02,0.86
Moss,59.43403,10.65771,NO,49668,3145375,Moss,-7.8,-8.14,-2.16,5.34,11.87,16.04,17.61,15.75,12.84,5.52,-0.86,-1.46
Molde,62.73752,7.15912,NO,31967,3145580,Molde,-3.41,-1.99,0.1,4.09,7.82,12.75,13.99,13.44,11.35,3.99,-0.82,-0.72
Mo i Rana,66.31278,14.14278,NO,18866,3145614,Mo i Rana,-11.25,-9.24,-6.74,1.22,3.49,13.16,17.43,14.25,8.59,0.59,-7.06,-10.57
Lillestrøm,59.95597,11.04918,NO,89684,3147465,Lillestrøm,-9.96,-9.87,-3.05,4.13,11.03,15.47,16.78,14.73,12.0,3.94,-3.59,-4.2
Lillehammer,61.11514,10.46628,NO,28425,3147474,Lillehammer,-11.06,-10.95,-3.94,2.95,8.99,14.8,15.8,13.46,10.63,2.45,-5.84,-7.39
Levanger,63.74644,11.29963,NO,20171,3147698,Levanger,-9.46,-6.93,-2.47,2.64,7.71,15.14,16.6,14.41,10.31,2.18,-4.69,-6.65
Larvik,59.05328,10.03517,NO,23113,3148129,Larvik,-5.67,-5.84,-1.57,5.21,11.06,15.07,16.73,15.36,12.95,6.18,1.07,0.19
Kristiansund,63.11045,7.72795,NO,24013,3149312,Kristiansund,-2.98,-1.95,0.36,4.05,7.38,12.34,13.68,13.36,11.45,4.12,-0.59,-0.69
Kristiansand,58.14671,7.9956,NO,93205,3149318,Kristiansand,-2.16,-2.21,-0.11,5.56,10.92,14.8,16.15,14.85,12.83,6.92,3.41,3.15
Kongsvinger,60.19049,11.99772,NO,17949,3149533,Kongsvinger,-9.13,-9.6,-3.21,4.14,10.79,15.79,16.9,14.54,11.85,3.72,-4.25,-3.56
Kongsberg,59.66858,9.65017,NO,17667,3149563,Kongsberg,-11.17,-9.72,-3.26,3.77,11.09,15.35,16.37,14.44,11.85,3.43,-4.08,-5.97
Horten,59.41721,10.48343,NO,27178,3151770,Horten,-7.69,-8.52,-1.99,6.2,12.64,16.4,17.98,16.1,12.96,5.75,-1.09,-1.23
Haugesund,59.41378,5.268,NO,40321,3153623,Haugesund,-1.92,-0.79,0.98,5.53,9.69,13.54,15.69,14.32,12.5,6.22,3.07,3.13
Harstad,68.79833,16.54165,NO,20953,3153823,Harstad,-8.01,-7.51,-4.16,1.65,5.87,12.79,14.12,13.62,8.33,-0.17,-5.46,-7.99
Hamar,60.7945,11.06798,NO,29479,3154084,Hamar,-11.74,-11.82,-3.89,3.01,10.23,15.15,16.27,14.02,11.34,3.12,-5.07,-6.75
Halden,59.12478,11.38754,NO,21970,3154209,Halden,-5.73,-6.18,-1.69,5.56,11.44,16.17,17.3,15.64,12.9,6.02,0.52,0.16
Grimstad,58.3405,8.59343,NO,24017,3155041,Grimstad,-3.54,-3.49,-0.55,5.65,11.69,15.52,16.75,15.14,12.9,6.45,2.58,2.4
Gjøvik,60.79574,10.69155,NO,17596,3155573,Gjøvik,-11.09,-11.42,-3.86,2.81,9.73,15.06,16.12,13.92,11.2,3.43,-3.99,-6.32
Fredrikstad,59.2181,10.9298,NO,83761,3156529,Fredrikstad,-5.9,-6.74,-1.57,5.45,11.57,15.82,17.41,15.71,12.98,6.06,0.35,0.15
Drammen,59.74389,10.20449,NO,103007,3159016,Drammen,-9.78,-8.7,-2.52,4.86,11.82,15.91,17.3,15.37,12.83,4.97,-2.0,-3.7
Bodø,67.28,14.40501,NO,34073,3160881,Bodø,-7.32,-5.77,-3.37,2.14,5.81,13.02,15.27,13.83,9.17,1.01,-4.26,-7.42
Bergen,60.39299,5.32415,NO,285911,3161732,Bergen,-3.41,-1.92,-0.23,4.6,9.25,13.67,15.5,13.76,11.76,4.54,1.12,0.92
Asker,59.83333,10.43721,NO,61906,3162657,Asker,-11.18,-10.23,-3.25,3.81,10.96,15.22,16.6,14.71,12.08,4.0,-3.5,-5.63
Arendal,58.46151,8.77253,NO,30916,3162955,Arendal,-4.58,-4.21,-1.09,5.25,11.59,15.34,16.51,14.95,12.67,5.99,1.85,1.65
Ålesund,62.47225,6.15492,NO,52626,3163392,Ålesund,-1.25,0.29,2.04,4.91,8.84,13.62,14.95,14.31,12.3,5.23,0.81,1.56
Ytrebygda,60.30504,5.28236,NO,24044,6697344,Ytrebygda,-4.17,-2.53,-0.61,4.56,9.36,13.51,15.44,13.54,11.54,4.16,0.77,0.61
