name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Żyrardów,52.0488,20.44599,PL,41179,752967,Żyrardów,-3.66,-0.76,-2.6,7.31,14.86,18.08,19.54,19.26,12.35,10.42,5.68,2.61
Żoliborz,52.26896,20.98644,PL,50934,753142,Żoliborz,-3.96,-1.0,-2.58,7.16,15.16,18.29,19.71,19.32,12.16,10.23,5.54,2.34
Zielonka,52.30376,21.16018,PL,17518,753276,Zielonka,-4.01,-1.04,-2.57,7.18,15.29,18.36,19.81,19.36,12.2,10.26,5.6,2.33
Zamość,50.72314,23.25196,PL,66034,753866,Zamość,-4.0,-1.18,-2.83,8.15,15.65,18.34,19.09,19.55,12.27,10.54,5.85,1.28
Zambrów,52.9855,22.24319,PL,22857,753895,Zambrów,-4.97,-1.52,-3.7,6.28,15.12,18.16,19.19,18.75,12.03,9.68,5.18,1.67
Ząbki,52.29271,21.10539,PL,23473,754351,Ząbki,-3.91,-0.96,-2.53,7.22,15.28,18.37,19.81,19.38,12.23,10.29,5.62,2.39
Wyszków,52.59278,21.4584,PL,26500,754454,Wyszków,-4.3,-1.19,-2.71,6.78,15.28,18.31,19.7,19.26,12.14,10.08,5.46,2.21
Wołomin,52.34006,21.24207,PL,36592,754800,Wołomin,-4.02,-1.06,-2.58,7.13,15.24,18.31,19.76,19.31,12.15,10.21,5.56,2.29
Wola,52.2401,20.98869,PL,140958,755330,Wola,-3.95,-0.99,-2.61,7.17,15.12,18.21,19.67,19.31,12.14,10.25,5.55,2.32
Włochy,52.17941,20.94612,PL,36276,755475,Włochy,-3.86,-0.87,-2.51,7.25,15.14,18.25,19.71,19.37,12.22,10.32,5.6,2.41
Wieliczka,49.98738,20.06473,PL,18677,755889,Wieliczka,-3.74,-1.43,-1.8,8.12,13.99,17.16,19.0,19.03,12.44,9.74,4.9,1.19
Wesoła,52.25451,21.22407,PL,20000,756004,Wesoła,-4.07,-1.1,-2.63,7.08,15.19,18.26,19.71,19.26,12.1,10.16,5.5,2.24
Wawer,52.19656,21.17752,PL,77205,756092,Wawer,-3.89,-0.94,-2.42,7.28,15.3,18.34,19.81,19.43,12.22,10.33,5.65,2.35
Warsaw,52.22977,21.01178,PL,1702139,756135,Warsaw,-3.95,-0.99,-2.61,7.17,15.12,18.21,19.67,19.31,12.14,10.25,5.55,2.32
Ursus,52.19517,20.88419,PL,47285,756320,Ursus,-3.86,-0.87,-2.51,7.25,15.14,18.25,19.71,19.37,12.22,10.32,5.6,2.41
Tomaszów Mazowiecki,51.53131,20.00855,PL,67197,756867,Tomaszów Mazowiecki,-3.86,-0.98,-2.84,7.07,14.35,17.71,19.37,19.13,12.34,10.27,5.4,2.23
Tomaszów Lubelski,50.44767,23.41616,PL,20261,756868,Tomaszów Lubelski,-3.76,-1.0,-2.66,8.25,15.6,18.22,18.84,19.21,12.07,10.48,5.81,1.09
Tarnów,50.01381,20.98698,PL,117799,757026,Tarnów,-3.39,-1.22,-1.58,8.85,14.98,18.04,19.49,20.07,12.96,10.68,5.61,1.86
Tarnobrzeg,50.57304,21.67937,PL,50459,757033,Tarnobrzeg,-3.65,-1.02,-1.96,8.57,15.5,18.51,19.88,20.27,12.78,10.63,5.74,1.78
Targówek,52.29185,21.04845,PL,124279,757065,Targówek,-3.86,-0.9,-2.48,7.26,15.26,18.39,19.81,19.42,12.26,10.33,5.64,2.44
Szczytno,53.56259,20.98747,PL,26044,757357,Szczytno,-4.93,-1.52,-4.27,5.53,14.91,18.05,18.66,18.34,12.05,9.48,5.01,1.86
Świdnik,51.21898,22.69621,PL,40050,757692,Świdnik,-4.18,-1.39,-3.22,7.63,15.34,18.09,19.11,19.5,12.1,10.31,5.68,1.52
Suwałki,54.11175,22.93087,PL,69222,757718,Suwałki,-6.08,-2.21,-5.68,4.78,14.83,17.94,18.46,17.84,11.86,8.78,4.71,1.22
Sulejówek,52.25221,21.26902,PL,18414,757809,Sulejówek,-4.09,-1.1,-2.57,7.09,15.23,18.25,19.71,19.26,12.08,10.16,5.51,2.22
Staszów,50.56307,21.16593,PL,16137,758252,Staszów,-3.8,-1.33,-1.9,8.44,15.05,18.23,19.64,19.97,12.81,10.5,5.58,1.73
Starachowice,51.0374,21.07126,PL,53739,758390,Starachowice,-3.97,-1.57,-2.59,7.76,14.64,17.91,19.29,19.35,12.31,10.33,5.5,1.92
Stalowa Wola,50.58286,22.05334,PL,66495,758445,Stalowa Wola,-3.47,-0.82,-1.96,8.66,15.75,18.63,19.84,20.31,12.69,10.75,5.85,1.75
Śródmieście,52.22904,21.01644,PL,134306,758470,Śródmieście,-3.95,-0.99,-2.61,7.17,15.12,18.21,19.67,19.31,12.14,10.25,5.55,2.32
Sokołów Podlaski,52.40677,22.25307,PL,18241,758626,Sokołów Podlaski,-4.77,-1.63,-3.11,6.58,14.92,17.85,19.05,18.77,11.74,9.77,5.21,1.66
Sokółka,53.40715,23.50228,PL,19079,758651,Sokółka,-5.88,-1.9,-5.51,5.75,15.23,18.07,18.69,18.04,11.77,8.99,4.87,1.15
Sochaczew,52.22944,20.23838,PL,38267,758682,Sochaczew,-3.76,-0.62,-2.68,7.14,14.82,18.06,19.48,19.21,12.32,10.34,5.58,2.65
Skierniewice,51.95485,20.15837,PL,49042,759123,Skierniewice,-3.84,-0.84,-2.83,7.15,14.65,17.9,19.42,19.15,12.25,10.28,5.48,2.48
