name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Vila Franca de Xira,38.95525,-8.98966,PT,18355,2261639,Vila Franca de Xira,12.47,10.68,11.28,14.39,17.72,18.56,22.23,21.06,22.15,18.43,16.18,7.73
Vialonga,38.87206,-9.07805,PT,16088,2261697,Vialonga,12.57,10.79,11.19,14.23,17.4,18.35,21.88,20.81,21.82,18.23,16.15,8.08
Torres Vedras,39.09109,-9.2586,PT,24443,2262581,Torres Vedras,13.04,11.3,11.48,13.86,16.4,17.62,20.15,19.53,20.55,17.77,16.26,9.32
Torres Novas,39.47581,-8.54348,PT,15002,2262582,Torres Novas,10.92,9.5,10.51,13.88,17.77,18.32,22.53,20.97,22.41,18.1,15.2,6.18
Tomar,39.60199,-8.40924,PT,19168,2262644,Tomar,10.92,9.51,10.46,14.05,17.92,18.59,23.03,21.37,22.78,18.22,15.22,6.19
Tavira,37.12734,-7.64861,PT,15133,2262744,Tavira,12.91,12.16,12.39,16.06,19.08,21.11,26.34,25.14,24.33,19.44,16.59,10.08
Sintra,38.80097,-9.37826,PT,26193,2262912,Sintra,12.57,10.95,10.85,13.05,15.15,16.65,18.94,18.46,19.33,16.86,15.6,9.41
Sesimbra,38.44451,-9.10149,PT,41134,2262957,Sesimbra,13.39,11.65,11.84,14.43,16.89,18.14,20.95,20.24,21.02,18.37,16.66,10.01
Setúbal,38.5244,-8.8882,PT,117110,2262963,Setúbal,12.63,10.73,11.4,14.62,17.9,18.8,22.61,21.51,22.29,18.66,16.42,8.24
São Martinho,32.6448,-16.93843,PT,26482,2263284,São Martinho,15.57,13.71,13.63,15.31,16.52,18.26,20.6,21.25,21.03,19.25,17.28,14.57
São João da Talha,38.82378,-9.09719,PT,18925,2263326,São João da Talha,12.51,10.81,11.29,14.17,17.25,18.12,21.35,20.44,21.45,18.25,16.14,8.62
São Domingos de Rana,38.70194,-9.34083,PT,46718,2263352,São Domingos de Rana,13.2,11.48,11.57,13.95,16.4,17.58,20.15,19.63,20.61,18.04,16.44,9.84
Santarém,39.23333,-8.68333,PT,29385,2263480,Santarém,11.09,9.53,10.41,13.68,17.33,18.08,22.09,20.74,21.95,17.84,15.14,6.2
Santa Iria da Azóia,38.8411,-9.09908,PT,18573,2263523,Santa Iria da Azóia,12.21,10.51,10.99,13.87,16.95,17.82,21.05,20.14,21.15,17.95,15.84,8.32
Sacavém,38.79202,-9.10801,PT,17718,2263667,Sacavém,12.66,10.96,11.44,14.31,17.4,18.27,21.5,20.6,21.61,18.4,16.29,8.77
Rio de Mouro,38.76613,-9.32804,PT,54695,2263827,Rio de Mouro,12.91,11.27,11.24,13.7,16.16,17.5,20.23,19.58,20.5,17.68,16.13,9.45
Ramada,38.80368,-9.1877,PT,17535,2264087,Ramada,12.51,10.8,11.0,13.7,16.52,17.61,20.72,19.91,20.9,17.8,15.94,8.69
Queluz,38.75657,-9.25451,PT,103399,2264268,Queluz,12.91,11.27,11.24,13.7,16.16,17.5,20.23,19.58,20.5,17.68,16.13,9.45
Quarteira,37.06946,-8.10064,PT,18783,2264299,Quarteira,13.43,12.19,12.25,15.51,18.1,19.8,23.94,22.85,22.88,19.19,16.69,10.69
Póvoa de Santa Iria,38.86101,-9.06453,PT,28901,2264359,Póvoa de Santa Iria,12.44,10.57,11.21,14.29,17.64,18.38,21.93,20.89,21.96,18.38,16.14,7.75
Portimão,37.13856,-8.53775,PT,38487,2264456,Portimão,13.09,11.71,11.93,15.46,18.71,19.97,24.25,22.81,23.22,19.25,16.39,9.7
Portalegre,39.29379,-7.43122,PT,15581,2264508,Portalegre,9.1,8.02,8.87,13.17,16.52,18.46,24.26,22.31,22.82,16.3,13.7,4.6
Pontinha,38.76771,-9.19935,PT,23249,2264526,Pontinha,12.76,11.05,11.25,13.95,16.77,17.86,20.97,20.16,21.15,18.05,16.19,8.94
Pombal,39.91674,-8.62847,PT,17355,2264575,Pombal,11.29,9.44,10.05,12.94,16.48,17.28,20.49,19.16,20.46,16.76,14.86,6.77
Pinhal Novo,38.63106,-8.91376,PT,23510,2264718,Pinhal Novo,12.63,10.79,11.31,14.4,17.53,18.51,22.12,21.1,21.91,18.47,16.33,8.49
Piedade,38.67005,-9.15852,PT,19472,2264736,Piedade,13.26,11.49,11.78,14.4,17.2,18.19,21.09,20.42,21.43,18.6,16.7,9.58
Peniche,39.3558,-9.38112,PT,15662,2264923,Peniche,12.89,11.23,11.39,13.64,16.16,17.47,19.87,19.28,20.27,17.49,16.04,9.4
Parede,38.69282,-9.35412,PT,17212,2265169,Parede,13.3,11.58,11.67,14.05,16.5,17.68,20.25,19.73,20.71,18.14,16.54,9.94
Palmela,38.56902,-8.90126,PT,16934,2265223,Palmela,12.18,10.43,10.7,13.43,16.02,17.23,20.23,19.43,20.18,17.32,15.53,8.63
Paço de Arcos,38.69569,-9.29143,PT,25974,2265326,Paço de Arcos,13.6,11.88,11.97,14.35,16.8,17.98,20.55,20.03,21.01,18.44,16.84,10.24
Olivais,38.76994,-9.10674,PT,33788,2265432,Olivais,12.71,11.01,11.49,14.37,17.45,18.32,21.55,20.64,21.65,18.45,16.34,8.82
Olhão,37.0286,-7.8411,PT,29239,2265447,Olhão,13.62,12.61,12.7,15.98,18.48,20.33,24.81,23.8,23.39,19.45,17.03,11.05
