name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zimnicea,43.65638,25.36454,RO,15228,662187,Zimnicea,-0.42,-2.28,4.33,10.7,21.05,24.41,24.75,26.47,18.0,11.72,7.96,0.89
Zărnești,45.56093,25.31787,RO,24926,662284,Zărnești,-3.81,-7.67,-0.94,4.81,16.09,18.01,17.94,19.51,12.01,5.93,3.34,-2.11
Zalău,47.2,23.05,RO,63232,662334,Zalău,-3.37,-4.71,2.89,8.16,18.46,20.77,20.8,22.28,15.29,8.06,5.97,-0.78
Vulcan,45.38333,23.26667,RO,28869,662432,Vulcan,-2.71,-6.43,0.91,5.55,16.24,18.37,17.68,19.58,12.91,6.44,5.02,-1.07
Voluntari,44.49002,26.17338,RO,30323,662476,Voluntari,-1.62,-3.7,2.99,9.79,20.66,23.72,23.82,25.05,16.57,10.55,7.11,-0.12
Vişeu de Sus,47.71667,24.43333,RO,16938,662699,Vişeu de Sus,-5.3,-8.08,0.09,4.83,16.64,17.71,18.07,18.7,12.65,5.27,3.74,-3.58
Vatra Dornei,47.35,25.36667,RO,16054,663100,Vatra Dornei,-6.56,-8.98,-2.12,2.91,15.29,15.61,16.3,16.62,10.8,4.1,2.12,-3.31
Vaslui,46.63333,27.73333,RO,69225,663118,Vaslui,-2.61,-5.4,1.76,8.86,20.66,21.85,21.81,22.91,15.96,9.8,6.27,0.15
Urziceni,44.71667,26.63333,RO,16770,664074,Urziceni,-1.24,-3.69,3.2,9.91,21.11,23.72,23.94,25.24,16.69,10.64,7.18,0.08
Turnu Măgurele,43.7469,24.86846,RO,28783,664437,Turnu Măgurele,-0.55,-2.22,4.4,10.69,20.91,24.37,24.65,26.41,18.09,11.69,7.95,0.92
Turda,46.56667,23.78333,RO,54586,664460,Turda,-3.03,-4.04,2.69,7.87,18.62,20.54,20.56,21.75,14.91,8.09,5.42,-0.51
Tulcea,45.1787,28.80501,RO,92475,664518,Tulcea,-0.6,-4.77,2.65,8.76,19.95,22.51,23.35,24.39,16.99,11.61,7.75,1.55
Târnăveni,46.33191,24.29662,RO,28634,664963,Târnăveni,-1.15,-2.31,3.53,8.68,19.62,21.47,21.16,22.7,15.7,9.04,5.9,-0.42
Târgu Secuiesc,46.0,26.13333,RO,20067,665000,Târgu Secuiesc,-3.93,-8.16,-0.12,5.78,17.33,18.6,18.52,19.95,12.95,6.49,4.21,-1.9
Târgu Neamţ,47.2,26.36667,RO,20473,665003,Târgu Neamţ,-4.45,-7.43,-0.21,6.47,17.95,18.99,19.51,20.01,13.64,7.15,4.12,-1.26
Târgu-Mureş,46.54245,24.55747,RO,146863,665004,Târgu-Mureş,-2.78,-3.53,2.72,7.96,18.93,20.86,20.66,21.87,15.09,8.34,5.5,-0.62
Târgu Jiu,45.05,23.28333,RO,97179,665010,Târgu Jiu,-1.52,-4.1,2.78,8.61,18.69,20.86,21.11,22.36,15.43,8.88,6.0,0.89
Târgovişte,44.92543,25.4567,RO,88435,665024,Târgovişte,-2.77,-5.32,1.49,7.76,18.3,20.4,20.87,21.6,14.35,8.64,5.5,-0.62
Timişoara,45.75372,21.22571,RO,315053,665087,Timişoara,-2.31,-2.94,4.91,10.59,20.68,24.26,23.33,25.34,17.26,9.87,7.92,1.4
