name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zrenjanin,45.38361,20.38194,RS,79773,783814,Zrenjanin,1.09,5.82,10.23,12.13,18.12,20.53,22.12,22.8,16.2,13.29,7.89,1.87
Zemun,44.8458,20.40116,RS,155591,783920,Zemun,0.56,6.07,10.17,12.02,17.91,20.7,22.39,23.23,16.64,13.88,8.47,2.01
Zaječar,43.90358,22.26405,RS,49800,784024,Zaječar,-0.97,5.24,10.04,11.85,16.68,20.53,23.13,22.88,17.1,12.67,8.12,-0.06
Vršac,45.11667,21.30361,RS,36300,784136,Vršac,0.63,5.4,9.63,11.86,17.0,19.73,21.42,22.03,16.01,13.2,8.2,2.18
Vranje,42.55139,21.90028,RS,56199,784227,Vranje,-1.11,4.69,9.3,10.97,15.33,19.85,22.36,21.81,16.19,13.01,7.33,0.29
Trstenik,43.61694,21.0025,RS,49043,784873,Trstenik,-1.97,5.36,9.59,11.34,16.72,20.05,22.23,22.64,16.17,13.28,7.83,0.4
Stara Pazova,44.985,20.16083,RS,16217,785559,Stara Pazova,0.72,6.03,10.23,12.1,18.17,20.75,22.37,23.25,16.55,13.72,8.15,1.9
Sremčica,44.67653,20.39232,RS,23000,785615,Sremčica,-0.06,5.51,9.51,11.25,17.01,19.84,21.55,22.32,15.9,13.29,7.88,1.39
Smederevska Palanka,44.36548,20.95885,RS,27000,785753,Smederevska Palanka,0.47,5.99,10.08,11.92,17.29,20.14,21.88,22.4,16.36,13.48,8.48,1.78
Smederevo,44.66436,20.92763,RS,62000,785756,Smederevo,0.64,6.03,10.24,12.37,17.81,20.55,22.15,22.86,16.74,13.71,8.66,2.09
Senta,45.9275,20.07722,RS,20302,785965,Senta,1.01,5.81,10.33,12.09,18.0,20.17,22.22,22.78,15.76,12.62,7.19,1.36
Prokuplje,43.23417,21.58806,RS,27673,786690,Prokuplje,-1.02,5.04,9.37,11.36,16.41,20.08,22.93,22.58,16.18,13.38,7.6,0.22
Požarevac,44.62133,21.18782,RS,41736,786827,Požarevac,0.68,5.89,9.98,12.1,17.26,20.16,21.94,22.51,16.45,13.55,8.62,2.13
Pirot,43.15306,22.58611,RS,40678,787050,Pirot,-0.56,5.11,9.31,11.54,15.95,19.72,22.47,21.69,16.09,12.7,7.78,-0.2
Pančevo,44.87177,20.64167,RS,76654,787237,Pančevo,0.67,6.03,10.26,12.26,18.01,20.7,22.28,23.17,16.72,13.78,8.57,2.06
Obrenovac,44.65486,20.20017,RS,16821,787516,Obrenovac,0.43,6.26,10.23,12.01,17.96,20.79,22.48,23.25,16.7,14.02,8.47,2.0
Novi Pazar,43.13667,20.51222,RS,85996,787595,Novi Pazar,-1.76,5.07,8.33,9.57,14.36,18.19,20.5,20.67,14.86,12.93,7.04,-0.95
Nova Pazova,44.94366,20.21931,RS,15488,787615,Nova Pazova,0.5,6.07,10.23,12.11,18.24,20.91,22.56,23.41,16.64,13.81,8.23,1.9
Niš,43.32472,21.90333,RS,250000,787657,Niš,-0.55,5.37,9.84,12.02,16.93,20.69,23.6,23.04,16.73,13.5,8.02,0.43
Negotin,44.22639,22.53083,RS,17612,787718,Negotin,-0.41,5.54,10.4,12.24,17.22,21.09,23.81,23.76,17.78,13.38,8.32,0.68
Leskovac,42.99806,21.94611,RS,94758,788709,Leskovac,-1.11,5.17,9.6,11.6,16.52,20.39,23.23,22.66,16.32,13.24,7.55,0.17
Lazarevac,44.38534,20.2557,RS,23551,788771,Lazarevac,0.06,6.19,9.88,11.65,17.44,20.31,22.23,22.87,16.45,13.92,8.31,1.6
Kruševac,43.58,21.33389,RS,75256,788975,Kruševac,-1.78,5.21,9.55,11.5,16.81,20.18,22.45,22.72,16.18,13.17,7.86,0.56
Kraljevo,43.72583,20.68944,RS,82846,789107,Kraljevo,-1.3,5.33,9.05,10.71,16.25,19.57,21.98,22.32,15.78,13.24,7.55,0.44
