name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Udomlya,57.87944,34.9925,RU,32373,452949,Udomlya,-6.76,0.31,0.61,6.71,9.65,13.72,16.53,15.55,8.4,4.36,-1.66,-4.58
Sosnovka,60.01667,30.35,RU,66227,461698,Sosnovka,-6.24,0.67,0.34,6.49,8.71,12.9,16.28,15.57,8.45,4.95,-1.16,-2.54
Sasovo,54.35369,41.91986,RU,29858,461699,Sasovo,-7.3,-1.02,1.62,8.41,11.01,15.1,18.33,16.4,10.35,5.33,-0.48,-5.69
Zyuzino,55.65608,37.56846,RU,121000,461740,Zyuzino,-6.85,-0.82,0.23,7.05,10.29,14.1,17.25,15.43,9.18,4.79,-0.41,-4.73
Zyablikovo,55.61667,37.76667,RU,129000,461835,Zyablikovo,-6.41,-0.39,1.07,7.43,10.65,14.44,17.62,15.81,9.58,5.15,-0.05,-4.42
Zverevo,48.02108,40.12282,RU,24978,461910,Zverevo,-3.83,-1.24,4.52,10.55,14.03,17.53,21.8,19.65,14.66,8.26,5.49,-1.7
Zvenigorod,55.73401,36.85918,RU,16395,461920,Zvenigorod,-6.03,-0.13,1.34,7.43,10.69,14.32,17.22,15.81,9.33,5.18,-0.03,-4.53
Zlatoust,55.17111,59.65083,RU,191366,462444,Zlatoust,-13.82,-8.94,-2.62,2.54,8.24,15.26,16.49,14.17,8.37,-0.18,-6.4,-10.78
Zimovniki,47.1474,42.4721,RU,17678,462522,Zimovniki,-2.95,0.08,5.9,11.65,15.1,19.38,24.59,21.56,16.99,10.0,7.29,-0.37
Zhulebino,55.7,37.85,RU,150000,462745,Zhulebino,-6.44,-0.37,1.21,7.49,10.73,14.5,17.71,15.88,9.6,5.12,-0.11,-4.4
Zhukovskiy,55.59528,38.12028,RU,97200,462755,Zhukovskiy,-6.45,-0.37,1.23,7.48,10.67,14.5,17.71,15.88,9.64,5.13,-0.09,-4.44
Zhukovka,53.53381,33.73075,RU,19690,462822,Zhukovka,-2.81,0.69,3.41,8.1,11.95,14.88,16.96,16.43,10.02,6.43,2.04,-4.34
Zhirnovsk,50.98448,44.77347,RU,17887,462984,Zhirnovsk,-7.38,-2.98,3.37,10.4,13.23,16.45,20.22,17.1,12.64,6.7,1.58,-5.36
Zhigulevsk,53.39972,49.49528,RU,57094,463082,Zhigulevsk,-9.71,-3.74,0.52,8.34,12.76,17.15,19.93,17.31,12.07,5.3,-0.78,-7.08
Zherdevka,51.84861,41.46056,RU,16019,463217,Zherdevka,-5.85,-0.69,3.54,10.06,12.97,16.21,19.7,17.21,11.82,6.8,1.82,-4.74
Zheleznovodsk,44.13944,43.01972,RU,24632,463340,Zheleznovodsk,-3.74,-1.07,4.3,8.93,12.97,17.47,20.75,18.42,15.56,9.2,6.34,-1.59
Zheleznogorsk,52.331,35.3711,RU,97900,463343,Zheleznogorsk,-3.43,0.06,3.56,8.44,12.1,15.03,17.64,16.61,10.47,6.68,2.31,-4.49
Zheleznodorozhnyy,55.744,38.01684,RU,141648,463355,Zheleznodorozhnyy,-6.49,-0.38,1.18,7.43,10.66,14.45,17.67,15.84,9.55,5.06,-0.18,-4.45
Zernograd,46.84518,40.30834,RU,29268,463637,Zernograd,-2.25,1.22,5.72,11.62,15.16,19.23,23.64,21.18,16.41,9.96,7.72,0.38
Zelenokumsk,44.40694,43.88056,RU,41306,463824,Zelenokumsk,-1.56,1.53,7.04,11.75,15.88,21.14,24.64,22.01,18.77,11.21,8.12,0.96
Zelenogradsk,54.95893,20.47668,RU,15644,463828,Zelenogradsk,2.94,5.27,5.86,8.3,12.5,16.62,16.98,17.99,12.19,9.47,5.47,0.78
Zelenograd,55.9825,37.18139,RU,215727,463829,Zelenograd,-6.52,-0.34,0.79,7.08,10.24,13.92,17.0,15.46,8.97,4.74,-0.68,-4.87
Zelenodolsk,55.84376,48.51784,RU,99600,463835,Zelenodolsk,-10.54,-3.24,-1.08,5.47,10.61,15.48,19.13,16.39,9.92,3.04,-3.41,-6.99
Zelenchukskaya,43.85804,41.5894,RU,21117,463885,Zelenchukskaya,-5.54,-3.53,0.06,5.43,10.87,14.63,17.87,15.66,12.97,7.75,3.66,-1.07
Zavolzh’ye,56.64051,43.39446,RU,42900,464101,Zavolzh’ye,-9.25,-1.55,-0.33,7.41,9.97,14.77,18.74,16.58,9.71,3.87,-2.5,-5.89
Zavety Il’icha,56.04284,37.85153,RU,20000,464176,Zavety Il’icha,-6.73,-0.41,0.83,7.34,10.52,14.3,17.51,15.72,9.31,4.82,-0.71,-4.94
Zarechnyy,53.20356,45.19227,RU,63579,464625,Zarechnyy,-9.04,-3.01,1.27,8.25,11.64,14.96,18.41,15.87,10.46,4.81,-1.1,-6.82
Zaraysk,54.7605,38.87841,RU,24637,464687,Zaraysk,-6.38,-0.48,1.52,7.79,10.84,14.73,17.92,16.2,9.99,5.34,0.11,-5.19
Zapolyarnyy,69.41541,30.81355,RU,17789,464790,Zapolyarnyy,-15.64,-4.11,-6.11,-0.01,2.13,8.52,12.29,11.38,5.96,0.16,-8.09,-5.54
