name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Umeå,63.82842,20.25972,SE,130224,602150,Umeå,-9.61,-4.63,-0.61,0.65,7.93,11.85,18.72,15.15,10.73,3.16,0.07,-2.69
Skellefteå,64.75067,20.95279,SE,35516,602913,Skellefteå,-11.52,-4.48,-0.25,0.82,8.26,12.4,18.99,15.04,10.39,3.04,-0.38,-3.11
Piteå,65.31717,21.47944,SE,23067,603570,Piteå,-12.67,-4.72,-0.86,0.22,7.74,12.13,18.79,14.95,9.95,2.78,-0.83,-3.89
Luleå,65.58415,22.15465,SE,43574,604490,Luleå,-13.81,-5.46,-1.69,-0.57,6.72,11.54,18.42,15.02,9.75,2.92,-0.67,-4.5
Kiruna,67.85572,20.22513,SE,17037,605155,Kiruna,-20.3,-9.68,-6.33,-3.06,3.99,9.05,15.73,10.36,4.35,-2.06,-8.11,-13.23
Boden,65.82518,21.68864,SE,16830,606531,Boden,-14.78,-5.38,-1.23,0.76,8.61,13.43,19.71,14.74,9.54,2.06,-2.52,-6.53
Ystad,55.42966,13.82041,SE,18806,2662149,Ystad,-0.45,-2.54,2.68,5.76,12.04,16.21,18.68,18.32,14.52,6.5,6.6,3.51
Visby,57.64089,18.29602,SE,23402,2662689,Visby,-1.04,-2.18,1.66,3.77,10.79,15.29,19.36,17.57,14.18,6.66,5.76,2.94
Växjö,56.87767,14.80906,SE,65383,2663536,Växjö,-3.24,-4.43,1.57,4.73,10.95,15.14,17.77,16.49,12.78,4.29,4.59,1.65
Västra Frölunda,57.64667,11.92944,SE,15924,2664050,Västra Frölunda,-1.44,-2.89,2.42,6.35,10.98,15.92,18.46,16.86,13.53,5.13,5.47,3.23
Västervik,57.7584,16.63733,SE,21178,2664203,Västervik,-2.07,-3.1,2.87,4.37,11.77,15.85,18.91,16.99,13.38,5.13,5.41,2.41
Västerås,59.61617,16.55276,SE,127799,2664454,Västerås,-4.09,-4.69,2.02,4.24,11.03,15.47,19.34,16.58,12.85,3.51,2.75,-0.05
Vasastan,59.34571,18.04985,SE,58458,2664740,Vasastan,-3.44,-4.24,1.84,3.43,10.5,15.11,19.51,16.93,13.2,4.45,3.99,0.69
Värnamo,57.18604,14.04001,SE,19061,2664855,Värnamo,-3.21,-4.41,1.62,5.01,10.71,15.11,17.77,16.5,12.77,4.17,4.46,1.6
Varberg,57.10557,12.25078,SE,34248,2664996,Varberg,-0.88,-2.44,2.37,6.25,10.92,15.6,18.31,17.22,14.06,6.1,6.02,3.74
Vänersborg,58.38075,12.3234,SE,23119,2665171,Vänersborg,-2.35,-2.68,2.41,5.52,10.63,16.01,18.57,17.4,13.53,5.22,4.25,2.11
Vallentuna,59.53436,18.07758,SE,31937,2665452,Vallentuna,-3.73,-4.45,1.81,3.59,10.65,15.07,19.68,16.81,13.01,4.24,3.7,0.42
Uppsala,59.85882,17.63889,SE,177074,2666199,Uppsala,-4.06,-4.64,1.97,3.78,10.94,15.05,19.78,16.5,12.73,3.68,2.94,-0.1
Upplands Väsby,59.51839,17.91128,SE,36534,2666238,Upplands Väsby,-3.77,-4.48,1.97,3.78,10.94,15.33,19.87,16.9,13.07,4.14,3.66,0.39
Uddevalla,58.34784,11.9424,SE,34781,2666670,Uddevalla,-2.13,-2.58,2.45,6.08,10.66,16.2,18.79,17.71,13.86,5.5,4.72,2.51
Tumba,59.19858,17.83317,SE,40832,2667094,Tumba,-3.39,-4.1,2.07,3.71,10.82,15.43,19.66,17.05,13.33,4.46,4.1,0.75
Tullinge,59.2,17.9,SE,16000,2667109,Tullinge,-3.5,-4.21,1.81,3.39,10.45,15.1,19.37,16.84,13.14,4.37,3.99,0.65
Trollhättan,58.28365,12.28864,SE,48573,2667303,Trollhättan,-2.53,-2.9,2.28,5.6,10.63,15.98,18.49,17.32,13.51,5.02,4.29,1.99
Trelleborg,55.37514,13.15691,SE,29316,2667402,Trelleborg,-0.01,-1.84,2.82,5.9,11.65,16.05,18.42,18.53,14.73,6.9,7.01,4.05
