name,latitude,longitude,country,population,id
Vranov nad Topľou,48.88836,21.68479,SK,23246,723195
Trebišov,48.62858,21.71954,SK,22947,723358
Stará Ľubovňa,49.29859,20.6862,SK,16000,723505
Spišská Nová Ves,48.94464,20.56153,SK,39195,723526
Snina,48.98857,22.15099,SK,22221,723559
Rožňava,48.66009,20.53758,SK,19261,723713
Rimavská Sobota,48.38284,20.02239,SK,25235,723736
Prešov,48.99839,21.23393,SK,83897,723819
Poprad,49.06144,20.29798,SK,57431,723846
Michalovce,48.75434,21.9195,SK,40360,724144
Košice,48.71395,21.25808,SK,228249,724443
Kežmarok,49.13571,20.43352,SK,16381,724503
Humenné,48.93707,21.91625,SK,35367,724627
Bardejov,49.29175,21.27271,SK,33060,725168
Zvolen,48.57442,19.15324,SK,44502,3056459
Zlaté Moravce,48.38553,18.40063,SK,15618,3056495
Žilina,49.22315,18.73941,SK,81940,3056508
Žiar nad Hronom,48.59184,18.84958,SK,19392,3056523
Trnava,48.37741,17.58723,SK,63194,3057124
Trenčín,48.89452,18.04436,SK,58278,3057140
Stupava,48.27474,17.03173,SK,15095,3057384
Staré Mesto,48.15039,17.09002,SK,46080,3057478
Skalica,48.8449,17.22635,SK,15013,3057630
Senica,48.67922,17.36697,SK,21741,3057691
Šaľa,48.15127,17.88062,SK,24513,3057769
Ružomberok,49.0748,19.30751,SK,30806,3057789
Púchov,49.12494,18.32597,SK,18833,3057963
Prievidza,48.77446,18.6275,SK,52987,3058000
Považská Bystrica,49.12153,18.42169,SK,43936,3058060
Piešťany,48.59479,17.82591,SK,30000,3058202
Pezinok,48.28986,17.26664,SK,21343,3058210
Partizánske,48.62861,18.38455,SK,24370,3058268
Nové Zámky,47.98544,18.16195,SK,37899,3058472
Nové Mesto nad Váhom,48.75763,17.8309,SK,21527,3058477
Nitra,48.30763,18.08453,SK,86329,3058531
Martin,49.06651,18.92399,SK,54618,3058780
Malacky,48.43604,17.02188,SK,17773,3058897
Lučenec,48.33249,19.66708,SK,28159,3058986
Liptovský Mikuláš,49.08061,19.62218,SK,31194,3059050
Levice,48.21563,18.60705,SK,37574,3059101
Kysucké Nové Mesto,49.3,18.78333,SK,16558,3059179
Komárno,47.76356,18.12263,SK,32643,3059436
Hlohovec,48.43174,17.8031,SK,23930,3060095
Handlová,48.7276,18.76012,SK,18018,3060139
Galanta,48.19001,17.72747,SK,15013,3060219
Dunajská Streda,47.99268,17.61211,SK,22730,3060308
Dubnica nad Váhom,48.95981,18.16634,SK,23762,3060346
Dolný Kubín,49.20983,19.30341,SK,18995,3060405
Čadca,49.43503,18.78895,SK,24670,3060835
Brezno,48.80431,19.63631,SK,21331,3060950
Bratislava,48.14816,17.10674,SK,423737,3060972
Banská Bystrica,48.73946,19.15349,SK,75317,3061186
Bánovce nad Bebravou,48.7213,18.25754,SK,18933,3061188
