name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Vranov nad Topľou,48.88836,21.68479,SK,23246,723195,Vranov nad Topľou,-6.03,0.54,2.06,6.94,11.07,16.09,17.42,17.22,13.2,9.57,1.5,-2.19
Trebišov,48.62858,21.71954,SK,22947,723358,Trebišov,-5.83,0.77,2.77,7.8,12.03,16.78,18.12,18.01,13.92,10.15,1.84,-1.93
Stará Ľubovňa,49.29859,20.6862,SK,16000,723505,Stará Ľubovňa,-7.37,-1.2,-0.45,4.01,7.93,13.68,15.06,14.91,11.24,7.29,-1.08,-4.42
Spišská Nová Ves,48.94464,20.56153,SK,39195,723526,Spišská Nová Ves,-7.62,-0.96,0.61,4.75,8.72,14.4,15.71,15.67,11.79,7.55,-0.42,-4.43
Snina,48.98857,22.15099,SK,22221,723559,Snina,-6.68,-0.04,1.32,6.33,10.54,15.36,16.91,16.56,12.63,9.29,1.51,-2.3
Rožňava,48.66009,20.53758,SK,19261,723713,Rožňava,-7.68,-1.17,1.49,6.01,10.51,15.48,16.62,16.57,12.75,8.32,0.51,-3.15
Rimavská Sobota,48.38284,20.02239,SK,25235,723736,Rimavská Sobota,-7.5,-0.97,2.15,6.35,10.71,15.74,16.73,16.9,12.98,8.6,1.34,-2.52
Prešov,48.99839,21.23393,SK,83897,723819,Prešov,-6.14,0.03,1.34,6.17,10.08,15.51,16.73,16.56,12.75,8.79,0.68,-3.04
Poprad,49.06144,20.29798,SK,57431,723846,Poprad,-8.82,-2.15,-0.94,3.36,7.24,12.92,14.27,14.29,10.46,6.19,-1.78,-5.72
Michalovce,48.75434,21.9195,SK,40360,724144,Michalovce,-6.27,0.44,2.27,7.22,11.43,16.22,17.59,17.38,13.32,9.72,1.64,-2.25
Košice,48.71395,21.25808,SK,228249,724443,Košice,-6.75,-0.18,1.95,6.76,10.85,16.11,17.2,17.23,13.15,9.01,0.54,-3.03
Kežmarok,49.13571,20.43352,SK,16381,724503,Kežmarok,-8.47,-1.8,-0.59,3.71,7.59,13.27,14.62,14.64,10.81,6.54,-1.43,-5.37
Humenné,48.93707,21.91625,SK,35367,724627,Humenné,-6.4,0.28,1.79,6.72,10.9,15.77,17.2,16.95,12.92,9.43,1.5,-2.32
