name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Yüksekova,37.57362,44.28716,TR,71729,296173,Yüksekova,-6.97,-4.77,0.39,4.12,11.11,18.82,22.4,21.41,18.48,10.81,5.87,-1.68
Yozgat,39.82,34.80444,TR,87881,296562,Yozgat,-3.89,0.12,3.88,8.16,10.83,16.89,19.87,18.41,16.0,11.18,6.84,1.36
Yeşilli,37.33813,40.81739,TR,32072,296832,Yeşilli,0.95,3.85,9.16,12.62,19.75,26.2,31.7,29.73,25.04,18.6,11.88,5.37
Erzin,36.95348,36.19839,TR,26316,296852,Erzin,4.97,8.2,12.24,16.05,20.48,24.02,25.6,26.43,24.61,20.88,14.98,9.87
Yerköy,39.63806,34.46722,TR,35294,296895,Yerköy,-2.16,2.32,6.72,11.44,14.0,20.72,23.26,21.76,19.15,13.86,8.97,3.54
Didim,37.38496,27.25643,TR,26000,297090,Didim,9.01,10.49,13.25,15.64,19.61,23.12,26.89,26.1,22.64,19.86,16.25,12.82
Yatağan,37.34025,28.14279,TR,19020,297564,Yatağan,5.11,7.81,12.18,14.96,20.37,24.64,30.02,28.76,23.21,19.7,13.77,9.54
Yalvaç,38.29556,31.17778,TR,39145,297789,Yalvaç,-2.06,1.15,6.32,10.1,14.41,19.21,23.89,22.66,18.14,13.82,8.46,3.87
Yahyalı,38.10228,35.35704,TR,25019,297917,Yahyalı,-6.53,-1.75,3.38,8.61,12.34,17.94,22.44,20.88,17.96,12.65,6.77,1.31
Viranşehir,37.22349,39.75519,TR,154163,298033,Viranşehir,2.97,5.84,10.89,14.1,21.43,27.64,32.49,31.2,26.27,20.14,13.48,7.33
Varto,39.17375,41.45402,TR,18691,298088,Varto,-8.21,-4.9,0.5,5.57,11.82,17.24,22.6,21.26,17.97,10.95,3.99,-2.21
Van,38.49457,43.38323,TR,371713,298117,Van,-4.05,-3.72,1.46,5.94,11.85,18.31,22.96,22.12,18.94,12.05,7.49,0.99
Cimin,39.70947,39.70015,TR,39591,298230,Cimin,-8.08,-5.34,0.81,5.07,11.64,17.02,19.74,18.58,17.54,10.92,3.55,-2.36
Uşak,38.67351,29.4058,TR,152862,298299,Uşak,0.04,2.7,7.21,10.77,14.86,19.25,24.22,23.11,17.77,13.94,8.87,3.75
Urla,38.32292,26.76403,TR,45199,298316,Urla,7.18,9.08,12.41,15.37,19.73,23.18,26.86,26.06,22.13,18.8,15.6,11.71
Ürgüp,38.6296,34.91199,TR,16642,298326,Ürgüp,-7.17,0.86,5.57,9.69,13.2,19.11,22.63,21.08,18.53,12.98,7.82,1.99
Şanlıurfa,37.16708,38.79392,TR,449549,298333,Şanlıurfa,2.12,5.48,10.38,14.49,21.74,27.55,32.56,30.77,26.05,19.81,12.86,7.0
Turgutlu,38.49533,27.6997,TR,103292,298806,Turgutlu,4.35,6.36,11.2,14.88,19.9,23.57,26.42,25.46,21.66,17.85,13.26,9.15
Tunceli,39.09921,39.54351,TR,29062,298846,Tunceli,-3.94,-1.25,4.82,9.64,15.38,21.75,27.55,25.67,21.46,14.47,7.62,1.85
Torbalı,38.1519,27.36223,TR,50303,298935,Torbalı,4.69,7.22,11.82,15.14,20.17,24.12,28.23,27.39,22.19,18.71,14.18,10.03
Tire,38.08877,27.73508,TR,47220,299137,Tire,4.7,6.78,12.31,15.88,20.94,24.75,28.32,27.2,22.58,19.3,14.37,10.07
Tekirova,36.5017,30.52723,TR,20000,299445,Tekirova,10.43,11.19,14.56,17.18,22.02,26.35,30.23,29.8,25.82,22.44,17.39,13.21
Tavşanlı,39.54237,29.49866,TR,52182,299545,Tavşanlı,-1.21,1.61,5.99,9.97,13.74,17.65,20.77,19.74,16.2,12.49,8.0,3.27
Tatvan,38.49221,42.28269,TR,73222,299582,Tatvan,-3.36,-2.05,2.33,6.55,12.76,18.97,23.73,22.74,19.44,12.66,7.41,1.36
Tarsus,36.91766,34.89277,TR,256482,299817,Tarsus,5.31,8.08,11.74,15.18,19.37,23.11,25.9,25.95,23.92,20.78,15.6,10.34
Talas,38.6908,35.5538,TR,36890,299900,Talas,-5.47,0.27,5.4,9.3,12.96,18.6,22.38,20.97,18.55,13.14,7.49,1.24
Susurluk,39.91361,28.15778,TR,24816,300058,Susurluk,3.79,6.24,9.22,13.84,16.73,21.35,23.8,23.31,19.37,15.94,13.34,8.16
Suruç,36.97612,38.42533,TR,46694,300075,Suruç,2.96,6.29,11.24,15.68,22.63,27.96,32.25,31.03,26.59,20.79,13.76,7.81
Sorgun,39.81012,35.18596,TR,62862,300352,Sorgun,-3.54,0.91,4.54,9.06,11.59,17.46,19.95,18.57,16.86,12.02,7.53,2.08
Soma,39.18554,27.60945,TR,65934,300371,Soma,3.11,5.35,9.41,13.84,17.46,21.94,24.42,23.44,19.93,15.68,12.5,8.0
Solhan,38.96525,41.05443,TR,15303,300377,Solhan,-6.23,-3.28,1.97,7.04,13.92,19.4,25.15,23.77,20.32,13.15,6.14,0.22
Söke,37.7482,27.40614,TR,68230,300399,Söke,6.88,9.09,12.86,15.73,20.65,24.43,28.93,28.01,23.21,20.23,15.36,11.56
Siverek,37.75503,39.31667,TR,175341,300614,Siverek,-0.65,2.36,8.35,11.83,18.32,24.54,30.53,28.41,23.69,17.42,10.92,4.88
Sivas,39.74833,37.01611,TR,264022,300619,Sivas,-7.21,-2.89,2.47,7.49,11.06,15.95,19.18,17.04,15.78,10.74,5.1,-0.74
Şırnak,37.51393,42.45432,TR,52743,300640,Şırnak,-4.94,-0.64,4.78,8.48,15.2,22.62,27.57,25.16,20.53,14.24,8.03,0.98
Simav,39.0882,28.97767,TR,34909,300791,Simav,1.42,3.08,7.97,11.33,15.13,19.24,23.59,22.54,17.64,14.32,9.97,4.81
Silvan,38.13708,41.00817,TR,65956,300796,Silvan,-0.94,1.93,6.94,10.82,16.68,23.68,29.48,27.3,22.48,16.19,9.19,3.11
Silopi,37.24379,42.46345,TR,74798,300797,Silopi,1.77,4.75,9.66,13.14,20.2,27.84,32.7,29.71,24.73,18.98,12.35,5.7
Silifke,36.37778,33.93444,TR,75315,300808,Silifke,8.77,10.63,13.36,16.13,20.47,23.94,26.3,26.68,24.84,22.16,17.46,12.96
Siirt,37.9293,41.94134,TR,114034,300822,Siirt,-3.18,1.38,6.9,10.54,16.75,23.64,29.55,27.41,22.6,15.74,8.87,2.26
Seydişehir,37.41926,31.84527,TR,51089,301010,Seydişehir,-2.09,0.78,5.78,9.79,13.63,18.84,23.88,22.38,18.23,13.22,8.59,4.14
Serinyol,36.36139,36.21361,TR,16753,301089,Serinyol,5.07,8.97,12.54,16.34,20.82,24.33,25.63,26.22,24.55,21.53,15.29,9.97
Serik,36.91694,31.09889,TR,36925,301101,Serik,7.19,9.55,12.5,15.21,20.3,25.07,28.52,28.15,23.86,20.61,15.11,11.21
Şereflikoçhisar,38.93925,33.5386,TR,44101,301116,Şereflikoçhisar,-0.98,2.46,6.41,10.82,14.49,20.21,24.12,22.7,19.07,14.5,9.77,4.7
Senirkent,38.10444,30.54861,TR,15919,301172,Senirkent,0.27,2.51,7.02,10.52,14.54,19.2,23.96,22.4,18.07,14.04,9.2,4.56
Şemdinli,37.30514,44.5742,TR,18978,301209,Şemdinli,-4.23,-1.27,3.21,7.23,14.8,22.38,26.2,24.93,21.73,14.36,9.12,2.02
Selçuk,37.95137,27.36849,TR,29101,301256,Selçuk,4.75,7.25,11.7,15.01,20.14,24.18,28.63,27.72,22.28,18.94,14.12,9.94
Seferihisar,38.1975,26.83881,TR,19596,301350,Seferihisar,7.51,9.21,12.47,15.31,19.67,23.2,27.08,26.38,22.28,19.04,15.7,11.88
Şarkışla,39.35186,36.40976,TR,23800,301537,Şarkışla,-5.76,-1.11,3.81,8.01,11.64,16.7,19.41,17.71,16.38,11.39,6.03,-0.01
Şarkîkaraağaç,38.07944,31.36639,TR,32771,301539,Şarkîkaraağaç,-2.57,0.05,5.93,9.63,13.71,18.68,23.5,22.37,17.94,13.51,8.19,3.65
Sarayköy,37.92448,28.92516,TR,18937,301827,Sarayköy,4.84,7.91,13.23,17.21,22.05,25.97,30.75,29.4,24.06,20.0,14.32,9.44
Sandıklı,38.46472,30.26946,TR,42981,301911,Sandıklı,-1.66,1.14,6.0,9.93,13.84,18.27,22.28,20.9,17.04,12.9,8.12,3.15
Salihli,38.48258,28.14774,TR,88906,302043,Salihli,4.17,6.68,11.54,15.73,20.14,24.12,27.3,26.39,22.08,18.32,12.98,8.75
Reyhanlı,36.26791,36.56747,TR,56995,302355,Reyhanlı,4.65,8.12,11.86,16.11,21.27,25.21,27.31,27.42,24.93,21.13,14.88,9.48
Polatlı,39.57715,32.14132,TR,93262,302525,Polatlı,-1.38,2.02,6.79,11.03,14.9,19.99,24.45,22.56,17.91,13.34,8.23,2.92
Pazarcık,37.48685,37.29961,TR,23850,302800,Pazarcık,-0.26,2.57,7.74,11.95,17.22,22.2,26.37,25.41,21.66,16.57,10.99,5.31
Patnos,39.22493,42.85693,TR,87451,302819,Patnos,-8.29,-4.49,1.08,5.89,11.74,17.55,22.43,21.33,17.73,10.14,4.0,-2.27
Pasinler,39.97975,41.66997,TR,24553,302824,Pasinler,-9.72,-6.29,-0.47,4.55,10.44,14.61,18.71,17.0,15.15,9.1,2.54,-1.76
Osmaniye,37.07417,36.24778,TR,202837,303195,Osmaniye,4.55,7.71,11.96,15.82,20.23,24.04,25.99,26.72,24.45,20.48,14.72,9.47
