name,latitude,longitude,country,population,id
Lebedyn,50.58518,34.4849,UA,24238,613273
Druzhkivka,48.61897,37.52704,UA,62315,616743
Zvenihorodka,49.07765,30.96074,UA,16490,686803
Zuhres,48.0114,38.26444,UA,17924,686818
Zolotonosha,49.66926,32.03637,UA,27818,686875
Zolochiv,49.80755,24.90056,UA,22608,686896
Znamyanka,48.72066,32.65822,UA,22444,686919
Zhytomyr,50.26487,28.67669,UA,261624,686967
Zhmerynka,49.03523,28.11405,UA,34498,687116
Zhovti Vody,48.34518,33.49743,UA,42901,687196
Zdolbuniv,50.5206,26.24251,UA,24642,687432
Zaporizhzhya,47.85167,35.11714,UA,710052,687700
Yuzhne,46.62472,31.10182,UA,32745,687997
Yevpatoriya,45.20091,33.36655,UA,106202,688105
Yenakiieve,48.23331,38.21137,UA,77053,688148
Yasynuvata,48.1298,37.8594,UA,37600,688373
Yalta,44.50218,34.16624,UA,77003,688533
Yahotyn,50.27975,31.76246,UA,19270,688587
Vyshhorod,50.58476,30.4898,UA,22080,688723
Vynohradiv,48.14126,23.03623,UA,25442,688746
Voznesensk,47.56218,31.33602,UA,33442,688860
Volochysk,49.53606,26.20681,UA,18474,689159
Volnovakha,47.60103,37.49674,UA,21166,689198
Vilnohirsk,48.48416,34.01708,UA,22458,689200
Vovchansk,50.29078,36.94108,UA,19486,689304
Volodymyr-Volynskyi,50.85253,24.32364,UA,37910,689378
Vyshneve,50.38913,30.3705,UA,42480,689487
Vinnytsya,49.2322,28.46871,UA,369839,689558
Vilnyansk,47.94768,35.44034,UA,15044,689584
Verkhnodniprovsk,48.65557,34.3262,UA,16176,689916
Vatutine,49.01198,31.04659,UA,16096,690312
Vasylkiv,50.18693,30.31346,UA,37310,690412
Uzhgorod,48.6242,22.2947,UA,115449,690548
Uman,48.7501,30.21944,UA,100135,690688
Tulchyn,48.67397,28.86848,UA,15011,691016
Oleshky,46.62553,32.72426,UA,24639,691037
Truskavets,49.27832,23.50998,UA,28474,691179
Chystyakove,48.03876,38.59685,UA,53725,691374
Tokmak,47.25554,35.70836,UA,29573,691469
Ternivka,48.52656,36.07051,UA,27929,691628
Ternopil,49.55404,25.59067,UA,225238,691650
Sievierodonetsk,48.94628,38.48624,UA,99067,691999
Svitlovodsk,49.06287,33.2458,UA,43130,692087
Dovzhansk,48.08964,39.65243,UA,62691,692105
Svatove,49.40719,38.15362,UA,16145,692118
Svalyava,48.54735,22.98673,UA,17234,692129
Sumy,50.9216,34.80029,UA,259660,692194
Sudak,44.84924,34.97471,UA,16597,692315
Stryi,49.26171,23.84721,UA,61404,692372
Stebnyk,49.30098,23.55197,UA,20398,692632
Starokostyantyniv,49.75522,27.21229,UA,34232,692818
Starobilsk,49.27719,38.91673,UA,22000,692832
Kadiyivka,48.56818,38.64352,UA,84425,692975
Sokal,50.47438,24.28288,UA,20659,693301
Snizhne,48.02612,38.77225,UA,55587,693381
Smila,49.23295,31.88427,UA,66475,693457
Sloviansk,48.84974,37.59739,UA,106972,693468
Slavuta,50.29609,26.86613,UA,35068,693581
Skvyra,49.73303,29.66426,UA,17452,693615
Skadovsk,46.11313,32.90978,UA,17915,693709
Synelnykove,48.32362,35.52612,UA,30556,693796
Simferopol,44.95719,34.11079,UA,336460,693805
Shpola,49.01291,31.3926,UA,16674,693920
Shostka,51.86296,33.4698,UA,73197,693942
Shepetivka,50.18118,27.06517,UA,40802,694216
Shakhtarsk,48.05657,38.43826,UA,71700,694382
Sevastopol,44.60795,33.52134,UA,547820,694423
Selydove,48.14708,37.30032,UA,21916,694677
Sarny,51.33795,26.60191,UA,28865,694792
Sambir,49.51631,23.2006,UA,34152,694864
Saki,45.13424,33.59996,UA,28322,694910
Rubizhne,49.00606,38.38119,UA,56066,695274
Rozdilna,46.85479,30.07091,UA,17858,695344
Kurakhove,47.98437,37.27909,UA,18506,695357
Rovenky,48.08331,39.37764,UA,45651,695379
Romny,50.75104,33.47471,UA,38305,695464
Rivne,50.62308,26.22743,UA,245289,695594
Rakhiv,48.05472,24.20314,UA,15621,695859
Radomyshl,50.49613,29.22911,UA,15252,695912
Pyatykhatky,48.40821,33.70919,UA,18457,695965
Putyvl,51.33745,33.87066,UA,15100,696008
Pryluky,50.59323,32.38761,UA,52553,696108
Popasna,48.63328,38.37804,UA,25442,696566
Poltava,49.58925,34.55367,UA,283402,696643
Polonne,50.11944,27.50856,UA,20785,696660
Polohy,47.47865,36.25463,UA,18111,696677
Pidhorodne,48.57422,35.09702,UA,19336,696943
Pyriatyn,50.24388,32.5203,UA,15391,697183
Pervomaiskyi,49.37646,36.21848,UA,28986,697576
Pervomaisk,48.62831,38.56205,UA,36311,697592
Pervomaysk,48.04478,30.84784,UA,62426,697593
Pershotravensk,48.3479,36.39637,UA,27573,697616
Pereiaslav,50.06739,31.44969,UA,26576,697637
Perevalsk,48.43779,38.84384,UA,29220,697650
Pavlohrad,48.53214,35.86878,UA,101430,697889
Ovruch,51.3246,28.80351,UA,15332,698131
Pokrov,47.65361,34.11488,UA,38111,698436
Oleksandriya,48.67466,33.11761,UA,76097,698625
Odesa,46.48572,30.74383,UA,1015826,698740
Obukhiv,50.10689,30.61848,UA,31557,698782
Novovolynsk,50.72576,24.16265,UA,50417,699035
Novoukrayinka,48.31661,31.52355,UA,16479,699078
Novomoskovsk,48.62893,35.2589,UA,70550,699445
Zviahel,50.59412,27.6165,UA,55925,699553
Nova Kakhovka,46.75966,33.35591,UA,45069,699839
Nizhyn,51.04801,31.88688,UA,66983,699942
Nikopol,47.56826,34.39126,UA,105160,700051
Netishyn,50.32863,26.64872,UA,36661,700261
Nadvirna,48.63659,24.5714,UA,22504,700507
Mykolayiv,46.97625,31.99296,UA,470011,700569
Mukachevo,48.44248,22.718,UA,85569,700646
Molodohvardiisk,48.34511,39.65244,UA,22514,700829
Mohyliv-Podilskyy,48.44278,27.79975,UA,30589,700918
Myrhorod,49.96464,33.60861,UA,39575,701075
Merefa,49.81861,36.05653,UA,21421,701347
Melitopol,46.84735,35.38196,UA,148851,701404
Mariupol,47.09514,37.54131,UA,431859,701822
Marhanets,47.63088,34.6245,UA,45718,701855
Malyn,50.77233,29.23833,UA,25587,702116
Makiivka,48.04782,37.92576,UA,338968,702320
Lyubotyn,49.94691,35.92907,UA,20376,702417
Lviv,49.83826,24.02324,UA,717273,702550
Lutuhyne,48.40507,39.22675,UA,17134,702563
Lutsk,50.75932,25.34244,UA,215986,702569
Luhansk,48.56952,39.32857,UA,397677,702658
Lubny,50.01413,32.99975,UA,44595,702723
Lozova,48.88937,36.31755,UA,54026,702760
Lysychansk,48.90421,38.44094,UA,95031,702972
Ladyzhyn,48.68437,29.23636,UA,22687,703428
Kyiv,50.45466,30.5238,UA,2797553,703448
Kurakhovo,47.98522,37.2821,UA,20700,703646
Kupiansk,49.71003,37.61581,UA,27169,703656
