name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Lebedyn,50.58518,34.4849,UA,24238,613273,Lebedyn,-9.95,-7.27,-5.81,6.23,11.4,17.32,19.07,16.91,13.08,7.63,-0.3,-2.0
Druzhkivka,48.61897,37.52704,UA,62315,616743,Druzhkivka,-8.49,-5.91,-3.71,7.26,13.09,18.59,21.59,18.32,14.09,8.18,3.13,1.74
Zvenihorodka,49.07765,30.96074,UA,16490,686803,Zvenihorodka,-6.75,-4.81,-3.28,6.9,12.1,17.29,19.41,18.03,14.2,9.25,1.95,-0.84
Zuhres,48.0114,38.26444,UA,17924,686818,Zuhres,-8.84,-5.82,-3.77,7.24,13.35,18.63,21.68,18.44,14.34,8.04,3.73,2.36
Zolotonosha,49.66926,32.03637,UA,27818,686875,Zolotonosha,-7.23,-5.68,-4.17,6.5,11.91,17.54,19.6,17.91,14.12,8.93,1.53,-1.05
Zolochiv,49.80755,24.90056,UA,22608,686896,Zolochiv,-7.43,-2.16,-2.32,6.31,10.15,15.33,17.17,16.32,12.85,9.28,1.12,-1.38
Znamyanka,48.72066,32.65822,UA,22444,686919,Znamyanka,-7.26,-5.56,-4.13,6.44,12.02,16.71,19.01,17.45,13.42,8.39,1.9,-0.51
Zhytomyr,50.26487,28.67669,UA,261624,686967,Zhytomyr,-8.46,-5.55,-4.83,5.59,9.97,15.89,17.71,16.5,12.94,8.56,0.68,-1.83
Zhmerynka,49.03523,28.11405,UA,34498,687116,Zhmerynka,-8.21,-4.23,-3.17,6.01,10.85,15.9,17.92,16.68,13.09,8.64,0.95,-1.48
Zhovti Vody,48.34518,33.49743,UA,42901,687196,Zhovti Vody,-6.88,-4.89,-2.7,7.03,12.81,17.43,19.96,18.12,13.64,8.73,2.98,0.44
Zdolbuniv,50.5206,26.24251,UA,24642,687432,Zdolbuniv,-8.15,-3.44,-3.58,6.23,10.05,15.73,17.46,16.61,13.12,9.07,0.97,-1.3
Zaporizhzhya,47.85167,35.11714,UA,710052,687700,Zaporizhzhya,-6.3,-3.97,-1.54,7.73,13.77,18.78,21.97,19.6,14.76,9.55,4.41,2.15
Yuzhne,46.62472,31.10182,UA,32745,687997,Yuzhne,-2.67,-0.98,0.73,7.94,13.25,18.36,21.22,20.5,15.8,11.53,5.52,2.71
Yevpatoriya,45.20091,33.36655,UA,106202,688105,Yevpatoriya,-0.48,1.45,3.0,8.74,13.83,18.78,22.66,21.61,16.92,13.12,9.02,5.95
Yenakiieve,48.23331,38.21137,UA,77053,688148,Yenakiieve,-9.46,-6.51,-4.3,6.54,12.6,17.94,20.9,17.51,13.55,7.34,2.82,1.57
Yasynuvata,48.1298,37.8594,UA,37600,688373,Yasynuvata,-9.21,-6.2,-4.01,6.33,12.28,17.62,20.8,17.38,13.26,7.31,2.8,1.43
Yalta,44.50218,34.16624,UA,77003,688533,Yalta,1.18,3.45,4.6,9.93,15.18,19.68,23.29,21.82,17.58,14.08,10.31,7.32
Yahotyn,50.27975,31.76246,UA,19270,688587,Yahotyn,-8.08,-6.25,-4.57,6.18,11.17,17.05,18.94,17.13,13.48,8.35,0.69,-1.84
Vyshhorod,50.58476,30.4898,UA,22080,688723,Vyshhorod,-7.75,-5.89,-4.73,5.53,10.99,17.23,18.75,17.33,13.87,8.87,0.76,-1.66
Vynohradiv,48.14126,23.03623,UA,25442,688746,Vynohradiv,-8.08,0.31,3.16,7.82,12.26,16.37,17.93,17.49,13.48,10.49,3.53,-1.57
Voznesensk,47.56218,31.33602,UA,33442,688860,Voznesensk,-4.19,-2.0,-0.65,8.27,13.54,18.21,20.71,19.68,15.62,10.5,4.32,1.67
Volochysk,49.53606,26.20681,UA,18474,689159,Volochysk,-8.67,-4.0,-3.3,5.89,9.92,15.32,17.18,16.23,12.6,8.64,0.73,-1.78
Volnovakha,47.60103,37.49674,UA,21166,689198,Volnovakha,-8.45,-5.66,-3.82,6.73,12.69,17.85,21.24,17.96,13.64,7.89,3.57,1.86
Vilnohirsk,48.48416,34.01708,UA,22458,689200,Vilnohirsk,-7.48,-5.36,-3.45,6.8,12.72,17.39,19.9,18.05,13.48,8.49,2.66,0.21
Vovchansk,50.29078,36.94108,UA,19486,689304,Vovchansk,-10.51,-7.62,-5.92,6.4,12.04,17.91,19.91,17.36,13.27,7.32,-0.03,-0.95
Volodymyr-Volynskyi,50.85253,24.32364,UA,37910,689378,Volodymyr-Volynskyi,-7.44,-1.59,-2.57,6.26,9.56,15.32,16.9,16.26,12.8,8.89,0.95,-1.17
Vyshneve,50.38913,30.3705,UA,42480,689487,Vyshneve,-7.9,-5.96,-4.72,5.97,10.75,16.71,18.34,16.93,13.45,8.66,0.81,-1.82
Vinnytsya,49.2322,28.46871,UA,369839,689558,Vinnytsya,-7.91,-4.29,-3.25,6.13,10.95,16.13,18.17,16.89,13.3,8.77,1.22,-1.32
Vilnyansk,47.94768,35.44034,UA,15044,689584,Vilnyansk,-6.92,-4.5,-2.06,7.23,13.18,18.23,21.55,18.98,14.19,9.0,3.96,1.79
Verkhnodniprovsk,48.65557,34.3262,UA,16176,689916,Verkhnodniprovsk,-7.1,-4.87,-3.27,5.64,13.44,18.47,20.86,18.97,14.43,8.98,2.57,0.74
Vatutine,49.01198,31.04659,UA,16096,690312,Vatutine,-6.71,-4.73,-3.2,6.96,12.18,17.28,19.41,18.06,14.23,9.25,1.99,-0.8
Vasylkiv,50.18693,30.31346,UA,37310,690412,Vasylkiv,-7.49,-5.49,-4.23,6.13,11.0,16.78,18.51,17.13,13.64,8.88,1.16,-1.54
Uzhgorod,48.6242,22.2947,UA,115449,690548,Uzhgorod,-6.51,0.26,2.36,7.3,11.69,16.09,17.6,17.23,13.22,10.0,2.43,-1.9
Uman,48.7501,30.21944,UA,100135,690688,Uman,-6.98,-4.61,-3.12,6.68,11.9,16.84,18.91,17.65,13.91,9.06,1.74,-1.17
Tulchyn,48.67397,28.86848,UA,15011,691016,Tulchyn,-7.35,-3.84,-2.62,6.74,11.84,16.71,18.73,17.52,13.86,9.27,1.78,-0.81
Oleshky,46.62553,32.72426,UA,24639,691037,Oleshky,-3.03,-0.85,0.93,8.6,14.44,18.75,22.13,20.44,15.48,11.13,5.87,3.03
Truskavets,49.27832,23.50998,UA,28474,691179,Truskavets,-8.39,-1.63,-2.44,5.46,9.12,14.5,16.27,15.66,12.01,8.97,0.25,-2.27
Chystyakove,48.03876,38.59685,UA,53725,691374,Chystyakove,-9.86,-6.77,-4.85,6.42,12.68,17.83,20.88,17.7,13.7,7.32,3.08,1.7
Tokmak,47.25554,35.70836,UA,29573,691469,Tokmak,-5.77,-3.24,-0.99,8.26,13.98,19.03,22.72,19.66,14.98,9.82,5.17,2.75
Ternivka,48.52656,36.07051,UA,27929,691628,Ternivka,-8.45,-5.33,-3.78,7.09,12.87,18.04,20.96,18.18,13.77,8.41,3.18,1.23
Ternopil,49.55404,25.59067,UA,225238,691650,Ternopil,-8.43,-3.38,-3.22,5.89,9.87,15.18,17.08,16.18,12.58,8.72,0.68,-1.81
Sievierodonetsk,48.94628,38.48624,UA,99067,691999,Sievierodonetsk,-9.18,-7.01,-4.79,7.36,13.23,19.02,21.73,18.42,14.35,7.8,2.79,1.8
Svitlovodsk,49.06287,33.2458,UA,43130,692087,Svitlovodsk,-7.0,-5.18,-3.69,6.76,12.84,17.7,20.1,18.35,14.06,8.96,2.31,-0.1
Dovzhansk,48.08964,39.65243,UA,62691,692105,Dovzhansk,-10.63,-7.47,-5.41,6.33,12.87,17.73,20.98,17.76,13.87,7.01,2.87,1.62
Svatove,49.40719,38.15362,UA,16145,692118,Svatove,-9.76,-7.17,-5.52,7.3,12.99,18.83,21.3,18.3,14.19,7.7,1.8,1.03
Svalyava,48.54735,22.98673,UA,17234,692129,Svalyava,-7.64,-0.46,2.08,7.1,11.57,15.78,17.34,16.92,12.95,9.84,2.68,-2.29
Sumy,50.9216,34.80029,UA,259660,692194,Sumy,-10.41,-7.74,-6.18,6.07,11.05,17.25,18.87,16.68,12.85,7.36,-0.67,-2.32
Sudak,44.84924,34.97471,UA,16597,692315,Sudak,0.44,2.44,3.54,8.95,13.86,19.22,22.98,22.0,17.17,13.39,9.8,6.92
Stryi,49.26171,23.84721,UA,61404,692372,Stryi,-8.38,-1.19,-2.29,5.94,9.54,14.88,16.62,15.99,12.37,9.22,0.66,-1.65
Stebnyk,49.30098,23.55197,UA,20398,692632,Stebnyk,-8.53,-1.5,-2.43,5.68,9.32,14.68,16.44,15.82,12.18,9.1,0.37,-2.05
Starokostyantyniv,49.75522,27.21229,UA,34232,692818,Starokostyantyniv,-8.38,-4.21,-3.51,5.96,10.06,15.74,17.57,16.49,12.92,8.74,0.94,-1.54
Starobilsk,49.27719,38.91673,UA,22000,692832,Starobilsk,-9.97,-7.44,-5.72,7.41,13.2,19.12,21.52,18.39,14.45,7.61,1.98,1.34
Kadiyivka,48.56818,38.64352,UA,84425,692975,Kadiyivka,-9.69,-7.47,-5.12,6.36,12.44,18.06,20.79,17.48,13.5,7.1,2.46,1.36
Sokal,50.47438,24.28288,UA,20659,693301,Sokal,-7.23,-1.32,-2.23,6.54,10.01,15.46,17.16,16.4,12.92,9.17,1.05,-1.31
Snizhne,48.02612,38.77225,UA,55587,693381,Snizhne,-10.33,-7.27,-5.32,6.05,12.35,17.48,20.41,17.23,13.35,6.92,2.62,1.3
Smila,49.23295,31.88427,UA,66475,693457,Smila,-6.57,-5.07,-3.55,6.87,12.41,17.69,19.8,18.23,14.42,9.38,2.23,-0.46
Sloviansk,48.84974,37.59739,UA,106972,693468,Sloviansk,-8.6,-6.08,-4.06,7.4,13.18,18.76,21.55,18.38,14.2,8.27,3.12,1.79
Slavuta,50.29609,26.86613,UA,35068,693581,Slavuta,-8.26,-4.11,-3.65,6.14,9.96,15.81,17.55,16.57,13.02,8.91,0.95,-1.46
Skvyra,49.73303,29.66426,UA,17452,693615,Skvyra,-7.51,-5.03,-3.86,6.11,11.03,16.54,18.45,17.22,13.51,8.91,1.29,-1.46
Skadovsk,46.11313,32.90978,UA,17915,693709,Skadovsk,-2.26,-0.09,1.54,8.77,14.48,19.04,22.75,21.14,16.1,11.83,6.92,3.96
Synelnykove,48.32362,35.52612,UA,30556,693796,Synelnykove,-8.1,-5.36,-3.33,6.79,12.73,17.85,20.7,18.2,13.65,8.42,3.18,1.04
Simferopol,44.95719,34.11079,UA,336460,693805,Simferopol,-4.36,-0.14,1.51,8.08,13.67,17.73,21.19,19.54,14.72,11.19,7.09,3.79
Shpola,49.01291,31.3926,UA,16674,693920,Shpola,-6.65,-4.87,-3.32,6.87,12.18,17.28,19.43,17.97,14.19,9.23,2.02,-0.69
Shostka,51.86296,33.4698,UA,73197,693942,Shostka,-10.44,-7.84,-6.41,5.48,9.94,16.96,18.16,16.05,12.54,7.31,-0.41,-2.63
Shepetivka,50.18118,27.06517,UA,40802,694216,Shepetivka,-8.37,-4.28,-3.7,5.92,9.8,15.65,17.38,16.36,12.82,8.72,0.83,-1.6
Shakhtarsk,48.05657,38.43826,UA,71700,694382,Shakhtarsk,-9.62,-6.65,-4.6,6.52,12.67,17.95,20.88,17.6,13.64,7.33,2.95,1.64
Sevastopol,44.60795,33.52134,UA,547820,694423,Sevastopol,1.07,2.88,4.5,8.82,13.89,18.41,21.97,21.23,16.89,13.82,9.86,7.0
Selydove,48.14708,37.30032,UA,21916,694677,Selydove,-8.39,-5.29,-3.19,7.03,12.9,18.2,21.52,18.1,13.88,8.08,3.39,1.82
Sarny,51.33795,26.60191,UA,28865,694792,Sarny,-8.52,-4.79,-4.8,6.18,9.58,15.82,17.28,16.29,12.96,8.87,0.89,-1.16
Sambir,49.51631,23.2006,UA,34152,694864,Sambir,-7.75,-0.96,-1.8,5.74,9.41,14.73,16.51,15.94,12.33,9.16,0.53,-1.95
Saki,45.13424,33.59996,UA,28322,694910,Saki,-1.25,1.48,3.13,8.94,14.07,18.88,22.58,21.46,16.67,13.03,9.0,5.89
Rubizhne,49.00606,38.38119,UA,56066,695274,Rubizhne,-9.24,-6.98,-4.88,7.32,13.15,18.95,21.56,18.3,14.23,7.75,2.66,1.67
Rozdilna,46.85479,30.07091,UA,17858,695344,Rozdilna,-4.83,-1.95,-0.69,7.56,12.64,17.44,19.87,18.94,15.0,10.55,3.74,1.28
Kurakhove,47.98437,37.27909,UA,18506,695357,Kurakhove,-8.13,-5.05,-3.0,7.32,13.21,18.46,21.79,18.43,14.18,8.32,3.72,2.13
Rovenky,48.08331,39.37764,UA,45651,695379,Rovenky,-10.48,-7.43,-5.41,6.33,12.82,17.73,20.87,17.7,13.79,7.02,2.84,1.58
