name,latitude,longitude,country,population,id
Nukus,42.45306,59.61028,UZ,332500,601294
Qŭnghirot,43.04333,58.83944,UZ,80090,601323
Xo‘jayli Shahri,42.40881,59.44544,UZ,50000,601339
Oltinko‘l,43.06874,58.90372,UZ,59122,601417
Zomin Shaharchasi,39.96056,68.39583,UZ,27077,1215694
Urgut Shahri,39.41902,67.26118,UZ,47373,1215839
Tirmiz,37.22417,67.27833,UZ,182800,1215957
Sho‘rchi,37.99944,67.7875,UZ,25000,1216115
Shahrisabz,39.05778,66.83417,UZ,140500,1216187
Samarkand,39.65417,66.95972,UZ,513572,1216265
Qarshi,38.86056,65.78905,UZ,278300,1216311
Muborak,39.25528,65.15278,UZ,30100,1216475
Kitob,39.12158,66.88605,UZ,40800,1216787
Kattaqo’rg’on Shahri,39.90546,66.26556,UZ,90600,1216982
Koson,39.0375,65.585,UZ,68900,1217007
Karakul’,39.53333,63.83333,UZ,22487,1217084
Kogon Shahri,39.72746,64.55466,UZ,62300,1217180
G‘uzor,38.62083,66.24806,UZ,25368,1217262
Galaosiyo Shahri,39.85721,64.44641,UZ,15620,1217340
Juma Shahri,39.71611,66.66417,UZ,19920,1217362
Denov,38.26746,67.89886,UZ,78300,1217474
Chiroqchi,39.03361,66.57222,UZ,19356,1217540
Chelak,39.92002,66.86228,UZ,16727,1217569
Bulung’ur Shahri,39.76003,67.27441,UZ,29200,1217658
Bukhara,39.77472,64.42861,UZ,280187,1217662
Beshkent,38.82139,65.65306,UZ,18900,1217703
Boysun,38.20835,67.20664,UZ,26934,1217734
Oqtosh,39.92139,65.92528,UZ,38307,1217926
Zafar,40.98333,68.9,UZ,24781,1512287
Yaypan,40.37583,70.81556,UZ,20332,1512320
Yangiyŭl,41.11202,69.0471,UZ,61700,1512339
Yangiyer,40.275,68.8225,UZ,44200,1512342
Yangirabot,40.02539,65.96095,UZ,25027,1512348
Yangiqo‘rg‘on,41.19474,71.72385,UZ,28422,1512350
Yangiobod,41.11919,70.09406,UZ,24900,1512372
Vobkent Shahri,40.00033,64.50213,UZ,16697,1512423
Uychi,41.08073,71.92331,UZ,29683,1512449
Urganch,41.55339,60.62057,UZ,145000,1512473
Dashtobod,40.12694,68.49444,UZ,36500,1512480
Uchqŭrghon Shahri,41.11371,72.07915,UZ,33323,1512501
Tŭytepa,41.0321,69.36253,UZ,51400,1512524
To‘rqao‘rg‘on,40.99984,71.51162,UZ,30300,1512549
Toshloq,40.47722,71.76778,UZ,26686,1512568
Tashkent,41.26465,69.21627,UZ,1978028,1512569
Toshbuloq,40.91617,71.57819,UZ,28562,1512658
