name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Nukus,42.45306,59.61028,UZ,332500,601294,Nukus,-8.12,-7.03,1.8,14.41,22.37,26.35,29.54,24.91,18.22,9.94,6.84,1.54
Qŭnghirot,43.04333,58.83944,UZ,80090,601323,Qŭnghirot,-9.97,-8.52,0.67,13.23,21.84,25.59,29.49,24.7,17.66,9.48,6.0,1.39
Xo‘jayli Shahri,42.40881,59.44544,UZ,50000,601339,Xo‘jayli Shahri,-7.58,-6.48,2.07,14.52,22.33,26.25,29.33,24.79,18.21,10.04,6.99,1.74
Oltinko‘l,43.06874,58.90372,UZ,59122,601417,Oltinko‘l,-10.22,-8.92,0.48,13.02,21.52,25.27,29.11,24.43,17.49,9.38,5.92,1.32
Zomin Shaharchasi,39.96056,68.39583,UZ,27077,1215694,Zomin Shaharchasi,-3.23,-3.66,3.63,14.92,18.61,22.65,25.59,22.72,18.5,11.88,9.28,3.04
Urgut Shahri,39.41902,67.26118,UZ,47373,1215839,Urgut Shahri,-3.27,-3.27,3.96,14.35,18.28,22.73,25.93,22.99,19.09,12.18,9.31,2.94
Tirmiz,37.22417,67.27833,UZ,182800,1215957,Tirmiz,1.67,3.04,10.46,21.96,27.53,31.68,33.93,31.19,25.9,18.71,14.48,7.46
Sho‘rchi,37.99944,67.7875,UZ,25000,1216115,Sho‘rchi,0.67,1.13,9.15,18.65,24.02,28.75,30.46,27.51,22.63,16.79,12.72,6.8
Shahrisabz,39.05778,66.83417,UZ,140500,1216187,Shahrisabz,-1.43,-1.87,5.83,15.91,19.43,24.28,27.25,24.62,19.84,12.97,10.21,3.88
Samarkand,39.65417,66.95972,UZ,513572,1216265,Samarkand,-2.16,-2.61,5.04,15.06,18.78,23.52,26.47,23.73,19.47,12.34,9.29,3.61
Qarshi,38.86056,65.78905,UZ,278300,1216311,Qarshi,1.4,0.01,8.39,18.88,23.17,27.86,30.12,26.86,21.82,14.34,11.89,5.41
Muborak,39.25528,65.15278,UZ,30100,1216475,Muborak,1.11,-0.7,8.05,20.02,24.9,29.99,33.01,29.46,23.94,14.64,11.84,5.54
Kitob,39.12158,66.88605,UZ,40800,1216787,Kitob,-1.9,-2.19,5.25,15.38,18.81,23.51,26.5,23.89,19.26,12.57,9.78,3.35
Kattaqo’rg’on Shahri,39.90546,66.26556,UZ,90600,1216982,Kattaqo’rg’on Shahri,-0.6,-1.82,6.08,16.19,20.12,24.67,26.92,24.19,19.82,12.71,9.87,4.77
Koson,39.0375,65.585,UZ,68900,1217007,Koson,1.4,-0.25,8.55,19.45,23.86,28.74,31.23,27.91,22.55,14.64,12.06,5.55
Karakul’,39.53333,63.83333,UZ,22487,1217084,Karakul’,0.23,0.36,7.51,20.12,25.03,30.22,33.74,29.51,23.79,14.53,11.51,5.95
Kogon Shahri,39.72746,64.55466,UZ,62300,1217180,Kogon Shahri,0.72,0.25,7.49,19.94,24.84,29.57,32.59,28.64,23.08,14.17,11.41,5.81
G‘uzor,38.62083,66.24806,UZ,25368,1217262,G‘uzor,1.0,-0.17,7.9,18.05,22.01,26.4,28.55,25.5,20.87,13.9,11.67,5.34
Galaosiyo Shahri,39.85721,64.44641,UZ,15620,1217340,Galaosiyo Shahri,0.4,0.08,7.23,19.6,24.59,29.38,32.47,28.28,22.75,13.98,11.22,5.75
Juma Shahri,39.71611,66.66417,UZ,19920,1217362,Juma Shahri,-1.38,-1.99,6.02,16.28,19.97,24.81,27.65,24.9,20.52,13.14,10.05,4.49
Denov,38.26746,67.89886,UZ,78300,1217474,Denov,-0.55,0.3,7.35,16.23,20.55,25.23,27.78,25.43,20.64,15.13,10.89,5.08
Chiroqchi,39.03361,66.57222,UZ,19356,1217540,Chiroqchi,-0.15,-0.87,6.95,17.06,20.75,25.54,28.36,25.65,20.88,13.76,11.04,4.84
