name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zvečan,42.9075,20.84028,XK,17000,783770,Zvečan,1.06,0.81,4.35,9.74,12.0,18.21,19.6,20.71,16.65,9.73,6.53,2.09
Vushtrri,42.82306,20.9675,XK,30651,784097,Vushtrri,1.4,1.08,4.48,10.0,12.06,18.49,19.89,21.03,16.84,9.82,6.54,2.04
Vitina,42.32139,21.35833,XK,46959,784372,Vitina,1.62,0.87,4.74,10.93,12.84,19.24,20.64,21.68,17.25,10.23,6.61,2.24
Ferizaj,42.37056,21.15528,XK,59504,784759,Ferizaj,1.07,0.45,4.19,10.32,12.22,18.66,20.0,21.01,16.64,9.72,6.16,1.72
Suva Reka,42.35861,20.825,XK,72229,785238,Suva Reka,1.83,1.77,4.96,10.2,12.42,19.0,20.38,21.66,17.32,10.36,7.18,2.61
Shtime,42.43306,21.03972,XK,35000,785485,Shtime,1.27,0.79,4.21,10.07,12.01,18.51,19.98,21.03,16.63,9.73,6.28,1.91
Prizren,42.21389,20.73972,XK,171464,786712,Prizren,1.82,1.92,4.99,10.19,12.55,19.14,20.48,21.71,17.47,10.43,7.39,2.82
Pristina,42.67272,21.16688,XK,550000,786714,Pristina,0.92,0.51,3.94,9.62,11.62,18.01,19.42,20.56,16.31,9.35,6.02,1.62
Podujeva,42.91056,21.19306,XK,35000,786950,Podujeva,1.09,0.49,4.1,9.8,11.69,17.68,19.13,20.1,15.81,9.27,6.07,1.92
Peć,42.65913,20.28828,XK,48962,787157,Peć,0.67,0.89,4.26,9.1,11.72,17.96,19.93,21.13,16.72,9.21,6.17,1.24
Orahovac,42.39944,20.65472,XK,22049,787456,Orahovac,1.83,1.77,4.96,10.2,12.42,19.0,20.38,21.66,17.32,10.36,7.18,2.61
Llazicë,42.55528,20.76333,XK,19863,788470,Llazicë,1.55,1.22,4.36,9.26,11.5,17.91,19.56,20.65,16.39,9.56,6.57,1.95
Leposaviq,43.10389,20.80278,XK,19000,788731,Leposaviq,0.91,0.25,4.15,10.1,12.08,18.07,19.37,20.51,16.26,9.76,6.8,2.43
Mitrovicë,42.88333,20.86667,XK,107045,789225,Mitrovicë,1.21,0.96,4.5,9.88,12.14,18.36,19.75,20.86,16.8,9.88,6.68,2.24
Kosovo Polje,42.66394,21.09611,XK,16154,789228,Kosovo Polje,1.22,0.81,4.24,9.92,11.92,18.31,19.72,20.86,16.61,9.65,6.32,1.92
Istok,42.78083,20.4875,XK,40000,789996,Istok,1.29,1.3,4.88,9.98,12.43,18.73,20.27,21.54,17.23,10.03,6.84,2.11
Gjilan,42.46045,21.46986,XK,51912,790674,Gjilan,1.49,0.18,4.22,10.45,12.27,18.55,20.04,20.88,16.38,9.61,6.05,1.83
Glogovac,42.62833,20.89389,XK,58579,790701,Glogovac,1.61,1.27,4.5,9.69,11.83,18.29,19.88,20.97,16.69,9.8,6.67,2.12
Dragash,42.0265,20.65333,XK,35000,791122,Dragash,-1.07,-1.24,1.56,6.74,9.42,15.92,17.48,18.28,14.6,8.1,5.35,0.4
Deçan,42.54018,20.28793,XK,50500,791580,Deçan,0.72,0.31,3.42,7.98,10.86,17.23,19.08,20.09,16.06,8.99,6.28,1.53
Gjakovë,42.38028,20.43083,XK,94158,791646,Gjakovë,1.78,1.83,5.13,9.71,12.3,18.56,20.51,21.68,17.37,10.1,7.32,2.46
