latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
39.87534,20.00477,AL,15147,363243,Sarandë,12.01,12.15,12.29,14.58,19.58,24.03,27.69,28.0,23.81,18.56,16.76,12.0
40.9025,20.6525,AL,61530,781988,Pogradec,3.05,4.91,5.34,9.18,15.71,20.65,24.64,25.04,19.14,11.3,9.91,3.58
42.07694,20.42194,AL,17832,782661,Kukës,2.89,5.71,5.26,9.35,16.2,22.21,25.67,25.26,19.45,11.61,10.34,3.35
40.61861,20.78083,AL,58259,782756,Korçë,1.72,3.54,4.47,8.65,15.5,20.18,24.23,24.51,18.28,10.12,8.67,2.21
40.07583,20.13889,AL,23437,783148,Gjirokastër,8.74,9.42,9.5,12.48,17.92,22.5,26.38,26.41,21.53,15.92,14.54,8.75
41.1125,20.08222,AL,100903,783263,Elbasan,6.25,7.16,7.83,11.41,17.81,22.93,26.64,26.7,20.68,14.42,13.0,5.91
41.61028,20.00889,AL,15405,783493,Burrel,5.18,5.98,6.58,10.32,16.7,21.94,25.45,25.42,19.92,13.16,11.89,4.79
40.4686,19.48318,AL,89546,3183719,Vlorë,10.21,10.46,10.75,13.59,19.6,25.49,28.61,28.81,23.4,17.37,15.87,9.77
41.3275,19.81889,AL,418495,3183875,Tirana,8.08,8.37,9.14,12.04,17.81,22.64,26.03,26.25,21.21,15.71,14.42,7.91
42.06828,19.51258,AL,88245,3184081,Shkodër,6.35,7.6,8.61,12.12,18.42,24.16,27.6,27.3,21.79,14.76,13.21,6.51
40.64278,19.65083,AL,22679,3184517,Patos Fshat,8.23,8.96,9.06,12.33,18.58,24.01,27.27,27.54,21.72,15.79,14.44,7.71
40.68333,19.61944,AL,16000,3184518,Patos,8.75,9.33,9.42,12.55,18.72,24.29,27.5,27.73,22.08,16.19,14.82,8.26
40.94194,19.705,AL,41469,3184862,Lushnjë,8.26,8.75,9.32,12.51,18.78,24.33,27.73,27.75,22.0,15.99,14.58,7.79
41.78361,19.64361,AL,18695,3184935,Lezhë,8.57,9.95,10.53,13.6,19.64,24.78,27.88,27.67,22.33,16.01,14.45,9.0
41.63556,19.71306,AL,24825,3185012,Laç,8.42,9.8,10.38,13.45,19.49,24.63,27.73,27.52,22.18,15.85,14.3,8.85
41.50917,19.79278,AL,21286,3185082,Krujë,4.74,5.42,5.79,9.1,15.17,19.93,23.34,23.4,18.28,12.47,11.24,4.53
41.18556,19.55694,AL,29354,3185211,Kavajë,9.48,10.0,10.35,12.89,18.45,23.22,26.59,26.87,22.15,17.02,15.69,9.48
40.71667,19.56667,AL,60995,3185670,Fier-Çifçi,9.1,9.68,9.77,12.9,19.07,24.64,27.85,28.08,22.43,16.54,15.17,8.61
40.72389,19.55611,AL,56297,3185672,Fier,9.05,9.63,9.72,12.85,19.02,24.59,27.8,28.03,22.38,16.49,15.12,8.56
41.32355,19.45469,AL,122034,3185728,Durrës,10.01,10.55,10.74,13.1,18.44,22.94,26.29,26.6,22.28,17.5,16.23,10.18
40.70583,19.95222,AL,46866,3186084,Berat,7.18,8.0,8.55,12.07,18.47,23.77,27.26,27.3,21.38,15.19,13.83,6.85
42.50729,1.53414,AD,15853,3040051,les Escaldes,-0.07,6.13,6.15,7.55,12.07,17.39,19.93,20.07,16.43,10.94,4.79,3.47
42.50779,1.52109,AD,20430,3041563,Andorra la Vella,-0.17,6.03,6.05,7.45,11.97,17.29,19.83,19.97,16.33,10.84,4.69,3.37
39.20755,46.40576,AM,33160,174875,Kapan,-0.1,3.28,4.57,14.3,17.34,22.45,23.86,24.52,18.32,10.5,7.62,2.71
39.51111,46.34168,AM,20379,174895,Goris,-4.22,-0.61,1.11,11.06,14.24,18.95,20.44,21.04,15.29,7.58,4.68,-1.16
39.46405,45.97047,AM,15208,174972,Hats’avan,-4.01,-1.13,-0.02,10.27,14.27,17.96,18.49,19.28,14.99,8.07,4.09,-2.75
39.96144,44.54447,AM,20562,174979,Artashat,-1.76,2.5,4.34,14.01,18.39,24.57,25.73,26.17,20.65,11.97,6.59,0.12
39.83069,44.70569,AM,28832,174991,Ararat,-1.78,4.01,6.01,15.82,19.81,25.77,26.88,27.35,21.65,13.0,8.17,1.65
40.18111,44.51361,AM,1093485,616052,Yerevan,-3.34,1.01,2.99,12.78,16.97,23.53,24.75,24.88,19.34,10.46,4.93,-1.69
40.16557,44.29462,AM,46200,616062,Vagharshapat,-1.96,2.34,4.16,13.76,18.13,24.32,25.69,25.99,20.0,11.48,6.24,-0.19
41.00995,44.38531,AM,23782,616194,Stepanavan,-3.66,-1.34,-0.63,9.5,13.54,17.25,19.02,20.05,12.6,7.21,3.8,-1.89
40.83221,44.26731,AM,15059,616199,Spitak,-4.53,-2.53,-1.55,8.7,12.79,15.94,17.73,18.46,11.21,6.87,3.37,-2.59
