geonameid;name;latitude;longitude;countrycode;population;timezone;admin1code;alternatenames;continentcode
3040051;les Escaldes;42.50729;1.53414;AD;15853;Europe/Andorra;08;"[""Ehskal'des-Ehndzhordani"", 'Escaldes', 'Escaldes-Engordany', 'Les Escaldes', 'esukarudesu=engorudani jiao qu', 'lai sai si ka er de-en ge er da', 'Эскальдес-Энджордани', 'エスカルデス＝エンゴルダニ教区', '萊塞斯卡爾德-恩戈爾達', '萊塞斯卡爾德－恩戈爾達']";EU
3041563;Andorra la Vella;42.50779;1.52109;AD;20430;Europe/Andorra;07;"['ALV', 'Ando-la-Vyey', 'Andora', 'Andora la Vela', 'Andora la Velja', ""Andora lja Vehl'ja"", 'Andoro Malnova', 'Andorra', 'Andorra Tuan', 'Andorra a Vella', 'Andorra la Biella', 'Andorra la Vella', 'Andorra la Vielha', 'Andorra-a-Velha', ""Andorra-la-Vel'ja"", 'Andorra-la-Vielye', 'Andorre-la-Vieille', 'Andò-la-Vyèy', 'Andòrra la Vièlha', 'an dao er cheng', 'andolalabeya', 'andwra la fyla', 'Ανδόρρα', 'Андора ла Веля', 'Андора ла Веља', 'Андора ля Вэлья', 'Андорра-ла-Велья', 'אנדורה לה וולה', 'أندورا لا فيلا', 'አንዶራ ላ ቬላ', 'アンドラ・ラ・ヴェリャ', '安道爾城', '안도라라베야']";EU
363243;Sarandë;39.87534;20.00477;AL;15147;Europe/Tirane;51;['Agioi', 'Agioi Saranta', 'Ayii Saranda', 'Hagios Saranta', 'Onchesmus', 'Porto Edda', 'Santa Quaranta', 'Santi Quaranta', 'Saranda', 'Sarande', 'Sarandë', 'Sarandė', 'Saranta', 'XSA', 'Zogaj', 'sa lan da', 'salandeo', 'saranda', 'sarandh', 'srndh', 'Άγιοι Σαράντα', 'Саранда', 'Սարանդա', 'סרנדה', 'سارانده', 'ساراندہ', 'サランダ', '萨兰达', '사란더'];EU
781988;Pogradec;40.9025;20.6525;AL;61530;Europe/Tirane;46;['Opshtina Pogradec', 'Podgradec', 'Pogradec', 'Pogradeci', 'Pogradecis', 'Pogradets', 'bo ge la de ci', 'pogeuladecheu', 'poguradetsu', 'pwgradts', 'pwgrdz', 'Πόγραδετς', 'Општина Поградец', 'Поградец', 'Подградец', 'פוגרדץ', 'پوگرادتس', 'ポグラデツ', '波格拉德茨', '포그라데츠'];EU
782661;Kukës;42.07694;20.42194;AL;17832;Europe/Tirane;47;['Cucus', 'KFZ', 'Kukes', 'Kukesi', 'Kuks', 'Kuksi', 'Kukuch', 'Kukus', 'Kukush', 'Kukës', 'Kukësi', 'Кукес', 'Кукуш', 'Кукъс'];EU
782756;Korçë;40.61861;20.78083;AL;58259;Europe/Tirane;46;['Corce', 'Corcë', 'Coritsa', 'Coritza', 'Coriza', 'Corizza', 'Corriza', 'Ghiortsa Corcia', 'Goerice', 'Gorica', 'Goritsa', 'Görice', 'Korca', 'Korce', 'Korcha', 'Korche', 'Korcza', 'Korica', 'Korice', 'Koritsa', 'Koritza', 'Korrca', 'Korrce', 'Korrça', 'Korrçë', 'Korytsa', 'Korça', 'Korçë', 'Korča', 'Korčė', 'Körice', 'ke er cha', 'koleucheo', 'korucha', 'kwrchh', 'qwrzh', 'Κορυτσά', 'Горица', 'Корча', 'Կորչա', 'קורצה', 'کورچه', 'کورچہ', 'コルチャ', '科尔察', '코르처'];EU
783148;Gjirokastër;40.07583;20.13889;AL;23437;Europe/Tirane;45;['Agirocastro', 'Arghirocastru', 'Arghyrocastro', 'Argirocastro', 'Argirokastro', 'Argyrocastrum', 'Argyrokastro', 'Argyrokastron', 'Aryirokastro', 'Aryirokastron', 'Ergheni', 'Ergiri', 'GJirokastra', 'Ghinokastre', 'Girokasteris', 'Girokastra', 'Girokastro', 'Gjinokaster', 'Gjinokastra', 'Gjinokastre', 'Gjinokastrer', 'Gjinokastër', 'Gjirokaster', 'Gjirokastra', 'Gjirokastre', 'Gjirokastro', 'Gjirokastrë', 'Gjirokastër', 'arjyr', 'gyrwqstrh', 'ji nuo ka si te', 'jilokaseuteoleu', 'jirokasutora', 'jyrwkastr', 'Đirokastra', 'Αργυρόκαστρο', 'Ђирокастра', 'Ѓирокастро', 'Аргирокастро', 'Гирокастра', 'Гирокастро', 'Гірокастра', 'גירוקסטרה', 'ارجیر', 'جیروکاستر', 'გიროკასტრა', 'ジロカストラ', '吉诺卡斯特', '지로카스터르'];EU
783263;Elbasan;41.1125;20.08222;AL;100903;Europe/Tirane;43;"[""Ehl'basan"", 'Elbasan', 'Elbasani', 'Elbassan', 'Konukh', 'Елбасан', 'Коњух', 'Эльбасан']";EU
783493;Burrel;41.61028;20.00889;AL;15405;Europe/Tirane;41;"['Burel', 'Burela', 'Burele', 'Bureli', 'Burelis', 'Burelë', 'Burrel', ""Burrel'"", 'Burrele', 'Burreli', 'Burrelë', 'bu lei li', 'bulel', 'bureru', 'bwrly', 'Бурел', 'Буррели', 'Буррель', 'بورلی', 'ブレル', '布雷利', '부렐']";EU
3183719;Vlorë;40.4686;19.48318;AL;89546;Europe/Tirane;51;"[""Au'lon"", 'Au’lon', 'Avlon', 'Avlona', 'Avlonas', 'Avlonya', 'VRR', 'Vallona', 'Valona', ""Vl'ora"", 'Vliore', 'Vliorė', 'Vljora', 'Vlona', 'Vlone', 'Vlonë', 'Vlora', 'Vlore', 'Vlorë', 'Vlyora', 'Vļora', 'Wlora', 'beulloleo', 'fa luo la', 'flwrh', 'vurora', 'wlo rex', 'wlwrh', 'Αυλώνας', 'Валона', 'Вльора', 'Влёра', 'Վլորա', 'ולורה', 'فلوره', 'ولوره', 'ولورہ', 'วโลเรอ', 'ヴロラ', '发罗拉', '블로러']";EU
